from_id,to_id
AC00001,FS_AC_AC00001_202607
AC00002,FS_AC_AC00002_202607
AC00003,FS_AC_AC00003_202607
AC00004,FS_AC_AC00004_202607
AC00005,FS_AC_AC00005_202607
AC00006,FS_AC_AC00006_202607
AC00007,FS_AC_AC00007_202607
AC00008,FS_AC_AC00008_202607
AC00009,FS_AC_AC00009_202607
AC00010,FS_AC_AC00010_202607
AC00011,FS_AC_AC00011_202607
AC00012,FS_AC_AC00012_202607
AC00013,FS_AC_AC00013_202607
AC00014,FS_AC_AC00014_202607
AC00015,FS_AC_AC00015_202607
AC00016,FS_AC_AC00016_202607
AC00017,FS_AC_AC00017_202607
AC00018,FS_AC_AC00018_202607
AC00019,FS_AC_AC00019_202607
AC00020,FS_AC_AC00020_202607
AC00021,FS_AC_AC00021_202607
AC00022,FS_AC_AC00022_202607
AC00023,FS_AC_AC00023_202607
AC00024,FS_AC_AC00024_202607
AC00025,FS_AC_AC00025_202607
AC00026,FS_AC_AC00026_202607
AC00027,FS_AC_AC00027_202607
AC00028,FS_AC_AC00028_202607
AC00029,FS_AC_AC00029_202607
AC00030,FS_AC_AC00030_202607
AC00031,FS_AC_AC00031_202607
AC00032,FS_AC_AC00032_202607
AC00033,FS_AC_AC00033_202607
AC00034,FS_AC_AC00034_202607
AC00035,FS_AC_AC00035_202607
AC00036,FS_AC_AC00036_202607
AC00037,FS_AC_AC00037_202607
AC00038,FS_AC_AC00038_202607
AC00039,FS_AC_AC00039_202607
AC00040,FS_AC_AC00040_202607
AC00041,FS_AC_AC00041_202607
AC00042,FS_AC_AC00042_202607
AC00043,FS_AC_AC00043_202607
AC00044,FS_AC_AC00044_202607
AC00045,FS_AC_AC00045_202607
AC00046,FS_AC_AC00046_202607
AC00047,FS_AC_AC00047_202607
AC00048,FS_AC_AC00048_202607
AC00049,FS_AC_AC00049_202607
AC00050,FS_AC_AC00050_202607
AC00051,FS_AC_AC00051_202607
AC00052,FS_AC_AC00052_202607
AC00053,FS_AC_AC00053_202607
AC00054,FS_AC_AC00054_202607
AC00055,FS_AC_AC00055_202607
AC00056,FS_AC_AC00056_202607
AC00057,FS_AC_AC00057_202607
AC00058,FS_AC_AC00058_202607
AC00059,FS_AC_AC00059_202607
AC00060,FS_AC_AC00060_202607
