from_id,to_id,market_value,allocation_pct,as_of_date
AC00001,P013,40622.24,35,2026-07-01
AC00001,P023,29015.89,25,2026-07-01
AC00001,P030,23212.71,20,2026-07-01
AC00001,P016,23212.71,20,2026-07-01
AC00002,P055,49649.41,35,2026-07-01
AC00002,P052,35463.86,25,2026-07-01
AC00002,P038,28371.09,20,2026-07-01
AC00002,P026,28371.09,20,2026-07-01
AC00003,P053,41869.49,35,2026-07-01
AC00003,P018,29906.78,25,2026-07-01
AC00003,P062,23925.42,20,2026-07-01
AC00003,P037,23925.42,20,2026-07-01
AC00004,P058,51173.81,35,2026-07-01
AC00004,P021,36552.72,25,2026-07-01
AC00004,P064,29242.18,20,2026-07-01
AC00004,P041,29242.18,20,2026-07-01
AC00005,P039,43116.73,35,2026-07-01
AC00005,P053,30797.66,25,2026-07-01
AC00005,P031,24638.13,20,2026-07-01
AC00005,P035,24638.13,20,2026-07-01
AC00006,P002,52698.22,35,2026-07-01
AC00006,P045,37641.59,25,2026-07-01
AC00006,P033,30113.27,20,2026-07-01
AC00006,P026,30113.27,20,2026-07-01
AC00007,P052,44363.97,35,2026-07-01
AC00007,P019,31688.55,25,2026-07-01
AC00007,P005,25350.84,20,2026-07-01
AC00007,P003,25350.84,20,2026-07-01
AC00008,P054,54222.63,35,2026-07-01
AC00008,P037,38730.45,25,2026-07-01
AC00008,P008,30984.36,20,2026-07-01
AC00008,P062,30984.36,20,2026-07-01
AC00009,P034,45611.21,35,2026-07-01
AC00009,P017,32579.44,25,2026-07-01
AC00009,P012,26063.55,20,2026-07-01
AC00009,P030,26063.55,20,2026-07-01
AC00010,P050,55747.04,35,2026-07-01
AC00010,P030,39819.31,25,2026-07-01
AC00010,P011,31855.45,20,2026-07-01
AC00010,P029,31855.45,20,2026-07-01
AC00011,P044,46858.45,35,2026-07-01
AC00011,P031,33470.32,25,2026-07-01
AC00011,P011,26776.26,20,2026-07-01
AC00011,P022,26776.26,20,2026-07-01
AC00012,P035,57271.44,35,2026-07-01
AC00012,P038,40908.18,25,2026-07-01
AC00012,P062,32726.54,20,2026-07-01
AC00012,P058,32726.54,20,2026-07-01
AC00013,P003,48105.7,35,2026-07-01
AC00013,P005,34361.21,25,2026-07-01
AC00013,P019,27488.97,20,2026-07-01
AC00013,P013,27488.97,20,2026-07-01
AC00014,P055,58795.85,35,2026-07-01
AC00014,P001,41997.04,25,2026-07-01
AC00014,P035,33597.63,20,2026-07-01
AC00014,P011,33597.63,20,2026-07-01
AC00015,P053,49352.94,35,2026-07-01
AC00015,P001,35252.1,25,2026-07-01
AC00015,P058,28201.68,20,2026-07-01
AC00015,P026,28201.68,20,2026-07-01
AC00016,P041,60320.26,35,2026-07-01
AC00016,P034,43085.9,25,2026-07-01
