from_id,to_id
A001,L00100
A001,L00101
A001,L00102
A001,L00103
A001,L00104
A002,L00200
A002,L00201
A002,L00202
A002,L00203
A002,L00204
A003,L00300
A003,L00301
A003,L00302
A003,L00303
A003,L00304
A004,L00400
A004,L00401
A004,L00402
A004,L00403
A004,L00404
A005,L00500
A005,L00501
A005,L00502
A005,L00503
A005,L00504
A006,L00600
A006,L00601
A006,L00602
A006,L00603
A006,L00604
A007,L00700
A007,L00701
A007,L00702
A007,L00703
A007,L00704
A008,L00800
A008,L00801
A008,L00802
A008,L00803
A008,L00804
A009,L00900
A009,L00901
A009,L00902
A009,L00903
A009,L00904
A010,L01000
A010,L01001
A010,L01002
A010,L01003
A010,L01004
A011,L01100
A011,L01101
A011,L01102
A011,L01103
A011,L01104
A012,L01200
A012,L01201
A012,L01202
A012,L01203
A012,L01204
A013,L01300
A013,L01301
A013,L01302
A013,L01303
A013,L01304
A014,L01400
A014,L01401
A014,L01402
A014,L01403
A014,L01404
A015,L01500
A015,L01501
A015,L01502
A015,L01503
A015,L01504
A016,L01600
A016,L01601
A016,L01602
A016,L01603
A016,L01604
A017,L01700
A017,L01701
A017,L01702
A017,L01703
A017,L01704
A018,L01800
A018,L01801
A018,L01802
A018,L01803
A018,L01804
A019,L01900
A019,L01901
A019,L01902
A019,L01903
A019,L01904
A020,L02000
A020,L02001
A020,L02002
A020,L02003
A020,L02004
A021,L02100
A021,L02101
A021,L02102
A021,L02103
A021,L02104
A022,L02200
A022,L02201
A022,L02202
A022,L02203
A022,L02204
A023,L02300
A023,L02301
A023,L02302
A023,L02303
A023,L02304
A024,L02400
A024,L02401
A024,L02402
A024,L02403
A024,L02404
A025,L02500
A025,L02501
A025,L02502
A025,L02503
A025,L02504
A026,L02600
A026,L02601
A026,L02602
A026,L02603
A026,L02604
A027,L02700
A027,L02701
A027,L02702
A027,L02703
A027,L02704
A028,L02800
A028,L02801
A028,L02802
A028,L02803
A028,L02804
A029,L02900
A029,L02901
A029,L02902
A029,L02903
A029,L02904
A030,L03000
A030,L03001
A030,L03002
A030,L03003
A030,L03004
A031,L03100
A031,L03101
A031,L03102
A031,L03103
A031,L03104
A032,L03200
A032,L03201
A032,L03202
A032,L03203
A032,L03204
A033,L03300
A033,L03301
A033,L03302
A033,L03303
A033,L03304
A034,L03400
A034,L03401
A034,L03402
A034,L03403
A034,L03404
A035,L03500
A035,L03501
A035,L03502
A035,L03503
A035,L03504
A036,L03600
A036,L03601
A036,L03602
A036,L03603
A036,L03604
A037,L03700
A037,L03701
A037,L03702
A037,L03703
A037,L03704
A038,L03800
A038,L03801
A038,L03802
A038,L03803
A038,L03804
A039,L03900
A039,L03901
A039,L03902
A039,L03903
A039,L03904
A040,L04000
A040,L04001
A040,L04002
A040,L04003
A040,L04004
A041,L04100
A041,L04101
A041,L04102
A041,L04103
A041,L04104
A042,L04200
A042,L04201
A042,L04202
A042,L04203
A042,L04204
A043,L04300
A043,L04301
A043,L04302
A043,L04303
A043,L04304
A044,L04400
A044,L04401
A044,L04402
A044,L04403
A044,L04404
A045,L04500
A045,L04501
A045,L04502
A045,L04503
A045,L04504
A046,L04600
A046,L04601
A046,L04602
A046,L04603
A046,L04604
A047,L04700
A047,L04701
A047,L04702
A047,L04703
A047,L04704
A048,L04800
A048,L04801
A048,L04802
A048,L04803
A048,L04804
A049,L04900
A049,L04901
A049,L04902
A049,L04903
A049,L04904
A050,L05000
A050,L05001
A050,L05002
A050,L05003
A050,L05004
A051,L05100
A051,L05101
A051,L05102
A051,L05103
A051,L05104
A052,L05200
A052,L05201
A052,L05202
A052,L05203
A052,L05204
A053,L05300
A053,L05301
A053,L05302
A053,L05303
A053,L05304
A054,L05400
A054,L05401
A054,L05402
A054,L05403
A054,L05404
A055,L05500
A055,L05501
A055,L05502
A055,L05503
A055,L05504
A056,L05600
A056,L05601
A056,L05602
A056,L05603
A056,L05604
A057,L05700
A057,L05701
A057,L05702
A057,L05703
A057,L05704
A058,L05800
A058,L05801
A058,L05802
A058,L05803
A058,L05804
A059,L05900
A059,L05901
A059,L05902
A059,L05903
A059,L05904
A060,L06000
A060,L06001
A060,L06002
A060,L06003
A060,L06004
