from_id,to_id
A001,CRMOPP00100
A001,CRMOPP00101
A001,CRMOPP00102
A002,CRMOPP00200
A002,CRMOPP00201
A002,CRMOPP00202
A003,CRMOPP00300
A003,CRMOPP00301
A003,CRMOPP00302
A004,CRMOPP00400
A004,CRMOPP00401
A004,CRMOPP00402
A005,CRMOPP00500
A005,CRMOPP00501
A005,CRMOPP00502
A006,CRMOPP00600
A006,CRMOPP00601
A006,CRMOPP00602
A007,CRMOPP00700
A007,CRMOPP00701
A007,CRMOPP00702
A008,CRMOPP00800
A008,CRMOPP00801
A008,CRMOPP00802
A009,CRMOPP00900
A009,CRMOPP00901
A009,CRMOPP00902
A010,CRMOPP01000
A010,CRMOPP01001
A010,CRMOPP01002
A011,CRMOPP01100
A011,CRMOPP01101
A011,CRMOPP01102
A012,CRMOPP01200
A012,CRMOPP01201
A012,CRMOPP01202
A013,CRMOPP01300
A013,CRMOPP01301
A013,CRMOPP01302
A014,CRMOPP01400
A014,CRMOPP01401
A014,CRMOPP01402
A015,CRMOPP01500
A015,CRMOPP01501
A015,CRMOPP01502
A016,CRMOPP01600
A016,CRMOPP01601
A016,CRMOPP01602
A017,CRMOPP01700
A017,CRMOPP01701
A017,CRMOPP01702
A018,CRMOPP01800
A018,CRMOPP01801
A018,CRMOPP01802
A019,CRMOPP01900
A019,CRMOPP01901
A019,CRMOPP01902
A020,CRMOPP02000
A020,CRMOPP02001
A020,CRMOPP02002
A021,CRMOPP02100
A021,CRMOPP02101
A021,CRMOPP02102
A022,CRMOPP02200
A022,CRMOPP02201
A022,CRMOPP02202
A023,CRMOPP02300
A023,CRMOPP02301
A023,CRMOPP02302
A024,CRMOPP02400
A024,CRMOPP02401
A024,CRMOPP02402
A025,CRMOPP02500
A025,CRMOPP02501
A025,CRMOPP02502
A026,CRMOPP02600
A026,CRMOPP02601
A026,CRMOPP02602
A027,CRMOPP02700
A027,CRMOPP02701
A027,CRMOPP02702
A028,CRMOPP02800
A028,CRMOPP02801
A028,CRMOPP02802
A029,CRMOPP02900
A029,CRMOPP02901
A029,CRMOPP02902
A030,CRMOPP03000
A030,CRMOPP03001
A030,CRMOPP03002
A031,CRMOPP03100
A031,CRMOPP03101
A031,CRMOPP03102
A032,CRMOPP03200
A032,CRMOPP03201
A032,CRMOPP03202
A033,CRMOPP03300
A033,CRMOPP03301
A033,CRMOPP03302
A034,CRMOPP03400
A034,CRMOPP03401
A034,CRMOPP03402
A035,CRMOPP03500
A035,CRMOPP03501
A035,CRMOPP03502
A036,CRMOPP03600
A036,CRMOPP03601
A036,CRMOPP03602
A037,CRMOPP03700
A037,CRMOPP03701
A037,CRMOPP03702
A038,CRMOPP03800
A038,CRMOPP03801
A038,CRMOPP03802
A039,CRMOPP03900
A039,CRMOPP03901
A039,CRMOPP03902
A040,CRMOPP04000
A040,CRMOPP04001
A040,CRMOPP04002
A041,CRMOPP04100
A041,CRMOPP04101
A041,CRMOPP04102
A042,CRMOPP04200
A042,CRMOPP04201
A042,CRMOPP04202
A043,CRMOPP04300
A043,CRMOPP04301
A043,CRMOPP04302
A044,CRMOPP04400
A044,CRMOPP04401
A044,CRMOPP04402
A045,CRMOPP04500
A045,CRMOPP04501
A045,CRMOPP04502
A046,CRMOPP04600
A046,CRMOPP04601
A046,CRMOPP04602
A047,CRMOPP04700
A047,CRMOPP04701
A047,CRMOPP04702
A048,CRMOPP04800
A048,CRMOPP04801
A048,CRMOPP04802
A049,CRMOPP04900
A049,CRMOPP04901
A049,CRMOPP04902
A050,CRMOPP05000
A050,CRMOPP05001
A050,CRMOPP05002
A051,CRMOPP05100
A051,CRMOPP05101
A051,CRMOPP05102
A052,CRMOPP05200
A052,CRMOPP05201
A052,CRMOPP05202
A053,CRMOPP05300
A053,CRMOPP05301
A053,CRMOPP05302
A054,CRMOPP05400
A054,CRMOPP05401
A054,CRMOPP05402
A055,CRMOPP05500
A055,CRMOPP05501
A055,CRMOPP05502
A056,CRMOPP05600
A056,CRMOPP05601
A056,CRMOPP05602
A057,CRMOPP05700
A057,CRMOPP05701
A057,CRMOPP05702
A058,CRMOPP05800
A058,CRMOPP05801
A058,CRMOPP05802
A059,CRMOPP05900
A059,CRMOPP05901
A059,CRMOPP05902
A060,CRMOPP06000
A060,CRMOPP06001
A060,CRMOPP06002
