from_id,to_id
A001,REF00100
A001,REF00101
A001,REF00102
A002,REF00200
A002,REF00201
A002,REF00202
A003,REF00300
A003,REF00301
A003,REF00302
A004,REF00400
A004,REF00401
A004,REF00402
A005,REF00500
A005,REF00501
A005,REF00502
A006,REF00600
A006,REF00601
A006,REF00602
A007,REF00700
A007,REF00701
A007,REF00702
A008,REF00800
A008,REF00801
A008,REF00802
A009,REF00900
A009,REF00901
A009,REF00902
A010,REF01000
A010,REF01001
A010,REF01002
A011,REF01100
A011,REF01101
A011,REF01102
A012,REF01200
A012,REF01201
A012,REF01202
A013,REF01300
A013,REF01301
A013,REF01302
A014,REF01400
A014,REF01401
A014,REF01402
A015,REF01500
A015,REF01501
A015,REF01502
A016,REF01600
A016,REF01601
A016,REF01602
A017,REF01700
A017,REF01701
A017,REF01702
A018,REF01800
A018,REF01801
A018,REF01802
A019,REF01900
A019,REF01901
A019,REF01902
A020,REF02000
A020,REF02001
A020,REF02002
A021,REF02100
A021,REF02101
A021,REF02102
A022,REF02200
A022,REF02201
A022,REF02202
A023,REF02300
A023,REF02301
A023,REF02302
A024,REF02400
A024,REF02401
A024,REF02402
A025,REF02500
A025,REF02501
A025,REF02502
A026,REF02600
A026,REF02601
A026,REF02602
A027,REF02700
A027,REF02701
A027,REF02702
A028,REF02800
A028,REF02801
A028,REF02802
A029,REF02900
A029,REF02901
A029,REF02902
A030,REF03000
A030,REF03001
A030,REF03002
A031,REF03100
A031,REF03101
A031,REF03102
A032,REF03200
A032,REF03201
A032,REF03202
A033,REF03300
A033,REF03301
A033,REF03302
A034,REF03400
A034,REF03401
A034,REF03402
A035,REF03500
A035,REF03501
A035,REF03502
A036,REF03600
A036,REF03601
A036,REF03602
A037,REF03700
A037,REF03701
A037,REF03702
A038,REF03800
A038,REF03801
A038,REF03802
A039,REF03900
A039,REF03901
A039,REF03902
A040,REF04000
A040,REF04001
A040,REF04002
A041,REF04100
A041,REF04101
A041,REF04102
A042,REF04200
A042,REF04201
A042,REF04202
A043,REF04300
A043,REF04301
A043,REF04302
A044,REF04400
A044,REF04401
A044,REF04402
A045,REF04500
A045,REF04501
A045,REF04502
A046,REF04600
A046,REF04601
A046,REF04602
A047,REF04700
A047,REF04701
A047,REF04702
A048,REF04800
A048,REF04801
A048,REF04802
A049,REF04900
A049,REF04901
A049,REF04902
A050,REF05000
A050,REF05001
A050,REF05002
A051,REF05100
A051,REF05101
A051,REF05102
A052,REF05200
A052,REF05201
A052,REF05202
A053,REF05300
A053,REF05301
A053,REF05302
A054,REF05400
A054,REF05401
A054,REF05402
A055,REF05500
A055,REF05501
A055,REF05502
A056,REF05600
A056,REF05601
A056,REF05602
A057,REF05700
A057,REF05701
A057,REF05702
A058,REF05800
A058,REF05801
A058,REF05802
A059,REF05900
A059,REF05901
A059,REF05902
A060,REF06000
A060,REF06001
A060,REF06002
