from_id,to_id
A001,KPI_REV
A001,KPI_AUM
A001,KPI_LEAD
A001,KPI_REF
A001,KPI_CRM
A002,KPI_REV
A002,KPI_AUM
A002,KPI_LEAD
A002,KPI_REF
A002,KPI_CRM
A003,KPI_REV
A003,KPI_AUM
A003,KPI_LEAD
A003,KPI_REF
A003,KPI_CRM
A004,KPI_REV
A004,KPI_AUM
A004,KPI_LEAD
A004,KPI_REF
A004,KPI_CRM
A005,KPI_REV
A005,KPI_AUM
A005,KPI_LEAD
A005,KPI_REF
A005,KPI_CRM
A006,KPI_REV
A006,KPI_AUM
A006,KPI_LEAD
A006,KPI_REF
A006,KPI_CRM
A007,KPI_REV
A007,KPI_AUM
A007,KPI_LEAD
A007,KPI_REF
A007,KPI_CRM
A008,KPI_REV
A008,KPI_AUM
A008,KPI_LEAD
A008,KPI_REF
A008,KPI_CRM
A009,KPI_REV
A009,KPI_AUM
A009,KPI_LEAD
A009,KPI_REF
A009,KPI_CRM
A010,KPI_REV
A010,KPI_AUM
A010,KPI_LEAD
A010,KPI_REF
A010,KPI_CRM
A011,KPI_REV
A011,KPI_AUM
A011,KPI_LEAD
A011,KPI_REF
A011,KPI_CRM
A012,KPI_REV
A012,KPI_AUM
A012,KPI_LEAD
A012,KPI_REF
A012,KPI_CRM
A013,KPI_REV
A013,KPI_AUM
A013,KPI_LEAD
A013,KPI_REF
A013,KPI_CRM
A014,KPI_REV
A014,KPI_AUM
A014,KPI_LEAD
A014,KPI_REF
A014,KPI_CRM
A015,KPI_REV
A015,KPI_AUM
A015,KPI_LEAD
A015,KPI_REF
A015,KPI_CRM
A016,KPI_REV
A016,KPI_AUM
A016,KPI_LEAD
A016,KPI_REF
A016,KPI_CRM
A017,KPI_REV
A017,KPI_AUM
A017,KPI_LEAD
A017,KPI_REF
A017,KPI_CRM
A018,KPI_REV
A018,KPI_AUM
A018,KPI_LEAD
A018,KPI_REF
A018,KPI_CRM
A019,KPI_REV
A019,KPI_AUM
A019,KPI_LEAD
A019,KPI_REF
A019,KPI_CRM
A020,KPI_REV
A020,KPI_AUM
A020,KPI_LEAD
A020,KPI_REF
A020,KPI_CRM
A021,KPI_REV
A021,KPI_AUM
A021,KPI_LEAD
A021,KPI_REF
A021,KPI_CRM
A022,KPI_REV
A022,KPI_AUM
A022,KPI_LEAD
A022,KPI_REF
A022,KPI_CRM
A023,KPI_REV
A023,KPI_AUM
A023,KPI_LEAD
A023,KPI_REF
A023,KPI_CRM
A024,KPI_REV
A024,KPI_AUM
A024,KPI_LEAD
A024,KPI_REF
A024,KPI_CRM
