from_id,to_id
A001,SIM_A001_A010
A002,SIM_A002_A011
A003,SIM_A003_A012
A004,SIM_A004_A013
A005,SIM_A005_A014
A006,SIM_A006_A015
A007,SIM_A007_A016
A008,SIM_A008_A017
A009,SIM_A009_A018
A010,SIM_A010_A019
A011,SIM_A011_A020
A012,SIM_A012_A021
A013,SIM_A013_A022
A014,SIM_A014_A023
A015,SIM_A015_A024
A016,SIM_A016_A025
A017,SIM_A017_A026
A018,SIM_A018_A027
A019,SIM_A019_A028
A020,SIM_A020_A029
A021,SIM_A021_A030
A022,SIM_A022_A031
A023,SIM_A023_A032
A024,SIM_A024_A033
A025,SIM_A025_A034
A026,SIM_A026_A035
A027,SIM_A027_A036
A028,SIM_A028_A037
A029,SIM_A029_A038
A030,SIM_A030_A039
A031,SIM_A031_A040
A032,SIM_A032_A041
A033,SIM_A033_A042
A034,SIM_A034_A043
A035,SIM_A035_A044
A036,SIM_A036_A045
A037,SIM_A037_A046
A038,SIM_A038_A047
A039,SIM_A039_A048
A040,SIM_A040_A049
A041,SIM_A041_A050
A042,SIM_A042_A051
A043,SIM_A043_A052
A044,SIM_A044_A053
A045,SIM_A045_A054
A046,SIM_A046_A055
A047,SIM_A047_A056
A048,SIM_A048_A057
A049,SIM_A049_A058
A050,SIM_A050_A059
A051,SIM_A051_A060
A052,SIM_A052_A001
A053,SIM_A053_A002
A054,SIM_A054_A003
A055,SIM_A055_A004
A056,SIM_A056_A005
A057,SIM_A057_A006
A058,SIM_A058_A007
A059,SIM_A059_A008
A060,SIM_A060_A009
