from_id,to_id
A001,B001
A002,B002
A003,B003
A004,B004
A005,B005
A006,B006
A007,B007
A008,B008
A009,B009
A010,B010
A011,B011
A012,B012
A013,B013
A014,B014
A015,B015
A016,B016
A017,B017
A018,B018
A019,B019
A020,B020
A021,B021
A022,B022
A023,B023
A024,B024
A025,B001
A026,B002
A027,B003
A028,B004
A029,B005
A030,B006
A031,B007
A032,B008
A033,B009
A034,B010
A035,B011
A036,B012
A037,B013
A038,B014
A039,B015
A040,B016
A041,B017
A042,B018
A043,B019
A044,B020
A045,B021
A046,B022
A047,B023
A048,B024
A049,B001
A050,B002
A051,B003
A052,B004
A053,B005
A054,B006
A055,B007
A056,B008
A057,B009
A058,B010
A059,B011
A060,B012
