from_id,to_id
A001,M01
A002,M01
A003,M02
A004,M02
A005,M03
A006,M03
A007,M04
A008,M04
A009,M05
A010,M05
A011,M06
A012,M06
A013,M07
A014,M07
A015,M08
A016,M08
A017,M09
A018,M09
A019,M10
A020,M10
A021,M11
A022,M11
A023,M12
A024,M12
A025,M01
A026,M01
A027,M02
A028,M02
A029,M03
A030,M03
A031,M04
A032,M04
A033,M05
A034,M05
A035,M06
A036,M06
A037,M07
A038,M07
A039,M08
A040,M08
A041,M09
A042,M09
A043,M10
A044,M10
A045,M11
A046,M11
A047,M12
A048,M12
A049,M01
A050,M01
A051,M02
A052,M02
A053,M03
A054,M03
A055,M04
A056,M04
A057,M05
A058,M05
A059,M06
A060,M06
