from_id,to_id
A001,POOL01
A002,POOL02
A003,POOL03
A004,POOL04
A005,POOL05
A006,POOL06
A007,POOL01
A008,POOL02
A009,POOL03
A010,POOL04
A011,POOL05
A012,POOL06
A013,POOL01
A014,POOL02
A015,POOL03
A016,POOL04
A017,POOL05
A018,POOL06
A019,POOL01
A020,POOL02
A021,POOL03
A022,POOL04
A023,POOL05
A024,POOL06
A025,POOL01
A026,POOL02
A027,POOL03
A028,POOL04
A029,POOL05
A030,POOL06
A031,POOL01
A032,POOL02
A033,POOL03
A034,POOL04
A035,POOL05
A036,POOL06
A037,POOL01
A038,POOL02
A039,POOL03
A040,POOL04
A041,POOL05
A042,POOL06
A043,POOL01
A044,POOL02
A045,POOL03
A046,POOL04
A047,POOL05
A048,POOL06
A049,POOL01
A050,POOL02
A051,POOL03
A052,POOL04
A053,POOL05
A054,POOL06
A055,POOL01
A056,POOL02
A057,POOL03
A058,POOL04
A059,POOL05
A060,POOL06
