from_id,to_id,relationship_start,primary_flag
A001,H0001,2026-06-01,True
A001,H0002,2026-05-02,True
A001,H0003,2026-04-02,True
A001,H0004,2026-03-03,True
A001,H0005,2026-02-01,True
A001,H0006,2026-01-02,True
A002,H0007,2025-12-03,True
A002,H0008,2025-11-03,True
A002,H0009,2025-10-04,True
A002,H0010,2025-09-04,True
A002,H0011,2025-08-05,True
A002,H0012,2025-07-06,True
A003,H0013,2025-06-06,True
A003,H0014,2025-05-07,True
A003,H0015,2025-04-07,True
A003,H0016,2025-03-08,True
A003,H0017,2025-02-06,True
A003,H0018,2025-01-07,True
A004,H0019,2024-12-08,True
A004,H0020,2024-11-08,True
A004,H0021,2024-10-09,True
A004,H0022,2024-09-09,True
A004,H0023,2024-08-10,True
A004,H0024,2024-07-11,True
A005,H0025,2024-06-11,True
A005,H0026,2024-05-12,True
A005,H0027,2024-04-12,True
A005,H0028,2024-03-13,True
A005,H0029,2024-02-12,True
A005,H0030,2024-01-13,True
A006,H0031,2023-12-14,True
A006,H0032,2023-11-14,True
A006,H0033,2023-10-15,True
A006,H0034,2023-09-15,True
A006,H0035,2023-08-16,True
A006,H0036,2023-07-17,True
A007,H0037,2023-06-17,True
A007,H0038,2023-05-18,True
A007,H0039,2023-04-18,True
A007,H0040,2023-03-19,True
A007,H0041,2023-02-17,True
A007,H0042,2023-01-18,True
A008,H0043,2022-12-19,True
A008,H0044,2022-11-19,True
A008,H0045,2022-10-20,True
A008,H0046,2022-09-20,True
A008,H0047,2022-08-21,True
A008,H0048,2022-07-22,True
A009,H0049,2022-06-22,True
A009,H0050,2022-05-23,True
A009,H0051,2022-04-23,True
A009,H0052,2022-03-24,True
A009,H0053,2022-02-22,True
A009,H0054,2022-01-23,True
A010,H0055,2021-12-24,True
A010,H0056,2021-11-24,True
A010,H0057,2021-10-25,True
A010,H0058,2021-09-25,True
A010,H0059,2021-08-26,True
A010,H0060,2021-07-27,True
A011,H0061,2021-06-27,True
A011,H0062,2021-05-28,True
A011,H0063,2021-04-28,True
A011,H0064,2021-03-29,True
A011,H0065,2021-02-27,True
A011,H0066,2021-01-28,True
A012,H0067,2020-12-29,True
A012,H0068,2020-11-29,True
A012,H0069,2020-10-30,True
A012,H0070,2020-09-30,True
A012,H0071,2020-08-31,True
A012,H0072,2020-08-01,True
A013,H0073,2020-07-02,True
A013,H0074,2020-06-02,True
A013,H0075,2020-05-03,True
A013,H0076,2020-04-03,True
A013,H0077,2020-03-04,True
A013,H0078,2020-02-03,True
A014,H0079,2020-01-04,True
A014,H0080,2019-12-05,True
A014,H0081,2019-11-05,True
A014,H0082,2019-10-06,True
A014,H0083,2019-09-06,True
A014,H0084,2019-08-07,True
A015,H0085,2019-07-08,True
A015,H0086,2019-06-08,True
A015,H0087,2019-05-09,True
A015,H0088,2019-04-09,True
A015,H0089,2019-03-10,True
A015,H0090,2019-02-08,True
A016,H0091,2019-01-09,True
A016,H0092,2018-12-10,True
A016,H0093,2018-11-10,True
A016,H0094,2018-10-11,True
A016,H0095,2018-09-11,True
A016,H0096,2018-08-12,True
A017,H0097,2018-07-13,True
A017,H0098,2018-06-13,True
A017,H0099,2018-05-14,True
A017,H0100,2018-04-14,True
A017,H0101,2018-03-15,True
A017,H0102,2018-02-13,True
A018,H0103,2018-01-14,True
A018,H0104,2017-12-15,True
A018,H0105,2017-11-15,True
A018,H0106,2017-10-16,True
A018,H0107,2017-09-16,True
A018,H0108,2017-08-17,True
A019,H0109,2017-07-18,True
A019,H0110,2017-06-18,True
A019,H0111,2017-05-19,True
A019,H0112,2017-04-19,True
A019,H0113,2017-03-20,True
A019,H0114,2017-02-18,True
A020,H0115,2017-01-19,True
A020,H0116,2016-12-20,True
A020,H0117,2016-11-20,True
A020,H0118,2016-10-21,True
A020,H0119,2016-09-21,True
A020,H0120,2026-07-01,True
A021,H0121,2026-06-01,True
A021,H0122,2026-05-02,True
A021,H0123,2026-04-02,True
A021,H0124,2026-03-03,True
A021,H0125,2026-02-01,True
A021,H0126,2026-01-02,True
A022,H0127,2025-12-03,True
A022,H0128,2025-11-03,True
A022,H0129,2025-10-04,True
A022,H0130,2025-09-04,True
A022,H0131,2025-08-05,True
A022,H0132,2025-07-06,True
A023,H0133,2025-06-06,True
A023,H0134,2025-05-07,True
A023,H0135,2025-04-07,True
A023,H0136,2025-03-08,True
A023,H0137,2025-02-06,True
A023,H0138,2025-01-07,True
A024,H0139,2024-12-08,True
A024,H0140,2024-11-08,True
A024,H0141,2024-10-09,True
A024,H0142,2024-09-09,True
A024,H0143,2024-08-10,True
A024,H0144,2024-07-11,True
A025,H0145,2024-06-11,True
A025,H0146,2024-05-12,True
A025,H0147,2024-04-12,True
A025,H0148,2024-03-13,True
A025,H0149,2024-02-12,True
A025,H0150,2024-01-13,True
A026,H0151,2023-12-14,True
A026,H0152,2023-11-14,True
A026,H0153,2023-10-15,True
A026,H0154,2023-09-15,True
A026,H0155,2023-08-16,True
A026,H0156,2023-07-17,True
A027,H0157,2023-06-17,True
A027,H0158,2023-05-18,True
A027,H0159,2023-04-18,True
A027,H0160,2023-03-19,True
A027,H0161,2023-02-17,True
A027,H0162,2023-01-18,True
A028,H0163,2022-12-19,True
A028,H0164,2022-11-19,True
A028,H0165,2022-10-20,True
A028,H0166,2022-09-20,True
A028,H0167,2022-08-21,True
A028,H0168,2022-07-22,True
A029,H0169,2022-06-22,True
A029,H0170,2022-05-23,True
A029,H0171,2022-04-23,True
A029,H0172,2022-03-24,True
A029,H0173,2022-02-22,True
A029,H0174,2022-01-23,True
A030,H0175,2021-12-24,True
A030,H0176,2021-11-24,True
A030,H0177,2021-10-25,True
A030,H0178,2021-09-25,True
A030,H0179,2021-08-26,True
A030,H0180,2021-07-27,True
A031,H0181,2021-06-27,True
A031,H0182,2021-05-28,True
A031,H0183,2021-04-28,True
A031,H0184,2021-03-29,True
A031,H0185,2021-02-27,True
A031,H0186,2021-01-28,True
A032,H0187,2020-12-29,True
A032,H0188,2020-11-29,True
A032,H0189,2020-10-30,True
A032,H0190,2020-09-30,True
A032,H0191,2020-08-31,True
A032,H0192,2020-08-01,True
A033,H0193,2020-07-02,True
A033,H0194,2020-06-02,True
A033,H0195,2020-05-03,True
A033,H0196,2020-04-03,True
A033,H0197,2020-03-04,True
A033,H0198,2020-02-03,True
A034,H0199,2020-01-04,True
A034,H0200,2019-12-05,True
A034,H0201,2019-11-05,True
A034,H0202,2019-10-06,True
A034,H0203,2019-09-06,True
A034,H0204,2019-08-07,True
A035,H0205,2019-07-08,True
A035,H0206,2019-06-08,True
