from_id,to_id
OPP_A001,CRMOPP00100
OPP_A002,CRMOPP00200
OPP_A003,CRMOPP00300
OPP_A004,CRMOPP00400
OPP_A005,CRMOPP00500
OPP_A006,CRMOPP00600
OPP_A007,CRMOPP00700
OPP_A008,CRMOPP00800
OPP_A009,CRMOPP00900
OPP_A010,CRMOPP01000
OPP_A011,CRMOPP01100
OPP_A012,CRMOPP01200
OPP_A013,CRMOPP01300
OPP_A014,CRMOPP01400
OPP_A015,CRMOPP01500
OPP_A016,CRMOPP01600
OPP_A017,CRMOPP01700
OPP_A018,CRMOPP01800
OPP_A019,CRMOPP01900
OPP_A020,CRMOPP02000
OPP_A021,CRMOPP02100
OPP_A022,CRMOPP02200
OPP_A023,CRMOPP02300
OPP_A024,CRMOPP02400
OPP_A025,CRMOPP02500
OPP_A026,CRMOPP02600
OPP_A027,CRMOPP02700
OPP_A028,CRMOPP02800
OPP_A029,CRMOPP02900
OPP_A030,CRMOPP03000
OPP_A031,CRMOPP03100
OPP_A032,CRMOPP03200
OPP_A033,CRMOPP03300
OPP_A034,CRMOPP03400
OPP_A035,CRMOPP03500
OPP_A036,CRMOPP03600
OPP_A037,CRMOPP03700
OPP_A038,CRMOPP03800
OPP_A039,CRMOPP03900
OPP_A040,CRMOPP04000
OPP_A041,CRMOPP04100
OPP_A042,CRMOPP04200
OPP_A043,CRMOPP04300
OPP_A044,CRMOPP04400
OPP_A045,CRMOPP04500
OPP_A046,CRMOPP04600
OPP_A047,CRMOPP04700
OPP_A048,CRMOPP04800
OPP_A049,CRMOPP04900
OPP_A050,CRMOPP05000
OPP_A051,CRMOPP05100
OPP_A052,CRMOPP05200
OPP_A053,CRMOPP05300
OPP_A054,CRMOPP05400
OPP_A055,CRMOPP05500
OPP_A056,CRMOPP05600
OPP_A057,CRMOPP05700
OPP_A058,CRMOPP05800
OPP_A059,CRMOPP05900
OPP_A060,CRMOPP06000
