from_id,to_id
AUM_A001_PER202408,PER202408
AUM_A002_PER202408,PER202408
AUM_A003_PER202408,PER202408
AUM_A004_PER202408,PER202408
AUM_A005_PER202408,PER202408
AUM_A006_PER202408,PER202408
AUM_A007_PER202408,PER202408
AUM_A008_PER202408,PER202408
AUM_A009_PER202408,PER202408
AUM_A010_PER202408,PER202408
AUM_A011_PER202408,PER202408
AUM_A012_PER202408,PER202408
AUM_A013_PER202408,PER202408
AUM_A014_PER202408,PER202408
AUM_A015_PER202408,PER202408
AUM_A016_PER202408,PER202408
AUM_A017_PER202408,PER202408
AUM_A018_PER202408,PER202408
AUM_A019_PER202408,PER202408
AUM_A020_PER202408,PER202408
AUM_A021_PER202408,PER202408
AUM_A022_PER202408,PER202408
AUM_A023_PER202408,PER202408
AUM_A024_PER202408,PER202408
AUM_A025_PER202408,PER202408
AUM_A026_PER202408,PER202408
AUM_A027_PER202408,PER202408
AUM_A028_PER202408,PER202408
AUM_A029_PER202408,PER202408
AUM_A030_PER202408,PER202408
AUM_A031_PER202408,PER202408
AUM_A032_PER202408,PER202408
AUM_A033_PER202408,PER202408
AUM_A034_PER202408,PER202408
AUM_A035_PER202408,PER202408
AUM_A036_PER202408,PER202408
AUM_A037_PER202408,PER202408
AUM_A038_PER202408,PER202408
AUM_A039_PER202408,PER202408
AUM_A040_PER202408,PER202408
AUM_A041_PER202408,PER202408
AUM_A042_PER202408,PER202408
AUM_A043_PER202408,PER202408
AUM_A044_PER202408,PER202408
AUM_A045_PER202408,PER202408
AUM_A046_PER202408,PER202408
AUM_A047_PER202408,PER202408
AUM_A048_PER202408,PER202408
AUM_A049_PER202408,PER202408
AUM_A050_PER202408,PER202408
AUM_A051_PER202408,PER202408
AUM_A052_PER202408,PER202408
AUM_A053_PER202408,PER202408
AUM_A054_PER202408,PER202408
AUM_A055_PER202408,PER202408
AUM_A056_PER202408,PER202408
AUM_A057_PER202408,PER202408
AUM_A058_PER202408,PER202408
AUM_A059_PER202408,PER202408
AUM_A060_PER202408,PER202408
AUM_A001_PER202409,PER202409
AUM_A002_PER202409,PER202409
AUM_A003_PER202409,PER202409
AUM_A004_PER202409,PER202409
AUM_A005_PER202409,PER202409
AUM_A006_PER202409,PER202409
AUM_A007_PER202409,PER202409
AUM_A008_PER202409,PER202409
AUM_A009_PER202409,PER202409
AUM_A010_PER202409,PER202409
AUM_A011_PER202409,PER202409
AUM_A012_PER202409,PER202409
AUM_A013_PER202409,PER202409
AUM_A014_PER202409,PER202409
AUM_A015_PER202409,PER202409
AUM_A016_PER202409,PER202409
AUM_A017_PER202409,PER202409
AUM_A018_PER202409,PER202409
AUM_A019_PER202409,PER202409
AUM_A020_PER202409,PER202409
AUM_A021_PER202409,PER202409
AUM_A022_PER202409,PER202409
AUM_A023_PER202409,PER202409
AUM_A024_PER202409,PER202409
AUM_A025_PER202409,PER202409
AUM_A026_PER202409,PER202409
AUM_A027_PER202409,PER202409
AUM_A028_PER202409,PER202409
AUM_A029_PER202409,PER202409
AUM_A030_PER202409,PER202409
AUM_A031_PER202409,PER202409
AUM_A032_PER202409,PER202409
AUM_A033_PER202409,PER202409
AUM_A034_PER202409,PER202409
AUM_A035_PER202409,PER202409
AUM_A036_PER202409,PER202409
AUM_A037_PER202409,PER202409
AUM_A038_PER202409,PER202409
AUM_A039_PER202409,PER202409
AUM_A040_PER202409,PER202409
AUM_A041_PER202409,PER202409
AUM_A042_PER202409,PER202409
AUM_A043_PER202409,PER202409
AUM_A044_PER202409,PER202409
AUM_A045_PER202409,PER202409
AUM_A046_PER202409,PER202409
AUM_A047_PER202409,PER202409
AUM_A048_PER202409,PER202409
AUM_A049_PER202409,PER202409
AUM_A050_PER202409,PER202409
AUM_A051_PER202409,PER202409
AUM_A052_PER202409,PER202409
AUM_A053_PER202409,PER202409
AUM_A054_PER202409,PER202409
AUM_A055_PER202409,PER202409
AUM_A056_PER202409,PER202409
AUM_A057_PER202409,PER202409
AUM_A058_PER202409,PER202409
AUM_A059_PER202409,PER202409
AUM_A060_PER202409,PER202409
AUM_A001_PER202410,PER202410
AUM_A002_PER202410,PER202410
AUM_A003_PER202410,PER202410
AUM_A004_PER202410,PER202410
AUM_A005_PER202410,PER202410
AUM_A006_PER202410,PER202410
AUM_A007_PER202410,PER202410
AUM_A008_PER202410,PER202410
AUM_A009_PER202410,PER202410
AUM_A010_PER202410,PER202410
AUM_A011_PER202410,PER202410
AUM_A012_PER202410,PER202410
AUM_A013_PER202410,PER202410
AUM_A014_PER202410,PER202410
AUM_A015_PER202410,PER202410
AUM_A016_PER202410,PER202410
AUM_A017_PER202410,PER202410
AUM_A018_PER202410,PER202410
AUM_A019_PER202410,PER202410
AUM_A020_PER202410,PER202410
AUM_A021_PER202410,PER202410
AUM_A022_PER202410,PER202410
AUM_A023_PER202410,PER202410
AUM_A024_PER202410,PER202410
AUM_A025_PER202410,PER202410
AUM_A026_PER202410,PER202410
AUM_A027_PER202410,PER202410
AUM_A028_PER202410,PER202410
AUM_A029_PER202410,PER202410
AUM_A030_PER202410,PER202410
AUM_A031_PER202410,PER202410
AUM_A032_PER202410,PER202410
AUM_A033_PER202410,PER202410
AUM_A034_PER202410,PER202410
AUM_A035_PER202410,PER202410
AUM_A036_PER202410,PER202410
AUM_A037_PER202410,PER202410
AUM_A038_PER202410,PER202410
AUM_A039_PER202410,PER202410
AUM_A040_PER202410,PER202410
AUM_A041_PER202410,PER202410
AUM_A042_PER202410,PER202410
AUM_A043_PER202410,PER202410
AUM_A044_PER202410,PER202410
AUM_A045_PER202410,PER202410
AUM_A046_PER202410,PER202410
AUM_A047_PER202410,PER202410
AUM_A048_PER202410,PER202410
AUM_A049_PER202410,PER202410
AUM_A050_PER202410,PER202410
AUM_A051_PER202410,PER202410
AUM_A052_PER202410,PER202410
AUM_A053_PER202410,PER202410
AUM_A054_PER202410,PER202410
AUM_A055_PER202410,PER202410
AUM_A056_PER202410,PER202410
AUM_A057_PER202410,PER202410
AUM_A058_PER202410,PER202410
AUM_A059_PER202410,PER202410
AUM_A060_PER202410,PER202410
AUM_A001_PER202411,PER202411
AUM_A002_PER202411,PER202411
AUM_A003_PER202411,PER202411
AUM_A004_PER202411,PER202411
AUM_A005_PER202411,PER202411
AUM_A006_PER202411,PER202411
AUM_A007_PER202411,PER202411
AUM_A008_PER202411,PER202411
AUM_A009_PER202411,PER202411
AUM_A010_PER202411,PER202411
AUM_A011_PER202411,PER202411
AUM_A012_PER202411,PER202411
AUM_A013_PER202411,PER202411
AUM_A014_PER202411,PER202411
AUM_A015_PER202411,PER202411
AUM_A016_PER202411,PER202411
AUM_A017_PER202411,PER202411
AUM_A018_PER202411,PER202411
AUM_A019_PER202411,PER202411
AUM_A020_PER202411,PER202411
AUM_A021_PER202411,PER202411
AUM_A022_PER202411,PER202411
AUM_A023_PER202411,PER202411
AUM_A024_PER202411,PER202411
AUM_A025_PER202411,PER202411
AUM_A026_PER202411,PER202411
AUM_A027_PER202411,PER202411
AUM_A028_PER202411,PER202411
AUM_A029_PER202411,PER202411
AUM_A030_PER202411,PER202411
AUM_A031_PER202411,PER202411
AUM_A032_PER202411,PER202411
AUM_A033_PER202411,PER202411
AUM_A034_PER202411,PER202411
AUM_A035_PER202411,PER202411
AUM_A036_PER202411,PER202411
AUM_A037_PER202411,PER202411
AUM_A038_PER202411,PER202411
AUM_A039_PER202411,PER202411
AUM_A040_PER202411,PER202411
AUM_A041_PER202411,PER202411
AUM_A042_PER202411,PER202411
AUM_A043_PER202411,PER202411
AUM_A044_PER202411,PER202411
AUM_A045_PER202411,PER202411
AUM_A046_PER202411,PER202411
AUM_A047_PER202411,PER202411
AUM_A048_PER202411,PER202411
AUM_A049_PER202411,PER202411
AUM_A050_PER202411,PER202411
AUM_A051_PER202411,PER202411
AUM_A052_PER202411,PER202411
AUM_A053_PER202411,PER202411
AUM_A054_PER202411,PER202411
AUM_A055_PER202411,PER202411
AUM_A056_PER202411,PER202411
AUM_A057_PER202411,PER202411
AUM_A058_PER202411,PER202411
AUM_A059_PER202411,PER202411
AUM_A060_PER202411,PER202411
AUM_A001_PER202412,PER202412
AUM_A002_PER202412,PER202412
AUM_A003_PER202412,PER202412
AUM_A004_PER202412,PER202412
AUM_A005_PER202412,PER202412
AUM_A006_PER202412,PER202412
AUM_A007_PER202412,PER202412
AUM_A008_PER202412,PER202412
AUM_A009_PER202412,PER202412
AUM_A010_PER202412,PER202412
AUM_A011_PER202412,PER202412
AUM_A012_PER202412,PER202412
AUM_A013_PER202412,PER202412
AUM_A014_PER202412,PER202412
AUM_A015_PER202412,PER202412
AUM_A016_PER202412,PER202412
AUM_A017_PER202412,PER202412
AUM_A018_PER202412,PER202412
AUM_A019_PER202412,PER202412
AUM_A020_PER202412,PER202412
AUM_A021_PER202412,PER202412
AUM_A022_PER202412,PER202412
AUM_A023_PER202412,PER202412
AUM_A024_PER202412,PER202412
AUM_A025_PER202412,PER202412
AUM_A026_PER202412,PER202412
AUM_A027_PER202412,PER202412
AUM_A028_PER202412,PER202412
AUM_A029_PER202412,PER202412
AUM_A030_PER202412,PER202412
AUM_A031_PER202412,PER202412
AUM_A032_PER202412,PER202412
AUM_A033_PER202412,PER202412
AUM_A034_PER202412,PER202412
AUM_A035_PER202412,PER202412
AUM_A036_PER202412,PER202412
AUM_A037_PER202412,PER202412
AUM_A038_PER202412,PER202412
AUM_A039_PER202412,PER202412
AUM_A040_PER202412,PER202412
AUM_A041_PER202412,PER202412
AUM_A042_PER202412,PER202412
AUM_A043_PER202412,PER202412
AUM_A044_PER202412,PER202412
AUM_A045_PER202412,PER202412
AUM_A046_PER202412,PER202412
AUM_A047_PER202412,PER202412
AUM_A048_PER202412,PER202412
AUM_A049_PER202412,PER202412
AUM_A050_PER202412,PER202412
AUM_A051_PER202412,PER202412
AUM_A052_PER202412,PER202412
AUM_A053_PER202412,PER202412
AUM_A054_PER202412,PER202412
AUM_A055_PER202412,PER202412
AUM_A056_PER202412,PER202412
AUM_A057_PER202412,PER202412
AUM_A058_PER202412,PER202412
AUM_A059_PER202412,PER202412
AUM_A060_PER202412,PER202412
AUM_A001_PER202501,PER202501
AUM_A002_PER202501,PER202501
AUM_A003_PER202501,PER202501
AUM_A004_PER202501,PER202501
AUM_A005_PER202501,PER202501
AUM_A006_PER202501,PER202501
AUM_A007_PER202501,PER202501
AUM_A008_PER202501,PER202501
AUM_A009_PER202501,PER202501
AUM_A010_PER202501,PER202501
AUM_A011_PER202501,PER202501
AUM_A012_PER202501,PER202501
AUM_A013_PER202501,PER202501
AUM_A014_PER202501,PER202501
AUM_A015_PER202501,PER202501
AUM_A016_PER202501,PER202501
AUM_A017_PER202501,PER202501
AUM_A018_PER202501,PER202501
AUM_A019_PER202501,PER202501
AUM_A020_PER202501,PER202501
AUM_A021_PER202501,PER202501
AUM_A022_PER202501,PER202501
AUM_A023_PER202501,PER202501
AUM_A024_PER202501,PER202501
AUM_A025_PER202501,PER202501
AUM_A026_PER202501,PER202501
AUM_A027_PER202501,PER202501
AUM_A028_PER202501,PER202501
AUM_A029_PER202501,PER202501
AUM_A030_PER202501,PER202501
AUM_A031_PER202501,PER202501
AUM_A032_PER202501,PER202501
AUM_A033_PER202501,PER202501
AUM_A034_PER202501,PER202501
AUM_A035_PER202501,PER202501
AUM_A036_PER202501,PER202501
AUM_A037_PER202501,PER202501
AUM_A038_PER202501,PER202501
AUM_A039_PER202501,PER202501
AUM_A040_PER202501,PER202501
AUM_A041_PER202501,PER202501
AUM_A042_PER202501,PER202501
AUM_A043_PER202501,PER202501
AUM_A044_PER202501,PER202501
AUM_A045_PER202501,PER202501
AUM_A046_PER202501,PER202501
AUM_A047_PER202501,PER202501
AUM_A048_PER202501,PER202501
AUM_A049_PER202501,PER202501
AUM_A050_PER202501,PER202501
AUM_A051_PER202501,PER202501
AUM_A052_PER202501,PER202501
AUM_A053_PER202501,PER202501
AUM_A054_PER202501,PER202501
AUM_A055_PER202501,PER202501
AUM_A056_PER202501,PER202501
AUM_A057_PER202501,PER202501
AUM_A058_PER202501,PER202501
AUM_A059_PER202501,PER202501
AUM_A060_PER202501,PER202501
AUM_A001_PER202502,PER202502
AUM_A002_PER202502,PER202502
AUM_A003_PER202502,PER202502
AUM_A004_PER202502,PER202502
AUM_A005_PER202502,PER202502
AUM_A006_PER202502,PER202502
AUM_A007_PER202502,PER202502
AUM_A008_PER202502,PER202502
AUM_A009_PER202502,PER202502
AUM_A010_PER202502,PER202502
AUM_A011_PER202502,PER202502
AUM_A012_PER202502,PER202502
AUM_A013_PER202502,PER202502
AUM_A014_PER202502,PER202502
AUM_A015_PER202502,PER202502
AUM_A016_PER202502,PER202502
AUM_A017_PER202502,PER202502
AUM_A018_PER202502,PER202502
AUM_A019_PER202502,PER202502
AUM_A020_PER202502,PER202502
AUM_A021_PER202502,PER202502
AUM_A022_PER202502,PER202502
AUM_A023_PER202502,PER202502
AUM_A024_PER202502,PER202502
AUM_A025_PER202502,PER202502
AUM_A026_PER202502,PER202502
AUM_A027_PER202502,PER202502
AUM_A028_PER202502,PER202502
AUM_A029_PER202502,PER202502
AUM_A030_PER202502,PER202502
AUM_A031_PER202502,PER202502
AUM_A032_PER202502,PER202502
AUM_A033_PER202502,PER202502
AUM_A034_PER202502,PER202502
AUM_A035_PER202502,PER202502
AUM_A036_PER202502,PER202502
AUM_A037_PER202502,PER202502
AUM_A038_PER202502,PER202502
AUM_A039_PER202502,PER202502
AUM_A040_PER202502,PER202502
AUM_A041_PER202502,PER202502
AUM_A042_PER202502,PER202502
AUM_A043_PER202502,PER202502
AUM_A044_PER202502,PER202502
AUM_A045_PER202502,PER202502
AUM_A046_PER202502,PER202502
AUM_A047_PER202502,PER202502
AUM_A048_PER202502,PER202502
AUM_A049_PER202502,PER202502
AUM_A050_PER202502,PER202502
AUM_A051_PER202502,PER202502
AUM_A052_PER202502,PER202502
AUM_A053_PER202502,PER202502
AUM_A054_PER202502,PER202502
AUM_A055_PER202502,PER202502
AUM_A056_PER202502,PER202502
AUM_A057_PER202502,PER202502
AUM_A058_PER202502,PER202502
AUM_A059_PER202502,PER202502
AUM_A060_PER202502,PER202502
AUM_A001_PER202503,PER202503
AUM_A002_PER202503,PER202503
AUM_A003_PER202503,PER202503
AUM_A004_PER202503,PER202503
AUM_A005_PER202503,PER202503
AUM_A006_PER202503,PER202503
