from_id,to_id
COACH0010,A001
COACH0011,A001
COACH0012,A001
COACH0020,A002
COACH0021,A002
COACH0022,A002
COACH0030,A003
COACH0031,A003
COACH0032,A003
COACH0040,A004
COACH0041,A004
COACH0042,A004
COACH0050,A005
COACH0051,A005
COACH0052,A005
COACH0060,A006
COACH0061,A006
COACH0062,A006
COACH0070,A007
COACH0071,A007
COACH0072,A007
COACH0080,A008
COACH0081,A008
COACH0082,A008
COACH0090,A009
COACH0091,A009
COACH0092,A009
COACH0100,A010
COACH0101,A010
COACH0102,A010
COACH0110,A011
COACH0111,A011
COACH0112,A011
COACH0120,A012
COACH0121,A012
COACH0122,A012
COACH0130,A013
COACH0131,A013
COACH0132,A013
COACH0140,A014
COACH0141,A014
COACH0142,A014
COACH0150,A015
COACH0151,A015
COACH0152,A015
COACH0160,A016
COACH0161,A016
COACH0162,A016
COACH0170,A017
COACH0171,A017
COACH0172,A017
COACH0180,A018
COACH0181,A018
COACH0182,A018
COACH0190,A019
COACH0191,A019
COACH0192,A019
COACH0200,A020
COACH0201,A020
COACH0202,A020
COACH0210,A021
COACH0211,A021
COACH0212,A021
COACH0220,A022
COACH0221,A022
COACH0222,A022
COACH0230,A023
COACH0231,A023
COACH0232,A023
COACH0240,A024
COACH0241,A024
COACH0242,A024
