from_id,to_id
COACH0010,ENR001
COACH0011,ENR001
COACH0012,ENR001
COACH0020,ENR002
COACH0021,ENR002
COACH0022,ENR002
COACH0030,ENR003
COACH0031,ENR003
COACH0032,ENR003
COACH0040,ENR004
COACH0041,ENR004
COACH0042,ENR004
COACH0050,ENR005
COACH0051,ENR005
COACH0052,ENR005
COACH0060,ENR006
COACH0061,ENR006
COACH0062,ENR006
COACH0070,ENR007
COACH0071,ENR007
COACH0072,ENR007
COACH0080,ENR008
COACH0081,ENR008
COACH0082,ENR008
COACH0090,ENR009
COACH0091,ENR009
COACH0092,ENR009
COACH0100,ENR010
COACH0101,ENR010
COACH0102,ENR010
COACH0110,ENR011
COACH0111,ENR011
COACH0112,ENR011
COACH0120,ENR012
COACH0121,ENR012
COACH0122,ENR012
COACH0130,ENR013
COACH0131,ENR013
COACH0132,ENR013
COACH0140,ENR014
COACH0141,ENR014
COACH0142,ENR014
COACH0150,ENR015
COACH0151,ENR015
COACH0152,ENR015
COACH0160,ENR016
COACH0161,ENR016
COACH0162,ENR016
COACH0170,ENR017
COACH0171,ENR017
COACH0172,ENR017
COACH0180,ENR018
COACH0181,ENR018
COACH0182,ENR018
COACH0190,ENR019
COACH0191,ENR019
COACH0192,ENR019
COACH0200,ENR020
COACH0201,ENR020
COACH0202,ENR020
COACH0210,ENR021
COACH0211,ENR021
COACH0212,ENR021
COACH0220,ENR022
COACH0221,ENR022
COACH0222,ENR022
COACH0230,ENR023
COACH0231,ENR023
COACH0232,ENR023
COACH0240,ENR024
COACH0241,ENR024
COACH0242,ENR024
