from_id,to_id
CTASK0001,U_MDW01
CTASK0002,U_MDW01
CTASK0003,U_MDW01
CTASK0004,U_MDW01
CTASK0005,U_MDW02
CTASK0006,U_MDW02
CTASK0007,U_MDW02
CTASK0008,U_MDW02
CTASK0009,U_MDW03
CTASK0010,U_MDW03
CTASK0011,U_MDW03
CTASK0012,U_MDW03
CTASK0013,U_MDW04
CTASK0014,U_MDW04
CTASK0015,U_MDW04
CTASK0016,U_MDW04
CTASK0017,U_MDW05
CTASK0018,U_MDW05
CTASK0019,U_MDW05
CTASK0020,U_MDW05
CTASK0021,U_MDW06
CTASK0022,U_MDW06
CTASK0023,U_MDW06
CTASK0024,U_MDW06
CTASK0025,U_MDW07
CTASK0026,U_MDW07
CTASK0027,U_MDW07
CTASK0028,U_MDW07
CTASK0029,U_MDW08
CTASK0030,U_MDW08
CTASK0031,U_MDW08
CTASK0032,U_MDW08
CTASK0033,U_MDW09
CTASK0034,U_MDW09
CTASK0035,U_MDW09
CTASK0036,U_MDW09
CTASK0037,U_MDW10
CTASK0038,U_MDW10
CTASK0039,U_MDW10
CTASK0040,U_MDW10
CTASK0041,U_MDW11
CTASK0042,U_MDW11
CTASK0043,U_MDW11
CTASK0044,U_MDW11
CTASK0045,U_MDW12
CTASK0046,U_MDW12
CTASK0047,U_MDW12
CTASK0048,U_MDW12
CTASK0049,U_MDW01
CTASK0050,U_MDW01
CTASK0051,U_MDW01
CTASK0052,U_MDW01
CTASK0053,U_MDW02
CTASK0054,U_MDW02
CTASK0055,U_MDW02
CTASK0056,U_MDW02
CTASK0057,U_MDW03
CTASK0058,U_MDW03
CTASK0059,U_MDW03
CTASK0060,U_MDW03
CTASK0061,U_MDW04
CTASK0062,U_MDW04
CTASK0063,U_MDW05
CTASK0064,U_MDW05
CTASK0065,U_MDW06
CTASK0066,U_MDW06
CTASK0067,U_MDW07
CTASK0068,U_MDW07
CTASK0069,U_MDW08
CTASK0070,U_MDW08
CTASK0071,U_MDW09
CTASK0072,U_MDW09
CTASK0073,U_MDW10
CTASK0074,U_MDW10
CTASK0075,U_MDW11
CTASK0076,U_MDW11
CTASK0077,U_MDW12
CTASK0078,U_MDW12
CTASK0079,U_MDW01
CTASK0080,U_MDW01
CTASK0081,U_MDW02
CTASK0082,U_MDW02
CTASK0083,U_MDW03
CTASK0084,U_MDW03
CTASK0085,U_MDW04
CTASK0086,U_MDW04
CTASK0087,U_MDW05
CTASK0088,U_MDW05
CTASK0089,U_MDW06
CTASK0090,U_MDW06
