from_id,to_id
CRMOPP00100,AC00003
CRMOPP00101,AC00005
CRMOPP00102,AC00007
CRMOPP00200,AC00015
CRMOPP00201,AC00017
CRMOPP00202,AC00019
CRMOPP00300,AC00027
CRMOPP00301,AC00029
CRMOPP00302,AC00031
CRMOPP00400,AC00039
CRMOPP00401,AC00041
CRMOPP00402,AC00043
CRMOPP00500,AC00051
CRMOPP00501,AC00053
CRMOPP00502,AC00055
CRMOPP00600,AC00063
CRMOPP00601,AC00065
CRMOPP00602,AC00067
CRMOPP00700,AC00075
CRMOPP00701,AC00077
CRMOPP00702,AC00079
CRMOPP00800,AC00087
CRMOPP00801,AC00089
CRMOPP00802,AC00091
CRMOPP00900,AC00099
CRMOPP00901,AC00101
CRMOPP00902,AC00103
CRMOPP01000,AC00111
CRMOPP01001,AC00113
CRMOPP01002,AC00115
CRMOPP01100,AC00123
CRMOPP01101,AC00125
CRMOPP01102,AC00127
CRMOPP01200,AC00135
CRMOPP01201,AC00137
CRMOPP01202,AC00139
CRMOPP01300,AC00147
CRMOPP01301,AC00149
CRMOPP01302,AC00151
CRMOPP01400,AC00159
CRMOPP01401,AC00161
CRMOPP01402,AC00163
CRMOPP01500,AC00171
CRMOPP01501,AC00173
CRMOPP01502,AC00175
CRMOPP01600,AC00183
CRMOPP01601,AC00185
CRMOPP01602,AC00187
CRMOPP01700,AC00195
CRMOPP01701,AC00197
CRMOPP01702,AC00199
CRMOPP01800,AC00207
CRMOPP01801,AC00209
CRMOPP01802,AC00211
CRMOPP01900,AC00219
CRMOPP01901,AC00221
CRMOPP01902,AC00223
CRMOPP02000,AC00231
CRMOPP02001,AC00233
CRMOPP02002,AC00235
CRMOPP02100,AC00243
CRMOPP02101,AC00245
CRMOPP02102,AC00247
CRMOPP02200,AC00255
CRMOPP02201,AC00257
CRMOPP02202,AC00259
CRMOPP02300,AC00267
CRMOPP02301,AC00269
CRMOPP02302,AC00271
CRMOPP02400,AC00279
CRMOPP02401,AC00281
CRMOPP02402,AC00283
CRMOPP02500,AC00291
CRMOPP02501,AC00293
CRMOPP02502,AC00295
CRMOPP02600,AC00303
CRMOPP02601,AC00305
CRMOPP02602,AC00307
CRMOPP02700,AC00315
CRMOPP02701,AC00317
CRMOPP02702,AC00319
CRMOPP02800,AC00327
CRMOPP02801,AC00329
CRMOPP02802,AC00331
CRMOPP02900,AC00339
CRMOPP02901,AC00341
CRMOPP02902,AC00343
CRMOPP03000,AC00351
CRMOPP03001,AC00353
CRMOPP03002,AC00355
CRMOPP03100,AC00363
CRMOPP03101,AC00365
CRMOPP03102,AC00367
CRMOPP03200,AC00375
CRMOPP03201,AC00377
CRMOPP03202,AC00379
CRMOPP03300,AC00387
CRMOPP03301,AC00389
CRMOPP03302,AC00391
CRMOPP03400,AC00399
CRMOPP03401,AC00401
CRMOPP03402,AC00403
CRMOPP03500,AC00411
CRMOPP03501,AC00413
CRMOPP03502,AC00415
CRMOPP03600,AC00423
CRMOPP03601,AC00425
CRMOPP03602,AC00427
CRMOPP03700,AC00435
CRMOPP03701,AC00437
CRMOPP03702,AC00439
CRMOPP03800,AC00447
CRMOPP03801,AC00449
CRMOPP03802,AC00451
CRMOPP03900,AC00459
CRMOPP03901,AC00461
CRMOPP03902,AC00463
CRMOPP04000,AC00471
CRMOPP04001,AC00473
CRMOPP04002,AC00475
CRMOPP04100,AC00483
CRMOPP04101,AC00485
CRMOPP04102,AC00487
CRMOPP04200,AC00495
CRMOPP04201,AC00497
CRMOPP04202,AC00499
CRMOPP04300,AC00507
CRMOPP04301,AC00509
CRMOPP04302,AC00511
CRMOPP04400,AC00519
CRMOPP04401,AC00521
CRMOPP04402,AC00523
CRMOPP04500,AC00531
CRMOPP04501,AC00533
CRMOPP04502,AC00535
CRMOPP04600,AC00543
CRMOPP04601,AC00545
CRMOPP04602,AC00547
CRMOPP04700,AC00555
CRMOPP04701,AC00557
CRMOPP04702,AC00559
CRMOPP04800,AC00567
CRMOPP04801,AC00569
CRMOPP04802,AC00571
CRMOPP04900,AC00579
CRMOPP04901,AC00581
CRMOPP04902,AC00583
CRMOPP05000,AC00591
CRMOPP05001,AC00593
CRMOPP05002,AC00595
CRMOPP05100,AC00603
CRMOPP05101,AC00605
CRMOPP05102,AC00607
CRMOPP05200,AC00615
CRMOPP05201,AC00617
CRMOPP05202,AC00619
CRMOPP05300,AC00627
CRMOPP05301,AC00629
CRMOPP05302,AC00631
CRMOPP05400,AC00639
CRMOPP05401,AC00641
CRMOPP05402,AC00643
CRMOPP05500,AC00651
CRMOPP05501,AC00653
CRMOPP05502,AC00655
CRMOPP05600,AC00663
CRMOPP05601,AC00665
CRMOPP05602,AC00667
CRMOPP05700,AC00675
CRMOPP05701,AC00677
CRMOPP05702,AC00679
CRMOPP05800,AC00687
CRMOPP05801,AC00689
CRMOPP05802,AC00691
CRMOPP05900,AC00699
CRMOPP05901,AC00701
CRMOPP05902,AC00703
CRMOPP06000,AC00711
CRMOPP06001,AC00713
CRMOPP06002,AC00715
