from_id,to_id
CRMOPP00100,H0002
CRMOPP00101,H0003
CRMOPP00102,H0004
CRMOPP00200,H0008
CRMOPP00201,H0009
CRMOPP00202,H0010
CRMOPP00300,H0014
CRMOPP00301,H0015
CRMOPP00302,H0016
CRMOPP00400,H0020
CRMOPP00401,H0021
CRMOPP00402,H0022
CRMOPP00500,H0026
CRMOPP00501,H0027
CRMOPP00502,H0028
CRMOPP00600,H0032
CRMOPP00601,H0033
CRMOPP00602,H0034
CRMOPP00700,H0038
CRMOPP00701,H0039
CRMOPP00702,H0040
CRMOPP00800,H0044
CRMOPP00801,H0045
CRMOPP00802,H0046
CRMOPP00900,H0050
CRMOPP00901,H0051
CRMOPP00902,H0052
CRMOPP01000,H0056
CRMOPP01001,H0057
CRMOPP01002,H0058
CRMOPP01100,H0062
CRMOPP01101,H0063
CRMOPP01102,H0064
CRMOPP01200,H0068
CRMOPP01201,H0069
CRMOPP01202,H0070
CRMOPP01300,H0074
CRMOPP01301,H0075
CRMOPP01302,H0076
CRMOPP01400,H0080
CRMOPP01401,H0081
CRMOPP01402,H0082
CRMOPP01500,H0086
CRMOPP01501,H0087
CRMOPP01502,H0088
CRMOPP01600,H0092
CRMOPP01601,H0093
CRMOPP01602,H0094
CRMOPP01700,H0098
CRMOPP01701,H0099
CRMOPP01702,H0100
CRMOPP01800,H0104
CRMOPP01801,H0105
CRMOPP01802,H0106
CRMOPP01900,H0110
CRMOPP01901,H0111
CRMOPP01902,H0112
CRMOPP02000,H0116
CRMOPP02001,H0117
CRMOPP02002,H0118
CRMOPP02100,H0122
CRMOPP02101,H0123
CRMOPP02102,H0124
CRMOPP02200,H0128
CRMOPP02201,H0129
CRMOPP02202,H0130
CRMOPP02300,H0134
CRMOPP02301,H0135
CRMOPP02302,H0136
CRMOPP02400,H0140
CRMOPP02401,H0141
CRMOPP02402,H0142
CRMOPP02500,H0146
CRMOPP02501,H0147
CRMOPP02502,H0148
CRMOPP02600,H0152
CRMOPP02601,H0153
CRMOPP02602,H0154
CRMOPP02700,H0158
CRMOPP02701,H0159
CRMOPP02702,H0160
CRMOPP02800,H0164
CRMOPP02801,H0165
CRMOPP02802,H0166
CRMOPP02900,H0170
CRMOPP02901,H0171
CRMOPP02902,H0172
CRMOPP03000,H0176
CRMOPP03001,H0177
CRMOPP03002,H0178
CRMOPP03100,H0182
CRMOPP03101,H0183
CRMOPP03102,H0184
CRMOPP03200,H0188
CRMOPP03201,H0189
CRMOPP03202,H0190
CRMOPP03300,H0194
CRMOPP03301,H0195
CRMOPP03302,H0196
CRMOPP03400,H0200
CRMOPP03401,H0201
CRMOPP03402,H0202
CRMOPP03500,H0206
CRMOPP03501,H0207
CRMOPP03502,H0208
CRMOPP03600,H0212
CRMOPP03601,H0213
CRMOPP03602,H0214
CRMOPP03700,H0218
CRMOPP03701,H0219
CRMOPP03702,H0220
CRMOPP03800,H0224
CRMOPP03801,H0225
CRMOPP03802,H0226
CRMOPP03900,H0230
CRMOPP03901,H0231
CRMOPP03902,H0232
CRMOPP04000,H0236
CRMOPP04001,H0237
CRMOPP04002,H0238
CRMOPP04100,H0242
CRMOPP04101,H0243
CRMOPP04102,H0244
CRMOPP04200,H0248
CRMOPP04201,H0249
CRMOPP04202,H0250
CRMOPP04300,H0254
CRMOPP04301,H0255
CRMOPP04302,H0256
CRMOPP04400,H0260
CRMOPP04401,H0261
CRMOPP04402,H0262
CRMOPP04500,H0266
CRMOPP04501,H0267
CRMOPP04502,H0268
CRMOPP04600,H0272
CRMOPP04601,H0273
CRMOPP04602,H0274
CRMOPP04700,H0278
CRMOPP04701,H0279
CRMOPP04702,H0280
CRMOPP04800,H0284
CRMOPP04801,H0285
CRMOPP04802,H0286
CRMOPP04900,H0290
CRMOPP04901,H0291
CRMOPP04902,H0292
CRMOPP05000,H0296
CRMOPP05001,H0297
CRMOPP05002,H0298
CRMOPP05100,H0302
CRMOPP05101,H0303
CRMOPP05102,H0304
CRMOPP05200,H0308
CRMOPP05201,H0309
CRMOPP05202,H0310
CRMOPP05300,H0314
CRMOPP05301,H0315
CRMOPP05302,H0316
CRMOPP05400,H0320
CRMOPP05401,H0321
CRMOPP05402,H0322
CRMOPP05500,H0326
CRMOPP05501,H0327
CRMOPP05502,H0328
CRMOPP05600,H0332
CRMOPP05601,H0333
CRMOPP05602,H0334
CRMOPP05700,H0338
CRMOPP05701,H0339
CRMOPP05702,H0340
CRMOPP05800,H0344
CRMOPP05801,H0345
CRMOPP05802,H0346
CRMOPP05900,H0350
CRMOPP05901,H0351
CRMOPP05902,H0352
CRMOPP06000,H0356
CRMOPP06001,H0357
CRMOPP06002,H0358
