from_id,to_id
CRMOPP00100,P002
CRMOPP00101,P013
CRMOPP00102,P024
CRMOPP00200,P003
CRMOPP00201,P014
CRMOPP00202,P025
CRMOPP00300,P004
CRMOPP00301,P015
CRMOPP00302,P026
CRMOPP00400,P005
CRMOPP00401,P016
CRMOPP00402,P027
CRMOPP00500,P006
CRMOPP00501,P017
CRMOPP00502,P028
CRMOPP00600,P007
CRMOPP00601,P018
CRMOPP00602,P029
CRMOPP00700,P008
CRMOPP00701,P019
CRMOPP00702,P030
CRMOPP00800,P009
CRMOPP00801,P020
CRMOPP00802,P031
CRMOPP00900,P010
CRMOPP00901,P021
CRMOPP00902,P032
CRMOPP01000,P011
CRMOPP01001,P022
CRMOPP01002,P033
CRMOPP01100,P012
CRMOPP01101,P023
CRMOPP01102,P034
CRMOPP01200,P013
CRMOPP01201,P024
CRMOPP01202,P035
CRMOPP01300,P014
CRMOPP01301,P025
CRMOPP01302,P036
CRMOPP01400,P015
CRMOPP01401,P026
CRMOPP01402,P037
CRMOPP01500,P016
CRMOPP01501,P027
CRMOPP01502,P038
CRMOPP01600,P017
CRMOPP01601,P028
CRMOPP01602,P039
CRMOPP01700,P018
CRMOPP01701,P029
CRMOPP01702,P040
CRMOPP01800,P019
CRMOPP01801,P030
CRMOPP01802,P041
CRMOPP01900,P020
CRMOPP01901,P031
CRMOPP01902,P042
CRMOPP02000,P021
CRMOPP02001,P032
CRMOPP02002,P043
CRMOPP02100,P022
CRMOPP02101,P033
CRMOPP02102,P044
CRMOPP02200,P023
CRMOPP02201,P034
CRMOPP02202,P045
CRMOPP02300,P024
CRMOPP02301,P035
CRMOPP02302,P046
CRMOPP02400,P025
CRMOPP02401,P036
CRMOPP02402,P047
CRMOPP02500,P026
CRMOPP02501,P037
CRMOPP02502,P048
CRMOPP02600,P027
CRMOPP02601,P038
CRMOPP02602,P049
CRMOPP02700,P028
CRMOPP02701,P039
CRMOPP02702,P050
CRMOPP02800,P029
CRMOPP02801,P040
CRMOPP02802,P051
CRMOPP02900,P030
CRMOPP02901,P041
CRMOPP02902,P052
CRMOPP03000,P031
CRMOPP03001,P042
CRMOPP03002,P053
CRMOPP03100,P032
CRMOPP03101,P043
CRMOPP03102,P054
CRMOPP03200,P033
CRMOPP03201,P044
CRMOPP03202,P055
CRMOPP03300,P034
CRMOPP03301,P045
CRMOPP03302,P056
CRMOPP03400,P035
CRMOPP03401,P046
CRMOPP03402,P057
CRMOPP03500,P036
CRMOPP03501,P047
CRMOPP03502,P058
CRMOPP03600,P037
CRMOPP03601,P048
CRMOPP03602,P059
CRMOPP03700,P038
CRMOPP03701,P049
CRMOPP03702,P060
CRMOPP03800,P039
CRMOPP03801,P050
CRMOPP03802,P061
CRMOPP03900,P040
CRMOPP03901,P051
CRMOPP03902,P062
CRMOPP04000,P041
CRMOPP04001,P052
CRMOPP04002,P063
CRMOPP04100,P042
CRMOPP04101,P053
CRMOPP04102,P064
CRMOPP04200,P043
CRMOPP04201,P054
CRMOPP04202,P001
CRMOPP04300,P044
CRMOPP04301,P055
CRMOPP04302,P002
CRMOPP04400,P045
CRMOPP04401,P056
CRMOPP04402,P003
CRMOPP04500,P046
CRMOPP04501,P057
CRMOPP04502,P004
CRMOPP04600,P047
CRMOPP04601,P058
CRMOPP04602,P005
CRMOPP04700,P048
CRMOPP04701,P059
CRMOPP04702,P006
CRMOPP04800,P049
CRMOPP04801,P060
CRMOPP04802,P007
CRMOPP04900,P050
CRMOPP04901,P061
CRMOPP04902,P008
CRMOPP05000,P051
CRMOPP05001,P062
CRMOPP05002,P009
CRMOPP05100,P052
CRMOPP05101,P063
CRMOPP05102,P010
CRMOPP05200,P053
CRMOPP05201,P064
CRMOPP05202,P011
CRMOPP05300,P054
CRMOPP05301,P001
CRMOPP05302,P012
CRMOPP05400,P055
CRMOPP05401,P002
CRMOPP05402,P013
CRMOPP05500,P056
CRMOPP05501,P003
CRMOPP05502,P014
CRMOPP05600,P057
CRMOPP05601,P004
CRMOPP05602,P015
CRMOPP05700,P058
CRMOPP05701,P005
CRMOPP05702,P016
CRMOPP05800,P059
CRMOPP05801,P006
CRMOPP05802,P017
CRMOPP05900,P060
CRMOPP05901,P007
CRMOPP05902,P018
CRMOPP06000,P061
CRMOPP06001,P008
CRMOPP06002,P019
