from_id,to_id
ELIG_ADV_A001,A001
ELIG_ADV_A002,A002
ELIG_ADV_A003,A003
ELIG_ADV_A004,A004
ELIG_ADV_A005,A005
ELIG_ADV_A006,A006
ELIG_ADV_A007,A007
ELIG_ADV_A008,A008
ELIG_ADV_A009,A009
ELIG_ADV_A010,A010
ELIG_ADV_A011,A011
ELIG_ADV_A012,A012
ELIG_ADV_A013,A013
ELIG_ADV_A014,A014
ELIG_ADV_A015,A015
ELIG_ADV_A016,A016
ELIG_ADV_A017,A017
ELIG_ADV_A018,A018
ELIG_ADV_A019,A019
ELIG_ADV_A020,A020
ELIG_ADV_A021,A021
ELIG_ADV_A022,A022
ELIG_ADV_A023,A023
ELIG_ADV_A024,A024
ELIG_ADV_A025,A025
ELIG_ADV_A026,A026
ELIG_ADV_A027,A027
ELIG_ADV_A028,A028
ELIG_ADV_A029,A029
ELIG_ADV_A030,A030
