from_id,to_id
ELIG_HH_H0001,H0001
ELIG_HH_H0002,H0002
ELIG_HH_H0003,H0003
ELIG_HH_H0004,H0004
ELIG_HH_H0005,H0005
ELIG_HH_H0006,H0006
ELIG_HH_H0007,H0007
ELIG_HH_H0008,H0008
ELIG_HH_H0009,H0009
ELIG_HH_H0010,H0010
ELIG_HH_H0011,H0011
ELIG_HH_H0012,H0012
ELIG_HH_H0013,H0013
ELIG_HH_H0014,H0014
ELIG_HH_H0015,H0015
ELIG_HH_H0016,H0016
ELIG_HH_H0017,H0017
ELIG_HH_H0018,H0018
ELIG_HH_H0019,H0019
ELIG_HH_H0020,H0020
ELIG_HH_H0021,H0021
ELIG_HH_H0022,H0022
ELIG_HH_H0023,H0023
ELIG_HH_H0024,H0024
ELIG_HH_H0025,H0025
ELIG_HH_H0026,H0026
ELIG_HH_H0027,H0027
ELIG_HH_H0028,H0028
ELIG_HH_H0029,H0029
ELIG_HH_H0030,H0030
ELIG_HH_H0031,H0031
ELIG_HH_H0032,H0032
ELIG_HH_H0033,H0033
ELIG_HH_H0034,H0034
ELIG_HH_H0035,H0035
ELIG_HH_H0036,H0036
ELIG_HH_H0037,H0037
ELIG_HH_H0038,H0038
ELIG_HH_H0039,H0039
ELIG_HH_H0040,H0040
ELIG_HH_H0041,H0041
ELIG_HH_H0042,H0042
ELIG_HH_H0043,H0043
ELIG_HH_H0044,H0044
ELIG_HH_H0045,H0045
ELIG_HH_H0046,H0046
ELIG_HH_H0047,H0047
ELIG_HH_H0048,H0048
ELIG_HH_H0049,H0049
ELIG_HH_H0050,H0050
ELIG_HH_H0051,H0051
ELIG_HH_H0052,H0052
ELIG_HH_H0053,H0053
ELIG_HH_H0054,H0054
ELIG_HH_H0055,H0055
ELIG_HH_H0056,H0056
ELIG_HH_H0057,H0057
ELIG_HH_H0058,H0058
ELIG_HH_H0059,H0059
ELIG_HH_H0060,H0060
