from_id,to_id
ELIG_PROD_P001,P001
ELIG_PROD_P002,P002
ELIG_PROD_P003,P003
ELIG_PROD_P004,P004
ELIG_PROD_P005,P005
ELIG_PROD_P006,P006
ELIG_PROD_P007,P007
ELIG_PROD_P008,P008
ELIG_PROD_P009,P009
ELIG_PROD_P010,P010
ELIG_PROD_P011,P011
ELIG_PROD_P012,P012
ELIG_PROD_P013,P013
ELIG_PROD_P014,P014
ELIG_PROD_P015,P015
ELIG_PROD_P016,P016
ELIG_PROD_P017,P017
ELIG_PROD_P018,P018
ELIG_PROD_P019,P019
ELIG_PROD_P020,P020
ELIG_PROD_P021,P021
ELIG_PROD_P022,P022
ELIG_PROD_P023,P023
ELIG_PROD_P024,P024
ELIG_PROD_P025,P025
ELIG_PROD_P026,P026
ELIG_PROD_P027,P027
ELIG_PROD_P028,P028
ELIG_PROD_P029,P029
ELIG_PROD_P030,P030
ELIG_PROD_P031,P031
ELIG_PROD_P032,P032
