from_id,to_id
ENR001,MP001_03
ENR001,MP001_06
ENR001,MP001_09
ENR001,MP001_12
ENR001,MP001_15
ENR001,MP001_18
ENR001,MP001_21
ENR001,MP001_24
ENR002,MP002_03
ENR002,MP002_06
ENR002,MP002_09
ENR002,MP002_12
ENR002,MP002_15
ENR002,MP002_18
ENR002,MP002_21
ENR002,MP002_24
ENR003,MP003_03
ENR003,MP003_06
ENR003,MP003_09
ENR003,MP003_12
ENR003,MP003_15
ENR003,MP003_18
ENR003,MP003_21
ENR003,MP003_24
ENR004,MP004_03
ENR004,MP004_06
ENR004,MP004_09
ENR004,MP004_12
ENR004,MP004_15
ENR004,MP004_18
ENR004,MP004_21
ENR004,MP004_24
ENR005,MP005_03
ENR005,MP005_06
ENR005,MP005_09
ENR005,MP005_12
ENR005,MP005_15
ENR005,MP005_18
ENR005,MP005_21
ENR005,MP005_24
ENR006,MP006_03
ENR006,MP006_06
ENR006,MP006_09
ENR006,MP006_12
ENR006,MP006_15
ENR006,MP006_18
ENR006,MP006_21
ENR006,MP006_24
ENR007,MP007_03
ENR007,MP007_06
ENR007,MP007_09
ENR007,MP007_12
ENR007,MP007_15
ENR007,MP007_18
ENR007,MP007_21
ENR007,MP007_24
ENR008,MP008_03
ENR008,MP008_06
ENR008,MP008_09
ENR008,MP008_12
ENR008,MP008_15
ENR008,MP008_18
ENR008,MP008_21
ENR008,MP008_24
ENR009,MP009_03
ENR009,MP009_06
ENR009,MP009_09
ENR009,MP009_12
ENR009,MP009_15
ENR009,MP009_18
ENR009,MP009_21
ENR009,MP009_24
ENR010,MP010_03
ENR010,MP010_06
ENR010,MP010_09
ENR010,MP010_12
ENR010,MP010_15
ENR010,MP010_18
ENR010,MP010_21
ENR010,MP010_24
ENR011,MP011_03
ENR011,MP011_06
ENR011,MP011_09
ENR011,MP011_12
ENR011,MP011_15
ENR011,MP011_18
ENR011,MP011_21
ENR011,MP011_24
ENR012,MP012_03
ENR012,MP012_06
ENR012,MP012_09
ENR012,MP012_12
ENR012,MP012_15
ENR012,MP012_18
ENR012,MP012_21
ENR012,MP012_24
ENR013,MP013_03
ENR013,MP013_06
ENR013,MP013_09
ENR013,MP013_12
ENR013,MP013_15
ENR013,MP013_18
ENR013,MP013_21
ENR013,MP013_24
ENR014,MP014_03
ENR014,MP014_06
ENR014,MP014_09
ENR014,MP014_12
ENR014,MP014_15
ENR014,MP014_18
ENR014,MP014_21
ENR014,MP014_24
ENR015,MP015_03
ENR015,MP015_06
ENR015,MP015_09
ENR015,MP015_12
ENR015,MP015_15
ENR015,MP015_18
ENR015,MP015_21
ENR015,MP015_24
ENR016,MP016_03
ENR016,MP016_06
ENR016,MP016_09
ENR016,MP016_12
ENR016,MP016_15
ENR016,MP016_18
ENR016,MP016_21
ENR016,MP016_24
ENR017,MP017_03
ENR017,MP017_06
ENR017,MP017_09
ENR017,MP017_12
ENR017,MP017_15
ENR017,MP017_18
ENR017,MP017_21
ENR017,MP017_24
ENR018,MP018_03
ENR018,MP018_06
ENR018,MP018_09
ENR018,MP018_12
ENR018,MP018_15
ENR018,MP018_18
ENR018,MP018_21
ENR018,MP018_24
ENR019,MP019_03
ENR019,MP019_06
ENR019,MP019_09
ENR019,MP019_12
ENR019,MP019_15
ENR019,MP019_18
ENR019,MP019_21
ENR019,MP019_24
ENR020,MP020_03
ENR020,MP020_06
ENR020,MP020_09
ENR020,MP020_12
ENR020,MP020_15
ENR020,MP020_18
ENR020,MP020_21
ENR020,MP020_24
ENR021,MP021_03
ENR021,MP021_06
ENR021,MP021_09
ENR021,MP021_12
ENR021,MP021_15
ENR021,MP021_18
ENR021,MP021_21
ENR021,MP021_24
ENR022,MP022_03
ENR022,MP022_06
ENR022,MP022_09
ENR022,MP022_12
ENR022,MP022_15
ENR022,MP022_18
ENR022,MP022_21
ENR022,MP022_24
ENR023,MP023_03
ENR023,MP023_06
ENR023,MP023_09
ENR023,MP023_12
ENR023,MP023_15
ENR023,MP023_18
ENR023,MP023_21
ENR023,MP023_24
ENR024,MP024_03
ENR024,MP024_06
ENR024,MP024_09
ENR024,MP024_12
ENR024,MP024_15
ENR024,MP024_18
ENR024,MP024_21
ENR024,MP024_24
