from_id,to_id,ownership_pct
H0001,AC00001,100.0
H0001,AC00002,100.0
H0002,AC00003,100.0
H0002,AC00004,100.0
H0003,AC00005,100.0
H0003,AC00006,100.0
H0004,AC00007,100.0
H0004,AC00008,100.0
H0005,AC00009,100.0
H0005,AC00010,100.0
H0006,AC00011,100.0
H0006,AC00012,100.0
H0007,AC00013,100.0
H0007,AC00014,100.0
H0008,AC00015,100.0
H0008,AC00016,100.0
H0009,AC00017,100.0
H0009,AC00018,100.0
H0010,AC00019,100.0
H0010,AC00020,100.0
H0011,AC00021,100.0
H0011,AC00022,100.0
H0012,AC00023,100.0
H0012,AC00024,100.0
H0013,AC00025,100.0
H0013,AC00026,100.0
H0014,AC00027,100.0
H0014,AC00028,100.0
H0015,AC00029,100.0
H0015,AC00030,100.0
H0016,AC00031,100.0
H0016,AC00032,100.0
H0017,AC00033,100.0
H0017,AC00034,100.0
H0018,AC00035,100.0
H0018,AC00036,100.0
H0019,AC00037,100.0
H0019,AC00038,100.0
H0020,AC00039,100.0
H0020,AC00040,100.0
H0021,AC00041,100.0
H0021,AC00042,100.0
H0022,AC00043,100.0
H0022,AC00044,100.0
H0023,AC00045,100.0
H0023,AC00046,100.0
H0024,AC00047,100.0
H0024,AC00048,100.0
H0025,AC00049,100.0
H0025,AC00050,100.0
H0026,AC00051,100.0
H0026,AC00052,100.0
H0027,AC00053,100.0
H0027,AC00054,100.0
H0028,AC00055,100.0
H0028,AC00056,100.0
H0029,AC00057,100.0
H0029,AC00058,100.0
H0030,AC00059,100.0
H0030,AC00060,100.0
H0031,AC00061,100.0
H0031,AC00062,100.0
H0032,AC00063,100.0
H0032,AC00064,100.0
H0033,AC00065,100.0
H0033,AC00066,100.0
H0034,AC00067,100.0
H0034,AC00068,100.0
H0035,AC00069,100.0
H0035,AC00070,100.0
H0036,AC00071,100.0
H0036,AC00072,100.0
H0037,AC00073,100.0
H0037,AC00074,100.0
H0038,AC00075,100.0
H0038,AC00076,100.0
H0039,AC00077,100.0
H0039,AC00078,100.0
H0040,AC00079,100.0
H0040,AC00080,100.0
H0041,AC00081,100.0
H0041,AC00082,100.0
H0042,AC00083,100.0
H0042,AC00084,100.0
H0043,AC00085,100.0
H0043,AC00086,100.0
H0044,AC00087,100.0
H0044,AC00088,100.0
H0045,AC00089,100.0
H0045,AC00090,100.0
