from_id,to_id
L00100,H0001
L00101,H0002
L00102,H0003
L00103,H0004
L00104,H0005
L00200,H0007
L00201,H0008
L00202,H0009
L00203,H0010
L00204,H0011
L00300,H0013
L00301,H0014
L00302,H0015
L00303,H0016
L00304,H0017
L00400,H0019
L00401,H0020
L00402,H0021
L00403,H0022
L00404,H0023
L00500,H0025
L00501,H0026
L00502,H0027
L00503,H0028
L00504,H0029
L00600,H0031
L00601,H0032
L00602,H0033
L00603,H0034
L00604,H0035
L00700,H0037
L00701,H0038
L00702,H0039
L00703,H0040
L00704,H0041
L00800,H0043
L00801,H0044
L00802,H0045
L00803,H0046
L00804,H0047
L00900,H0049
L00901,H0050
L00902,H0051
L00903,H0052
L00904,H0053
L01000,H0055
L01001,H0056
L01002,H0057
L01003,H0058
L01004,H0059
L01100,H0061
L01101,H0062
L01102,H0063
L01103,H0064
L01104,H0065
L01200,H0067
L01201,H0068
L01202,H0069
L01203,H0070
L01204,H0071
L01300,H0073
L01301,H0074
L01302,H0075
L01303,H0076
L01304,H0077
L01400,H0079
L01401,H0080
L01402,H0081
L01403,H0082
L01404,H0083
L01500,H0085
L01501,H0086
L01502,H0087
L01503,H0088
L01504,H0089
L01600,H0091
L01601,H0092
L01602,H0093
L01603,H0094
L01604,H0095
L01700,H0097
L01701,H0098
L01702,H0099
L01703,H0100
L01704,H0101
L01800,H0103
L01801,H0104
L01802,H0105
L01803,H0106
L01804,H0107
L01900,H0109
L01901,H0110
L01902,H0111
L01903,H0112
L01904,H0113
L02000,H0115
L02001,H0116
L02002,H0117
L02003,H0118
L02004,H0119
L02100,H0121
L02101,H0122
L02102,H0123
L02103,H0124
L02104,H0125
L02200,H0127
L02201,H0128
L02202,H0129
L02203,H0130
L02204,H0131
L02300,H0133
L02301,H0134
L02302,H0135
L02303,H0136
L02304,H0137
L02400,H0139
L02401,H0140
L02402,H0141
L02403,H0142
L02404,H0143
L02500,H0145
L02501,H0146
L02502,H0147
L02503,H0148
L02504,H0149
L02600,H0151
L02601,H0152
L02602,H0153
L02603,H0154
L02604,H0155
L02700,H0157
L02701,H0158
L02702,H0159
L02703,H0160
L02704,H0161
L02800,H0163
L02801,H0164
L02802,H0165
L02803,H0166
L02804,H0167
L02900,H0169
L02901,H0170
L02902,H0171
L02903,H0172
L02904,H0173
L03000,H0175
L03001,H0176
L03002,H0177
L03003,H0178
L03004,H0179
L03100,H0181
L03101,H0182
L03102,H0183
L03103,H0184
L03104,H0185
L03200,H0187
L03201,H0188
L03202,H0189
L03203,H0190
L03204,H0191
L03300,H0193
L03301,H0194
L03302,H0195
L03303,H0196
L03304,H0197
L03400,H0199
L03401,H0200
L03402,H0201
L03403,H0202
L03404,H0203
L03500,H0205
L03501,H0206
L03502,H0207
L03503,H0208
L03504,H0209
L03600,H0211
L03601,H0212
L03602,H0213
L03603,H0214
L03604,H0215
L03700,H0217
L03701,H0218
L03702,H0219
L03703,H0220
L03704,H0221
L03800,H0223
L03801,H0224
L03802,H0225
L03803,H0226
L03804,H0227
L03900,H0229
L03901,H0230
L03902,H0231
L03903,H0232
L03904,H0233
L04000,H0235
L04001,H0236
L04002,H0237
L04003,H0238
L04004,H0239
L04100,H0241
L04101,H0242
L04102,H0243
L04103,H0244
L04104,H0245
L04200,H0247
L04201,H0248
L04202,H0249
L04203,H0250
L04204,H0251
L04300,H0253
L04301,H0254
L04302,H0255
L04303,H0256
L04304,H0257
L04400,H0259
L04401,H0260
L04402,H0261
L04403,H0262
L04404,H0263
L04500,H0265
L04501,H0266
L04502,H0267
L04503,H0268
L04504,H0269
L04600,H0271
L04601,H0272
L04602,H0273
L04603,H0274
L04604,H0275
L04700,H0277
L04701,H0278
L04702,H0279
L04703,H0280
L04704,H0281
L04800,H0283
L04801,H0284
L04802,H0285
L04803,H0286
L04804,H0287
L04900,H0289
L04901,H0290
L04902,H0291
L04903,H0292
L04904,H0293
L05000,H0295
L05001,H0296
L05002,H0297
L05003,H0298
L05004,H0299
L05100,H0301
L05101,H0302
L05102,H0303
L05103,H0304
L05104,H0305
L05200,H0307
L05201,H0308
L05202,H0309
L05203,H0310
L05204,H0311
L05300,H0313
L05301,H0314
L05302,H0315
L05303,H0316
L05304,H0317
L05400,H0319
L05401,H0320
L05402,H0321
L05403,H0322
L05404,H0323
L05500,H0325
L05501,H0326
L05502,H0327
L05503,H0328
L05504,H0329
L05600,H0331
L05601,H0332
L05602,H0333
L05603,H0334
L05604,H0335
L05700,H0337
L05701,H0338
L05702,H0339
L05703,H0340
L05704,H0341
L05800,H0343
L05801,H0344
L05802,H0345
L05803,H0346
L05804,H0347
L05900,H0349
L05901,H0350
L05902,H0351
L05903,H0352
L05904,H0353
L06000,H0355
L06001,H0356
L06002,H0357
L06003,H0358
L06004,H0359
