from_id,to_id
L00103,CRMOPP00100
L00203,CRMOPP00200
L00303,CRMOPP00300
L00403,CRMOPP00400
L00503,CRMOPP00500
L00603,CRMOPP00600
L00703,CRMOPP00700
L00803,CRMOPP00800
L00903,CRMOPP00900
L01003,CRMOPP01000
L01103,CRMOPP01100
L01203,CRMOPP01200
L01303,CRMOPP01300
L01403,CRMOPP01400
L01503,CRMOPP01500
L01603,CRMOPP01600
L01703,CRMOPP01700
L01803,CRMOPP01800
L01903,CRMOPP01900
L02003,CRMOPP02000
L02103,CRMOPP02100
L02203,CRMOPP02200
L02303,CRMOPP02300
L02403,CRMOPP02400
L02503,CRMOPP02500
L02603,CRMOPP02600
L02703,CRMOPP02700
L02803,CRMOPP02800
L02903,CRMOPP02900
L03003,CRMOPP03000
L03103,CRMOPP03100
L03203,CRMOPP03200
L03303,CRMOPP03300
L03403,CRMOPP03400
L03503,CRMOPP03500
L03603,CRMOPP03600
L03703,CRMOPP03700
L03803,CRMOPP03800
L03903,CRMOPP03900
L04003,CRMOPP04000
L04103,CRMOPP04100
L04203,CRMOPP04200
L04303,CRMOPP04300
L04403,CRMOPP04400
L04503,CRMOPP04500
L04603,CRMOPP04600
L04703,CRMOPP04700
L04803,CRMOPP04800
L04903,CRMOPP04900
L05003,CRMOPP05000
L05103,CRMOPP05100
L05203,CRMOPP05200
L05303,CRMOPP05300
L05403,CRMOPP05400
L05503,CRMOPP05500
L05603,CRMOPP05600
L05703,CRMOPP05700
L05803,CRMOPP05800
L05903,CRMOPP05900
L06003,CRMOPP06000
