from_id,to_id
LS_A001,OUT_A001
LS_A003,OUT_A003
LS_A004,OUT_A004
LS_A006,OUT_A006
LS_A008,OUT_A008
LS_A009,OUT_A009
LS_A011,OUT_A011
LS_A013,OUT_A013
LS_A014,OUT_A014
LS_A016,OUT_A016
LS_A018,OUT_A018
LS_A019,OUT_A019
LS_A021,OUT_A021
LS_A023,OUT_A023
LS_A024,OUT_A024
LS_A026,OUT_A026
LS_A028,OUT_A028
LS_A029,OUT_A029
LS_A031,OUT_A031
LS_A033,OUT_A033
LS_A034,OUT_A034
LS_A036,OUT_A036
LS_A038,OUT_A038
LS_A039,OUT_A039
LS_A041,OUT_A041
LS_A043,OUT_A043
LS_A044,OUT_A044
LS_A046,OUT_A046
LS_A048,OUT_A048
LS_A049,OUT_A049
LS_A051,OUT_A051
LS_A053,OUT_A053
LS_A054,OUT_A054
LS_A056,OUT_A056
LS_A058,OUT_A058
LS_A059,OUT_A059
