from_id,to_id
LS_A001,REC_A001
LS_A003,REC_A003
LS_A004,REC_A004
LS_A006,REC_A006
LS_A008,REC_A008
LS_A009,REC_A009
LS_A011,REC_A011
LS_A013,REC_A013
LS_A014,REC_A014
LS_A016,REC_A016
LS_A018,REC_A018
LS_A019,REC_A019
LS_A021,REC_A021
LS_A023,REC_A023
LS_A024,REC_A024
LS_A026,REC_A026
LS_A028,REC_A028
LS_A029,REC_A029
LS_A031,REC_A031
LS_A033,REC_A033
LS_A034,REC_A034
LS_A036,REC_A036
LS_A038,REC_A038
LS_A039,REC_A039
LS_A041,REC_A041
LS_A043,REC_A043
LS_A044,REC_A044
LS_A046,REC_A046
LS_A048,REC_A048
LS_A049,REC_A049
LS_A051,REC_A051
LS_A053,REC_A053
LS_A054,REC_A054
LS_A056,REC_A056
LS_A058,REC_A058
LS_A059,REC_A059
LS_FL0001,REC_AC_AC00001
LS_FL0002,REC_AC_AC00002
LS_FL0003,REC_AC_AC00003
LS_FL0004,REC_AC_AC00004
LS_FL0005,REC_A005
LS_FL0006,REC_HH_H0006
LS_FL0007,REC_AC_AC00007
LS_FL0008,REC_HH_H0008
LS_FL0009,REC_A009
LS_FL0010,REC_HH_H0010
LS_FL0011,REC_A011
LS_FL0012,REC_A012
LS_FL0013,REC_HH_H0013
LS_FL0014,REC_HH_H0014
LS_FL0015,REC_AC_AC00015
LS_FL0016,REC_AC_AC00016
LS_FL0017,REC_HH_H0017
LS_FL0018,REC_A018
LS_FL0019,REC_AC_AC00019
LS_FL0020,REC_HH_H0020
LS_FL0021,REC_A021
LS_FL0022,REC_A022
LS_FL0023,REC_HH_H0023
LS_FL0024,REC_A024
LS_FL0025,REC_HH_H0025
LS_FL0026,REC_AC_AC00026
LS_FL0027,REC_AC_AC00027
LS_FL0028,REC_HH_H0028
LS_FL0029,REC_A029
LS_FL0030,REC_A030
LS_FL0031,REC_AC_AC00001
LS_FL0032,REC_AC_AC00002
LS_FL0033,REC_AC_AC00003
LS_FL0034,REC_A034
LS_FL0035,REC_HH_H0005
LS_FL0036,REC_HH_H0006
LS_FL0037,REC_AC_AC00007
LS_FL0038,REC_HH_H0008
LS_FL0039,REC_AC_AC00009
LS_FL0040,REC_A040
LS_FL0041,REC_AC_AC00011
LS_FL0042,REC_AC_AC00012
LS_FL0043,REC_A043
LS_FL0044,REC_A044
LS_FL0045,REC_HH_H0015
LS_FL0046,REC_HH_H0016
LS_FL0047,REC_HH_H0017
LS_FL0048,REC_AC_AC00018
LS_FL0049,REC_A049
LS_FL0050,REC_A050
LS_FL0051,REC_A051
LS_FL0052,REC_AC_AC00022
LS_FL0053,REC_A053
LS_FL0054,REC_A054
LS_FL0055,REC_AC_AC00025
LS_FL0056,REC_HH_H0026
LS_FL0057,REC_HH_H0027
LS_FL0058,REC_A058
LS_FL0059,REC_HH_H0029
LS_FL0060,REC_AC_AC00030
LS_FL0061,REC_AC_AC00001
LS_FL0062,REC_A002
LS_FL0063,REC_HH_H0003
LS_FL0064,REC_AC_AC00004
LS_FL0065,REC_HH_H0005
LS_FL0066,REC_HH_H0006
LS_FL0067,REC_AC_AC00007
LS_FL0068,REC_HH_H0008
LS_FL0069,REC_AC_AC00009
LS_FL0070,REC_HH_H0010
LS_FL0071,REC_A011
LS_FL0072,REC_AC_AC00012
LS_FL0073,REC_AC_AC00013
LS_FL0074,REC_AC_AC00014
LS_FL0075,REC_HH_H0015
LS_FL0076,REC_AC_AC00016
LS_FL0077,REC_HH_H0017
LS_FL0078,REC_HH_H0018
LS_FL0079,REC_A019
LS_FL0080,REC_HH_H0020
LS_FL0081,REC_HH_H0021
LS_FL0082,REC_A022
LS_FL0083,REC_HH_H0023
LS_FL0084,REC_HH_H0024
LS_FL0085,REC_HH_H0025
LS_FL0086,REC_HH_H0026
LS_FL0087,REC_HH_H0027
LS_FL0088,REC_HH_H0028
LS_FL0089,REC_AC_AC00029
LS_FL0090,REC_AC_AC00030
LS_FL0091,REC_HH_H0001
LS_FL0092,REC_AC_AC00002
LS_FL0093,REC_HH_H0003
LS_FL0094,REC_HH_H0004
LS_FL0095,REC_AC_AC00005
LS_FL0096,REC_A036
LS_FL0097,REC_AC_AC00007
LS_FL0098,REC_HH_H0008
LS_FL0099,REC_HH_H0009
LS_FL0100,REC_AC_AC00010
LS_FL0101,REC_A041
LS_FL0102,REC_AC_AC00012
LS_FL0103,REC_HH_H0013
LS_FL0104,REC_A044
LS_FL0105,REC_HH_H0015
LS_FL0106,REC_A046
LS_FL0107,REC_HH_H0017
LS_FL0108,REC_HH_H0018
LS_FL0109,REC_A049
LS_FL0110,REC_AC_AC00020
LS_FL0111,REC_AC_AC00021
LS_FL0112,REC_AC_AC00022
LS_FL0113,REC_AC_AC00023
LS_FL0114,REC_A054
LS_FL0115,REC_HH_H0025
LS_FL0116,REC_AC_AC00026
LS_FL0117,REC_AC_AC00027
LS_FL0118,REC_AC_AC00028
LS_FL0119,REC_A059
LS_FL0120,REC_HH_H0030
LS_FL0121,REC_AC_AC00001
LS_FL0122,REC_AC_AC00002
LS_FL0123,REC_AC_AC00003
LS_FL0124,REC_AC_AC00004
LS_FL0125,REC_HH_H0005
LS_FL0126,REC_A006
LS_FL0127,REC_HH_H0007
LS_FL0128,REC_AC_AC00008
LS_FL0129,REC_A009
LS_FL0130,REC_A010
LS_FL0131,REC_AC_AC00011
LS_FL0132,REC_AC_AC00012
LS_FL0133,REC_HH_H0013
LS_FL0134,REC_HH_H0014
LS_FL0135,REC_AC_AC00015
LS_FL0136,REC_HH_H0016
LS_FL0137,REC_HH_H0017
LS_FL0138,REC_AC_AC00018
LS_FL0139,REC_HH_H0019
LS_FL0140,REC_A020
LS_FL0141,REC_AC_AC00021
LS_FL0142,REC_A022
LS_FL0143,REC_HH_H0023
LS_FL0144,REC_AC_AC00024
