from_id,to_id,effective_date
U_MDW01,A001,2025-01-01
U_MDW01,A002,2025-01-01
U_MDW02,A003,2025-01-01
U_MDW02,A004,2025-01-01
U_MDW03,A005,2025-01-01
U_MDW03,A006,2025-01-01
U_MDW04,A007,2025-01-01
U_MDW04,A008,2025-01-01
U_MDW05,A009,2025-01-01
U_MDW05,A010,2025-01-01
U_MDW06,A011,2025-01-01
U_MDW06,A012,2025-01-01
U_MDW07,A013,2025-01-01
U_MDW07,A014,2025-01-01
U_MDW08,A015,2025-01-01
U_MDW08,A016,2025-01-01
U_MDW09,A017,2025-01-01
U_MDW09,A018,2025-01-01
U_MDW10,A019,2025-01-01
U_MDW10,A020,2025-01-01
U_MDW11,A021,2025-01-01
U_MDW11,A022,2025-01-01
U_MDW12,A023,2025-01-01
U_MDW12,A024,2025-01-01
U_MDW01,A025,2025-01-01
U_MDW01,A026,2025-01-01
U_MDW02,A027,2025-01-01
U_MDW02,A028,2025-01-01
U_MDW03,A029,2025-01-01
U_MDW03,A030,2025-01-01
U_MDW04,A031,2025-01-01
U_MDW04,A032,2025-01-01
U_MDW05,A033,2025-01-01
U_MDW05,A034,2025-01-01
U_MDW06,A035,2025-01-01
U_MDW06,A036,2025-01-01
U_MDW07,A037,2025-01-01
U_MDW07,A038,2025-01-01
U_MDW08,A039,2025-01-01
U_MDW08,A040,2025-01-01
U_MDW09,A041,2025-01-01
U_MDW09,A042,2025-01-01
U_MDW10,A043,2025-01-01
U_MDW10,A044,2025-01-01
U_MDW11,A045,2025-01-01
U_MDW11,A046,2025-01-01
U_MDW12,A047,2025-01-01
U_MDW12,A048,2025-01-01
U_MDW01,A049,2025-01-01
U_MDW01,A050,2025-01-01
U_MDW02,A051,2025-01-01
U_MDW02,A052,2025-01-01
U_MDW03,A053,2025-01-01
U_MDW03,A054,2025-01-01
U_MDW04,A055,2025-01-01
U_MDW04,A056,2025-01-01
U_MDW05,A057,2025-01-01
U_MDW05,A058,2025-01-01
U_MDW06,A059,2025-01-01
U_MDW06,A060,2025-01-01
