from_id,to_id
MEAS001_03_0,KPI_REV
MEAS001_03_1,KPI_AUM
MEAS001_03_2,KPI_LEAD
MEAS001_03_3,KPI_REF
MEAS001_03_4,KPI_CRM
MEAS001_06_0,KPI_REV
MEAS001_06_1,KPI_AUM
MEAS001_06_2,KPI_LEAD
MEAS001_06_3,KPI_REF
MEAS001_06_4,KPI_CRM
MEAS001_09_0,KPI_REV
MEAS001_09_1,KPI_AUM
MEAS001_09_2,KPI_LEAD
MEAS001_09_3,KPI_REF
MEAS001_09_4,KPI_CRM
MEAS001_12_0,KPI_REV
MEAS001_12_1,KPI_AUM
MEAS001_12_2,KPI_LEAD
MEAS001_12_3,KPI_REF
MEAS001_12_4,KPI_CRM
MEAS001_15_0,KPI_REV
MEAS001_15_1,KPI_AUM
MEAS001_15_2,KPI_LEAD
MEAS001_15_3,KPI_REF
MEAS001_15_4,KPI_CRM
MEAS001_18_0,KPI_REV
MEAS001_18_1,KPI_AUM
MEAS001_18_2,KPI_LEAD
MEAS001_18_3,KPI_REF
MEAS001_18_4,KPI_CRM
MEAS001_21_0,KPI_REV
MEAS001_21_1,KPI_AUM
MEAS001_21_2,KPI_LEAD
MEAS001_21_3,KPI_REF
MEAS001_21_4,KPI_CRM
MEAS001_24_0,KPI_REV
MEAS001_24_1,KPI_AUM
MEAS001_24_2,KPI_LEAD
MEAS001_24_3,KPI_REF
MEAS001_24_4,KPI_CRM
MEAS002_03_0,KPI_REV
MEAS002_03_1,KPI_AUM
MEAS002_03_2,KPI_LEAD
MEAS002_03_3,KPI_REF
MEAS002_03_4,KPI_CRM
MEAS002_06_0,KPI_REV
MEAS002_06_1,KPI_AUM
MEAS002_06_2,KPI_LEAD
MEAS002_06_3,KPI_REF
MEAS002_06_4,KPI_CRM
MEAS002_09_0,KPI_REV
MEAS002_09_1,KPI_AUM
MEAS002_09_2,KPI_LEAD
MEAS002_09_3,KPI_REF
MEAS002_09_4,KPI_CRM
MEAS002_12_0,KPI_REV
MEAS002_12_1,KPI_AUM
MEAS002_12_2,KPI_LEAD
MEAS002_12_3,KPI_REF
MEAS002_12_4,KPI_CRM
MEAS002_15_0,KPI_REV
MEAS002_15_1,KPI_AUM
MEAS002_15_2,KPI_LEAD
MEAS002_15_3,KPI_REF
MEAS002_15_4,KPI_CRM
MEAS002_18_0,KPI_REV
MEAS002_18_1,KPI_AUM
MEAS002_18_2,KPI_LEAD
MEAS002_18_3,KPI_REF
MEAS002_18_4,KPI_CRM
MEAS002_21_0,KPI_REV
MEAS002_21_1,KPI_AUM
MEAS002_21_2,KPI_LEAD
MEAS002_21_3,KPI_REF
MEAS002_21_4,KPI_CRM
MEAS002_24_0,KPI_REV
MEAS002_24_1,KPI_AUM
MEAS002_24_2,KPI_LEAD
MEAS002_24_3,KPI_REF
MEAS002_24_4,KPI_CRM
MEAS003_03_0,KPI_REV
MEAS003_03_1,KPI_AUM
MEAS003_03_2,KPI_LEAD
MEAS003_03_3,KPI_REF
MEAS003_03_4,KPI_CRM
MEAS003_06_0,KPI_REV
MEAS003_06_1,KPI_AUM
MEAS003_06_2,KPI_LEAD
MEAS003_06_3,KPI_REF
MEAS003_06_4,KPI_CRM
MEAS003_09_0,KPI_REV
MEAS003_09_1,KPI_AUM
MEAS003_09_2,KPI_LEAD
MEAS003_09_3,KPI_REF
MEAS003_09_4,KPI_CRM
MEAS003_12_0,KPI_REV
MEAS003_12_1,KPI_AUM
MEAS003_12_2,KPI_LEAD
MEAS003_12_3,KPI_REF
MEAS003_12_4,KPI_CRM
MEAS003_15_0,KPI_REV
MEAS003_15_1,KPI_AUM
MEAS003_15_2,KPI_LEAD
MEAS003_15_3,KPI_REF
MEAS003_15_4,KPI_CRM
MEAS003_18_0,KPI_REV
MEAS003_18_1,KPI_AUM
MEAS003_18_2,KPI_LEAD
MEAS003_18_3,KPI_REF
MEAS003_18_4,KPI_CRM
MEAS003_21_0,KPI_REV
MEAS003_21_1,KPI_AUM
MEAS003_21_2,KPI_LEAD
MEAS003_21_3,KPI_REF
MEAS003_21_4,KPI_CRM
MEAS003_24_0,KPI_REV
MEAS003_24_1,KPI_AUM
MEAS003_24_2,KPI_LEAD
MEAS003_24_3,KPI_REF
MEAS003_24_4,KPI_CRM
MEAS004_03_0,KPI_REV
MEAS004_03_1,KPI_AUM
MEAS004_03_2,KPI_LEAD
MEAS004_03_3,KPI_REF
MEAS004_03_4,KPI_CRM
MEAS004_06_0,KPI_REV
MEAS004_06_1,KPI_AUM
MEAS004_06_2,KPI_LEAD
MEAS004_06_3,KPI_REF
MEAS004_06_4,KPI_CRM
MEAS004_09_0,KPI_REV
MEAS004_09_1,KPI_AUM
MEAS004_09_2,KPI_LEAD
MEAS004_09_3,KPI_REF
MEAS004_09_4,KPI_CRM
MEAS004_12_0,KPI_REV
MEAS004_12_1,KPI_AUM
MEAS004_12_2,KPI_LEAD
MEAS004_12_3,KPI_REF
MEAS004_12_4,KPI_CRM
MEAS004_15_0,KPI_REV
