from_id,to_id
MEM_A001,A001
MEM_A002,A002
MEM_A003,A003
MEM_A004,A004
MEM_A005,A005
MEM_A006,A006
MEM_A007,A007
MEM_A008,A008
MEM_A009,A009
MEM_A010,A010
MEM_A011,A011
MEM_A012,A012
MEM_A013,A013
MEM_A014,A014
MEM_A015,A015
MEM_A016,A016
MEM_A017,A017
MEM_A018,A018
MEM_A019,A019
MEM_A020,A020
MEM_A021,A021
MEM_A022,A022
MEM_A023,A023
MEM_A024,A024
MEM_A025,A025
MEM_A026,A026
MEM_A027,A027
MEM_A028,A028
MEM_A029,A029
MEM_A030,A030
MEM_A031,A031
MEM_A032,A032
MEM_A033,A033
MEM_A034,A034
MEM_A035,A035
MEM_A036,A036
MEM_A037,A037
MEM_A038,A038
MEM_A039,A039
MEM_A040,A040
MEM_A041,A041
MEM_A042,A042
MEM_A043,A043
MEM_A044,A044
MEM_A045,A045
MEM_A046,A046
MEM_A047,A047
MEM_A048,A048
MEM_A049,A049
MEM_A050,A050
MEM_A051,A051
MEM_A052,A052
MEM_A053,A053
MEM_A054,A054
MEM_A055,A055
MEM_A056,A056
MEM_A057,A057
MEM_A058,A058
MEM_A059,A059
MEM_A060,A060
