from_id,to_id
NNM_A001_PER202408,A001
NNM_A002_PER202408,A002
NNM_A003_PER202408,A003
NNM_A004_PER202408,A004
NNM_A005_PER202408,A005
NNM_A006_PER202408,A006
NNM_A007_PER202408,A007
NNM_A008_PER202408,A008
NNM_A009_PER202408,A009
NNM_A010_PER202408,A010
NNM_A011_PER202408,A011
NNM_A012_PER202408,A012
NNM_A013_PER202408,A013
NNM_A014_PER202408,A014
NNM_A015_PER202408,A015
NNM_A016_PER202408,A016
NNM_A017_PER202408,A017
NNM_A018_PER202408,A018
NNM_A019_PER202408,A019
NNM_A020_PER202408,A020
NNM_A021_PER202408,A021
NNM_A022_PER202408,A022
NNM_A023_PER202408,A023
NNM_A024_PER202408,A024
NNM_A025_PER202408,A025
NNM_A026_PER202408,A026
NNM_A027_PER202408,A027
NNM_A028_PER202408,A028
NNM_A029_PER202408,A029
NNM_A030_PER202408,A030
NNM_A031_PER202408,A031
NNM_A032_PER202408,A032
NNM_A033_PER202408,A033
NNM_A034_PER202408,A034
NNM_A035_PER202408,A035
NNM_A036_PER202408,A036
NNM_A037_PER202408,A037
NNM_A038_PER202408,A038
NNM_A039_PER202408,A039
NNM_A040_PER202408,A040
NNM_A041_PER202408,A041
NNM_A042_PER202408,A042
NNM_A043_PER202408,A043
NNM_A044_PER202408,A044
NNM_A045_PER202408,A045
NNM_A046_PER202408,A046
NNM_A047_PER202408,A047
NNM_A048_PER202408,A048
NNM_A049_PER202408,A049
NNM_A050_PER202408,A050
NNM_A051_PER202408,A051
NNM_A052_PER202408,A052
NNM_A053_PER202408,A053
NNM_A054_PER202408,A054
NNM_A055_PER202408,A055
NNM_A056_PER202408,A056
NNM_A057_PER202408,A057
NNM_A058_PER202408,A058
NNM_A059_PER202408,A059
NNM_A060_PER202408,A060
NNM_A001_PER202409,A001
NNM_A002_PER202409,A002
NNM_A003_PER202409,A003
NNM_A004_PER202409,A004
NNM_A005_PER202409,A005
NNM_A006_PER202409,A006
NNM_A007_PER202409,A007
NNM_A008_PER202409,A008
NNM_A009_PER202409,A009
NNM_A010_PER202409,A010
NNM_A011_PER202409,A011
NNM_A012_PER202409,A012
NNM_A013_PER202409,A013
NNM_A014_PER202409,A014
NNM_A015_PER202409,A015
NNM_A016_PER202409,A016
NNM_A017_PER202409,A017
NNM_A018_PER202409,A018
NNM_A019_PER202409,A019
NNM_A020_PER202409,A020
NNM_A021_PER202409,A021
NNM_A022_PER202409,A022
NNM_A023_PER202409,A023
NNM_A024_PER202409,A024
NNM_A025_PER202409,A025
NNM_A026_PER202409,A026
NNM_A027_PER202409,A027
NNM_A028_PER202409,A028
NNM_A029_PER202409,A029
NNM_A030_PER202409,A030
NNM_A031_PER202409,A031
NNM_A032_PER202409,A032
NNM_A033_PER202409,A033
NNM_A034_PER202409,A034
NNM_A035_PER202409,A035
NNM_A036_PER202409,A036
NNM_A037_PER202409,A037
NNM_A038_PER202409,A038
NNM_A039_PER202409,A039
NNM_A040_PER202409,A040
NNM_A041_PER202409,A041
NNM_A042_PER202409,A042
NNM_A043_PER202409,A043
NNM_A044_PER202409,A044
NNM_A045_PER202409,A045
NNM_A046_PER202409,A046
NNM_A047_PER202409,A047
NNM_A048_PER202409,A048
NNM_A049_PER202409,A049
NNM_A050_PER202409,A050
NNM_A051_PER202409,A051
NNM_A052_PER202409,A052
NNM_A053_PER202409,A053
NNM_A054_PER202409,A054
NNM_A055_PER202409,A055
NNM_A056_PER202409,A056
NNM_A057_PER202409,A057
NNM_A058_PER202409,A058
NNM_A059_PER202409,A059
NNM_A060_PER202409,A060
NNM_A001_PER202410,A001
NNM_A002_PER202410,A002
NNM_A003_PER202410,A003
NNM_A004_PER202410,A004
NNM_A005_PER202410,A005
NNM_A006_PER202410,A006
NNM_A007_PER202410,A007
NNM_A008_PER202410,A008
NNM_A009_PER202410,A009
NNM_A010_PER202410,A010
NNM_A011_PER202410,A011
NNM_A012_PER202410,A012
NNM_A013_PER202410,A013
NNM_A014_PER202410,A014
NNM_A015_PER202410,A015
NNM_A016_PER202410,A016
NNM_A017_PER202410,A017
NNM_A018_PER202410,A018
NNM_A019_PER202410,A019
NNM_A020_PER202410,A020
NNM_A021_PER202410,A021
NNM_A022_PER202410,A022
NNM_A023_PER202410,A023
NNM_A024_PER202410,A024
NNM_A025_PER202410,A025
NNM_A026_PER202410,A026
NNM_A027_PER202410,A027
NNM_A028_PER202410,A028
NNM_A029_PER202410,A029
NNM_A030_PER202410,A030
NNM_A031_PER202410,A031
NNM_A032_PER202410,A032
NNM_A033_PER202410,A033
NNM_A034_PER202410,A034
NNM_A035_PER202410,A035
NNM_A036_PER202410,A036
NNM_A037_PER202410,A037
NNM_A038_PER202410,A038
NNM_A039_PER202410,A039
NNM_A040_PER202410,A040
NNM_A041_PER202410,A041
