from_id,to_id
NNM_A001_PER202408,PER202408
NNM_A002_PER202408,PER202408
NNM_A003_PER202408,PER202408
NNM_A004_PER202408,PER202408
NNM_A005_PER202408,PER202408
NNM_A006_PER202408,PER202408
NNM_A007_PER202408,PER202408
NNM_A008_PER202408,PER202408
NNM_A009_PER202408,PER202408
NNM_A010_PER202408,PER202408
NNM_A011_PER202408,PER202408
NNM_A012_PER202408,PER202408
NNM_A013_PER202408,PER202408
NNM_A014_PER202408,PER202408
NNM_A015_PER202408,PER202408
NNM_A016_PER202408,PER202408
NNM_A017_PER202408,PER202408
NNM_A018_PER202408,PER202408
NNM_A019_PER202408,PER202408
NNM_A020_PER202408,PER202408
NNM_A021_PER202408,PER202408
NNM_A022_PER202408,PER202408
NNM_A023_PER202408,PER202408
NNM_A024_PER202408,PER202408
NNM_A025_PER202408,PER202408
NNM_A026_PER202408,PER202408
NNM_A027_PER202408,PER202408
NNM_A028_PER202408,PER202408
NNM_A029_PER202408,PER202408
NNM_A030_PER202408,PER202408
NNM_A031_PER202408,PER202408
NNM_A032_PER202408,PER202408
NNM_A033_PER202408,PER202408
NNM_A034_PER202408,PER202408
NNM_A035_PER202408,PER202408
NNM_A036_PER202408,PER202408
NNM_A037_PER202408,PER202408
NNM_A038_PER202408,PER202408
NNM_A039_PER202408,PER202408
NNM_A040_PER202408,PER202408
NNM_A041_PER202408,PER202408
NNM_A042_PER202408,PER202408
NNM_A043_PER202408,PER202408
NNM_A044_PER202408,PER202408
NNM_A045_PER202408,PER202408
NNM_A046_PER202408,PER202408
NNM_A047_PER202408,PER202408
NNM_A048_PER202408,PER202408
NNM_A049_PER202408,PER202408
NNM_A050_PER202408,PER202408
NNM_A051_PER202408,PER202408
NNM_A052_PER202408,PER202408
NNM_A053_PER202408,PER202408
NNM_A054_PER202408,PER202408
NNM_A055_PER202408,PER202408
NNM_A056_PER202408,PER202408
NNM_A057_PER202408,PER202408
NNM_A058_PER202408,PER202408
NNM_A059_PER202408,PER202408
NNM_A060_PER202408,PER202408
NNM_A001_PER202409,PER202409
NNM_A002_PER202409,PER202409
NNM_A003_PER202409,PER202409
NNM_A004_PER202409,PER202409
NNM_A005_PER202409,PER202409
NNM_A006_PER202409,PER202409
NNM_A007_PER202409,PER202409
NNM_A008_PER202409,PER202409
NNM_A009_PER202409,PER202409
NNM_A010_PER202409,PER202409
NNM_A011_PER202409,PER202409
NNM_A012_PER202409,PER202409
NNM_A013_PER202409,PER202409
NNM_A014_PER202409,PER202409
NNM_A015_PER202409,PER202409
NNM_A016_PER202409,PER202409
NNM_A017_PER202409,PER202409
NNM_A018_PER202409,PER202409
NNM_A019_PER202409,PER202409
NNM_A020_PER202409,PER202409
NNM_A021_PER202409,PER202409
NNM_A022_PER202409,PER202409
NNM_A023_PER202409,PER202409
NNM_A024_PER202409,PER202409
NNM_A025_PER202409,PER202409
NNM_A026_PER202409,PER202409
NNM_A027_PER202409,PER202409
NNM_A028_PER202409,PER202409
NNM_A029_PER202409,PER202409
NNM_A030_PER202409,PER202409
NNM_A031_PER202409,PER202409
NNM_A032_PER202409,PER202409
NNM_A033_PER202409,PER202409
NNM_A034_PER202409,PER202409
NNM_A035_PER202409,PER202409
NNM_A036_PER202409,PER202409
NNM_A037_PER202409,PER202409
NNM_A038_PER202409,PER202409
NNM_A039_PER202409,PER202409
NNM_A040_PER202409,PER202409
NNM_A041_PER202409,PER202409
NNM_A042_PER202409,PER202409
NNM_A043_PER202409,PER202409
NNM_A044_PER202409,PER202409
NNM_A045_PER202409,PER202409
NNM_A046_PER202409,PER202409
NNM_A047_PER202409,PER202409
NNM_A048_PER202409,PER202409
NNM_A049_PER202409,PER202409
NNM_A050_PER202409,PER202409
NNM_A051_PER202409,PER202409
NNM_A052_PER202409,PER202409
NNM_A053_PER202409,PER202409
NNM_A054_PER202409,PER202409
NNM_A055_PER202409,PER202409
NNM_A056_PER202409,PER202409
NNM_A057_PER202409,PER202409
NNM_A058_PER202409,PER202409
NNM_A059_PER202409,PER202409
NNM_A060_PER202409,PER202409
NNM_A001_PER202410,PER202410
NNM_A002_PER202410,PER202410
NNM_A003_PER202410,PER202410
NNM_A004_PER202410,PER202410
NNM_A005_PER202410,PER202410
NNM_A006_PER202410,PER202410
NNM_A007_PER202410,PER202410
NNM_A008_PER202410,PER202410
NNM_A009_PER202410,PER202410
NNM_A010_PER202410,PER202410
NNM_A011_PER202410,PER202410
NNM_A012_PER202410,PER202410
NNM_A013_PER202410,PER202410
NNM_A014_PER202410,PER202410
NNM_A015_PER202410,PER202410
NNM_A016_PER202410,PER202410
NNM_A017_PER202410,PER202410
NNM_A018_PER202410,PER202410
NNM_A019_PER202410,PER202410
NNM_A020_PER202410,PER202410
NNM_A021_PER202410,PER202410
NNM_A022_PER202410,PER202410
NNM_A023_PER202410,PER202410
NNM_A024_PER202410,PER202410
NNM_A025_PER202410,PER202410
NNM_A026_PER202410,PER202410
NNM_A027_PER202410,PER202410
NNM_A028_PER202410,PER202410
NNM_A029_PER202410,PER202410
NNM_A030_PER202410,PER202410
NNM_A031_PER202410,PER202410
NNM_A032_PER202410,PER202410
NNM_A033_PER202410,PER202410
NNM_A034_PER202410,PER202410
NNM_A035_PER202410,PER202410
NNM_A036_PER202410,PER202410
NNM_A037_PER202410,PER202410
NNM_A038_PER202410,PER202410
NNM_A039_PER202410,PER202410
NNM_A040_PER202410,PER202410
NNM_A041_PER202410,PER202410
NNM_A042_PER202410,PER202410
NNM_A043_PER202410,PER202410
NNM_A044_PER202410,PER202410
NNM_A045_PER202410,PER202410
NNM_A046_PER202410,PER202410
NNM_A047_PER202410,PER202410
NNM_A048_PER202410,PER202410
NNM_A049_PER202410,PER202410
NNM_A050_PER202410,PER202410
NNM_A051_PER202410,PER202410
NNM_A052_PER202410,PER202410
NNM_A053_PER202410,PER202410
NNM_A054_PER202410,PER202410
NNM_A055_PER202410,PER202410
NNM_A056_PER202410,PER202410
NNM_A057_PER202410,PER202410
NNM_A058_PER202410,PER202410
NNM_A059_PER202410,PER202410
NNM_A060_PER202410,PER202410
NNM_A001_PER202411,PER202411
NNM_A002_PER202411,PER202411
NNM_A003_PER202411,PER202411
NNM_A004_PER202411,PER202411
NNM_A005_PER202411,PER202411
NNM_A006_PER202411,PER202411
NNM_A007_PER202411,PER202411
NNM_A008_PER202411,PER202411
NNM_A009_PER202411,PER202411
NNM_A010_PER202411,PER202411
NNM_A011_PER202411,PER202411
NNM_A012_PER202411,PER202411
NNM_A013_PER202411,PER202411
NNM_A014_PER202411,PER202411
NNM_A015_PER202411,PER202411
NNM_A016_PER202411,PER202411
NNM_A017_PER202411,PER202411
NNM_A018_PER202411,PER202411
NNM_A019_PER202411,PER202411
NNM_A020_PER202411,PER202411
NNM_A021_PER202411,PER202411
NNM_A022_PER202411,PER202411
NNM_A023_PER202411,PER202411
NNM_A024_PER202411,PER202411
NNM_A025_PER202411,PER202411
NNM_A026_PER202411,PER202411
NNM_A027_PER202411,PER202411
NNM_A028_PER202411,PER202411
NNM_A029_PER202411,PER202411
NNM_A030_PER202411,PER202411
NNM_A031_PER202411,PER202411
NNM_A032_PER202411,PER202411
NNM_A033_PER202411,PER202411
NNM_A034_PER202411,PER202411
NNM_A035_PER202411,PER202411
NNM_A036_PER202411,PER202411
NNM_A037_PER202411,PER202411
