from_id,to_id
OPP_AC_AC00001,AC00001
OPP_AC_AC00002,AC00002
OPP_AC_AC00003,AC00003
OPP_AC_AC00004,AC00004
OPP_AC_AC00005,AC00005
OPP_AC_AC00006,AC00006
OPP_AC_AC00007,AC00007
OPP_AC_AC00008,AC00008
OPP_AC_AC00009,AC00009
OPP_AC_AC00010,AC00010
OPP_AC_AC00011,AC00011
OPP_AC_AC00012,AC00012
OPP_AC_AC00013,AC00013
OPP_AC_AC00014,AC00014
OPP_AC_AC00015,AC00015
OPP_AC_AC00016,AC00016
OPP_AC_AC00017,AC00017
OPP_AC_AC00018,AC00018
OPP_AC_AC00019,AC00019
OPP_AC_AC00020,AC00020
OPP_AC_AC00021,AC00021
OPP_AC_AC00022,AC00022
OPP_AC_AC00023,AC00023
OPP_AC_AC00024,AC00024
OPP_AC_AC00025,AC00025
OPP_AC_AC00026,AC00026
OPP_AC_AC00027,AC00027
OPP_AC_AC00028,AC00028
OPP_AC_AC00029,AC00029
OPP_AC_AC00030,AC00030
