from_id,to_id
OPP_A001,A001
OPP_A002,A002
OPP_A003,A003
OPP_A004,A004
OPP_A005,A005
OPP_A006,A006
OPP_A007,A007
OPP_A008,A008
OPP_A009,A009
OPP_A010,A010
OPP_A011,A011
OPP_A012,A012
OPP_A013,A013
OPP_A014,A014
OPP_A015,A015
OPP_A016,A016
OPP_A017,A017
OPP_A018,A018
OPP_A019,A019
OPP_A020,A020
OPP_A021,A021
OPP_A022,A022
OPP_A023,A023
OPP_A024,A024
OPP_A025,A025
OPP_A026,A026
OPP_A027,A027
OPP_A028,A028
OPP_A029,A029
OPP_A030,A030
OPP_A031,A031
OPP_A032,A032
OPP_A033,A033
OPP_A034,A034
OPP_A035,A035
OPP_A036,A036
OPP_A037,A037
OPP_A038,A038
OPP_A039,A039
OPP_A040,A040
OPP_A041,A041
OPP_A042,A042
OPP_A043,A043
OPP_A044,A044
OPP_A045,A045
OPP_A046,A046
OPP_A047,A047
OPP_A048,A048
OPP_A049,A049
OPP_A050,A050
OPP_A051,A051
OPP_A052,A052
OPP_A053,A053
OPP_A054,A054
OPP_A055,A055
OPP_A056,A056
OPP_A057,A057
OPP_A058,A058
OPP_A059,A059
OPP_A060,A060
