from_id,to_id
P001,SUB0101
P002,SUB0102
P003,SUB0201
P004,SUB0202
P005,SUB0301
P006,SUB0302
P007,SUB0401
P008,SUB0402
P009,SUB0501
P010,SUB0502
P011,SUB0601
P012,SUB0602
P013,SUB0701
P014,SUB0702
P015,SUB0801
P016,SUB0802
P017,SUB0101
P018,SUB0102
P019,SUB0201
P020,SUB0202
P021,SUB0301
P022,SUB0302
P023,SUB0401
P024,SUB0402
P025,SUB0501
P026,SUB0502
P027,SUB0601
P028,SUB0602
P029,SUB0701
P030,SUB0702
P031,SUB0801
P032,SUB0802
P033,SUB0101
P034,SUB0102
P035,SUB0201
P036,SUB0202
P037,SUB0301
P038,SUB0302
P039,SUB0401
P040,SUB0402
P041,SUB0501
P042,SUB0502
P043,SUB0601
P044,SUB0602
P045,SUB0701
P046,SUB0702
P047,SUB0801
P048,SUB0802
P049,SUB0101
P050,SUB0102
P051,SUB0201
P052,SUB0202
P053,SUB0301
P054,SUB0302
P055,SUB0401
P056,SUB0402
P057,SUB0501
P058,SUB0502
P059,SUB0601
P060,SUB0602
P061,SUB0701
P062,SUB0702
P063,SUB0801
P064,SUB0802
