from_id,to_id
PR_A001_PER202408_0,A001
PR_A001_PER202408_1,A001
PR_A001_PER202408_2,A001
PR_A002_PER202408_0,A002
PR_A002_PER202408_1,A002
PR_A002_PER202408_2,A002
PR_A003_PER202408_0,A003
PR_A003_PER202408_1,A003
PR_A003_PER202408_2,A003
PR_A004_PER202408_0,A004
PR_A004_PER202408_1,A004
PR_A004_PER202408_2,A004
PR_A005_PER202408_0,A005
PR_A005_PER202408_1,A005
PR_A005_PER202408_2,A005
PR_A006_PER202408_0,A006
PR_A006_PER202408_1,A006
PR_A006_PER202408_2,A006
PR_A007_PER202408_0,A007
PR_A007_PER202408_1,A007
PR_A007_PER202408_2,A007
PR_A008_PER202408_0,A008
PR_A008_PER202408_1,A008
PR_A008_PER202408_2,A008
PR_A009_PER202408_0,A009
PR_A009_PER202408_1,A009
PR_A009_PER202408_2,A009
PR_A010_PER202408_0,A010
PR_A010_PER202408_1,A010
PR_A010_PER202408_2,A010
PR_A011_PER202408_0,A011
PR_A011_PER202408_1,A011
PR_A011_PER202408_2,A011
PR_A012_PER202408_0,A012
PR_A012_PER202408_1,A012
PR_A012_PER202408_2,A012
PR_A013_PER202408_0,A013
PR_A013_PER202408_1,A013
PR_A013_PER202408_2,A013
PR_A014_PER202408_0,A014
PR_A014_PER202408_1,A014
PR_A014_PER202408_2,A014
PR_A015_PER202408_0,A015
PR_A015_PER202408_1,A015
PR_A015_PER202408_2,A015
PR_A016_PER202408_0,A016
PR_A016_PER202408_1,A016
PR_A016_PER202408_2,A016
PR_A017_PER202408_0,A017
PR_A017_PER202408_1,A017
PR_A017_PER202408_2,A017
PR_A018_PER202408_0,A018
PR_A018_PER202408_1,A018
PR_A018_PER202408_2,A018
PR_A019_PER202408_0,A019
PR_A019_PER202408_1,A019
PR_A019_PER202408_2,A019
PR_A020_PER202408_0,A020
PR_A020_PER202408_1,A020
PR_A020_PER202408_2,A020
PR_A021_PER202408_0,A021
PR_A021_PER202408_1,A021
PR_A021_PER202408_2,A021
PR_A022_PER202408_0,A022
PR_A022_PER202408_1,A022
PR_A022_PER202408_2,A022
PR_A023_PER202408_0,A023
PR_A023_PER202408_1,A023
PR_A023_PER202408_2,A023
PR_A024_PER202408_0,A024
PR_A024_PER202408_1,A024
PR_A024_PER202408_2,A024
PR_A025_PER202408_0,A025
PR_A025_PER202408_1,A025
PR_A025_PER202408_2,A025
PR_A026_PER202408_0,A026
PR_A026_PER202408_1,A026
PR_A026_PER202408_2,A026
PR_A027_PER202408_0,A027
PR_A027_PER202408_1,A027
PR_A027_PER202408_2,A027
PR_A028_PER202408_0,A028
PR_A028_PER202408_1,A028
PR_A028_PER202408_2,A028
PR_A029_PER202408_0,A029
PR_A029_PER202408_1,A029
PR_A029_PER202408_2,A029
PR_A030_PER202408_0,A030
PR_A030_PER202408_1,A030
PR_A030_PER202408_2,A030
PR_A031_PER202408_0,A031
PR_A031_PER202408_1,A031
PR_A031_PER202408_2,A031
PR_A032_PER202408_0,A032
PR_A032_PER202408_1,A032
PR_A032_PER202408_2,A032
PR_A033_PER202408_0,A033
PR_A033_PER202408_1,A033
PR_A033_PER202408_2,A033
PR_A034_PER202408_0,A034
PR_A034_PER202408_1,A034
PR_A034_PER202408_2,A034
PR_A035_PER202408_0,A035
PR_A035_PER202408_1,A035
PR_A035_PER202408_2,A035
PR_A036_PER202408_0,A036
PR_A036_PER202408_1,A036
PR_A036_PER202408_2,A036
PR_A037_PER202408_0,A037
PR_A037_PER202408_1,A037
PR_A037_PER202408_2,A037
PR_A038_PER202408_0,A038
PR_A038_PER202408_1,A038
PR_A038_PER202408_2,A038
PR_A039_PER202408_0,A039
PR_A039_PER202408_1,A039
PR_A039_PER202408_2,A039
PR_A040_PER202408_0,A040
PR_A040_PER202408_1,A040
PR_A040_PER202408_2,A040
PR_A041_PER202408_0,A041
PR_A041_PER202408_1,A041
PR_A041_PER202408_2,A041
PR_A042_PER202408_0,A042
