from_id,to_id
PR_A001_PER202408_0,PER202408
PR_A001_PER202408_1,PER202408
PR_A001_PER202408_2,PER202408
PR_A002_PER202408_0,PER202408
PR_A002_PER202408_1,PER202408
PR_A002_PER202408_2,PER202408
PR_A003_PER202408_0,PER202408
PR_A003_PER202408_1,PER202408
PR_A003_PER202408_2,PER202408
PR_A004_PER202408_0,PER202408
PR_A004_PER202408_1,PER202408
PR_A004_PER202408_2,PER202408
PR_A005_PER202408_0,PER202408
PR_A005_PER202408_1,PER202408
PR_A005_PER202408_2,PER202408
PR_A006_PER202408_0,PER202408
PR_A006_PER202408_1,PER202408
PR_A006_PER202408_2,PER202408
PR_A007_PER202408_0,PER202408
PR_A007_PER202408_1,PER202408
PR_A007_PER202408_2,PER202408
PR_A008_PER202408_0,PER202408
PR_A008_PER202408_1,PER202408
PR_A008_PER202408_2,PER202408
PR_A009_PER202408_0,PER202408
PR_A009_PER202408_1,PER202408
PR_A009_PER202408_2,PER202408
PR_A010_PER202408_0,PER202408
PR_A010_PER202408_1,PER202408
PR_A010_PER202408_2,PER202408
PR_A011_PER202408_0,PER202408
PR_A011_PER202408_1,PER202408
PR_A011_PER202408_2,PER202408
PR_A012_PER202408_0,PER202408
PR_A012_PER202408_1,PER202408
PR_A012_PER202408_2,PER202408
PR_A013_PER202408_0,PER202408
PR_A013_PER202408_1,PER202408
PR_A013_PER202408_2,PER202408
PR_A014_PER202408_0,PER202408
PR_A014_PER202408_1,PER202408
PR_A014_PER202408_2,PER202408
PR_A015_PER202408_0,PER202408
PR_A015_PER202408_1,PER202408
PR_A015_PER202408_2,PER202408
PR_A016_PER202408_0,PER202408
PR_A016_PER202408_1,PER202408
PR_A016_PER202408_2,PER202408
PR_A017_PER202408_0,PER202408
PR_A017_PER202408_1,PER202408
PR_A017_PER202408_2,PER202408
PR_A018_PER202408_0,PER202408
PR_A018_PER202408_1,PER202408
PR_A018_PER202408_2,PER202408
PR_A019_PER202408_0,PER202408
