from_id,to_id
MP001_03,MS03
MP001_06,MS06
MP001_09,MS09
MP001_12,MS12
MP001_15,MS15
MP001_18,MS18
MP001_21,MS21
MP001_24,MS24
MP002_03,MS03
MP002_06,MS06
MP002_09,MS09
MP002_12,MS12
MP002_15,MS15
MP002_18,MS18
MP002_21,MS21
MP002_24,MS24
MP003_03,MS03
MP003_06,MS06
MP003_09,MS09
MP003_12,MS12
MP003_15,MS15
MP003_18,MS18
MP003_21,MS21
MP003_24,MS24
MP004_03,MS03
MP004_06,MS06
MP004_09,MS09
MP004_12,MS12
MP004_15,MS15
MP004_18,MS18
MP004_21,MS21
MP004_24,MS24
MP005_03,MS03
MP005_06,MS06
MP005_09,MS09
MP005_12,MS12
MP005_15,MS15
MP005_18,MS18
MP005_21,MS21
MP005_24,MS24
MP006_03,MS03
MP006_06,MS06
MP006_09,MS09
MP006_12,MS12
MP006_15,MS15
MP006_18,MS18
MP006_21,MS21
MP006_24,MS24
MP007_03,MS03
MP007_06,MS06
MP007_09,MS09
MP007_12,MS12
MP007_15,MS15
MP007_18,MS18
MP007_21,MS21
MP007_24,MS24
MP008_03,MS03
MP008_06,MS06
MP008_09,MS09
MP008_12,MS12
MP008_15,MS15
MP008_18,MS18
MP008_21,MS21
MP008_24,MS24
MP009_03,MS03
MP009_06,MS06
MP009_09,MS09
MP009_12,MS12
MP009_15,MS15
MP009_18,MS18
MP009_21,MS21
MP009_24,MS24
MP010_03,MS03
MP010_06,MS06
MP010_09,MS09
MP010_12,MS12
MP010_15,MS15
MP010_18,MS18
MP010_21,MS21
MP010_24,MS24
MP011_03,MS03
MP011_06,MS06
MP011_09,MS09
MP011_12,MS12
MP011_15,MS15
MP011_18,MS18
MP011_21,MS21
MP011_24,MS24
MP012_03,MS03
MP012_06,MS06
MP012_09,MS09
MP012_12,MS12
MP012_15,MS15
MP012_18,MS18
MP012_21,MS21
MP012_24,MS24
MP013_03,MS03
MP013_06,MS06
MP013_09,MS09
MP013_12,MS12
MP013_15,MS15
MP013_18,MS18
MP013_21,MS21
MP013_24,MS24
MP014_03,MS03
MP014_06,MS06
MP014_09,MS09
MP014_12,MS12
MP014_15,MS15
MP014_18,MS18
MP014_21,MS21
MP014_24,MS24
MP015_03,MS03
MP015_06,MS06
MP015_09,MS09
MP015_12,MS12
MP015_15,MS15
MP015_18,MS18
MP015_21,MS21
MP015_24,MS24
MP016_03,MS03
MP016_06,MS06
MP016_09,MS09
MP016_12,MS12
MP016_15,MS15
MP016_18,MS18
MP016_21,MS21
MP016_24,MS24
MP017_03,MS03
MP017_06,MS06
MP017_09,MS09
MP017_12,MS12
MP017_15,MS15
MP017_18,MS18
MP017_21,MS21
MP017_24,MS24
MP018_03,MS03
MP018_06,MS06
MP018_09,MS09
MP018_12,MS12
MP018_15,MS15
MP018_18,MS18
MP018_21,MS21
MP018_24,MS24
MP019_03,MS03
MP019_06,MS06
MP019_09,MS09
MP019_12,MS12
MP019_15,MS15
MP019_18,MS18
MP019_21,MS21
MP019_24,MS24
MP020_03,MS03
MP020_06,MS06
MP020_09,MS09
MP020_12,MS12
MP020_15,MS15
MP020_18,MS18
MP020_21,MS21
MP020_24,MS24
MP021_03,MS03
MP021_06,MS06
MP021_09,MS09
MP021_12,MS12
MP021_15,MS15
MP021_18,MS18
MP021_21,MS21
MP021_24,MS24
MP022_03,MS03
MP022_06,MS06
MP022_09,MS09
MP022_12,MS12
MP022_15,MS15
MP022_18,MS18
MP022_21,MS21
MP022_24,MS24
MP023_03,MS03
MP023_06,MS06
MP023_09,MS09
MP023_12,MS12
MP023_15,MS15
MP023_18,MS18
MP023_21,MS21
MP023_24,MS24
MP024_03,MS03
MP024_06,MS06
MP024_09,MS09
MP024_12,MS12
MP024_15,MS15
MP024_18,MS18
MP024_21,MS21
MP024_24,MS24
