from_id,to_id
MP001_03,MEAS001_03_0
MP001_03,MEAS001_03_1
MP001_03,MEAS001_03_2
MP001_03,MEAS001_03_3
MP001_03,MEAS001_03_4
MP001_06,MEAS001_06_0
MP001_06,MEAS001_06_1
MP001_06,MEAS001_06_2
MP001_06,MEAS001_06_3
MP001_06,MEAS001_06_4
MP001_09,MEAS001_09_0
MP001_09,MEAS001_09_1
MP001_09,MEAS001_09_2
MP001_09,MEAS001_09_3
MP001_09,MEAS001_09_4
MP001_12,MEAS001_12_0
MP001_12,MEAS001_12_1
MP001_12,MEAS001_12_2
MP001_12,MEAS001_12_3
MP001_12,MEAS001_12_4
MP001_15,MEAS001_15_0
MP001_15,MEAS001_15_1
MP001_15,MEAS001_15_2
MP001_15,MEAS001_15_3
MP001_15,MEAS001_15_4
MP001_18,MEAS001_18_0
MP001_18,MEAS001_18_1
MP001_18,MEAS001_18_2
MP001_18,MEAS001_18_3
MP001_18,MEAS001_18_4
MP001_21,MEAS001_21_0
MP001_21,MEAS001_21_1
MP001_21,MEAS001_21_2
MP001_21,MEAS001_21_3
MP001_21,MEAS001_21_4
MP001_24,MEAS001_24_0
MP001_24,MEAS001_24_1
MP001_24,MEAS001_24_2
MP001_24,MEAS001_24_3
MP001_24,MEAS001_24_4
MP002_03,MEAS002_03_0
MP002_03,MEAS002_03_1
MP002_03,MEAS002_03_2
MP002_03,MEAS002_03_3
MP002_03,MEAS002_03_4
MP002_06,MEAS002_06_0
MP002_06,MEAS002_06_1
MP002_06,MEAS002_06_2
MP002_06,MEAS002_06_3
MP002_06,MEAS002_06_4
MP002_09,MEAS002_09_0
MP002_09,MEAS002_09_1
MP002_09,MEAS002_09_2
MP002_09,MEAS002_09_3
MP002_09,MEAS002_09_4
MP002_12,MEAS002_12_0
MP002_12,MEAS002_12_1
MP002_12,MEAS002_12_2
MP002_12,MEAS002_12_3
MP002_12,MEAS002_12_4
MP002_15,MEAS002_15_0
MP002_15,MEAS002_15_1
MP002_15,MEAS002_15_2
MP002_15,MEAS002_15_3
MP002_15,MEAS002_15_4
MP002_18,MEAS002_18_0
MP002_18,MEAS002_18_1
MP002_18,MEAS002_18_2
MP002_18,MEAS002_18_3
MP002_18,MEAS002_18_4
MP002_21,MEAS002_21_0
MP002_21,MEAS002_21_1
MP002_21,MEAS002_21_2
MP002_21,MEAS002_21_3
MP002_21,MEAS002_21_4
MP002_24,MEAS002_24_0
MP002_24,MEAS002_24_1
MP002_24,MEAS002_24_2
MP002_24,MEAS002_24_3
MP002_24,MEAS002_24_4
MP003_03,MEAS003_03_0
MP003_03,MEAS003_03_1
MP003_03,MEAS003_03_2
MP003_03,MEAS003_03_3
MP003_03,MEAS003_03_4
MP003_06,MEAS003_06_0
MP003_06,MEAS003_06_1
MP003_06,MEAS003_06_2
MP003_06,MEAS003_06_3
MP003_06,MEAS003_06_4
MP003_09,MEAS003_09_0
MP003_09,MEAS003_09_1
MP003_09,MEAS003_09_2
MP003_09,MEAS003_09_3
MP003_09,MEAS003_09_4
MP003_12,MEAS003_12_0
MP003_12,MEAS003_12_1
MP003_12,MEAS003_12_2
MP003_12,MEAS003_12_3
MP003_12,MEAS003_12_4
MP003_15,MEAS003_15_0
MP003_15,MEAS003_15_1
MP003_15,MEAS003_15_2
MP003_15,MEAS003_15_3
MP003_15,MEAS003_15_4
MP003_18,MEAS003_18_0
MP003_18,MEAS003_18_1
MP003_18,MEAS003_18_2
MP003_18,MEAS003_18_3
MP003_18,MEAS003_18_4
MP003_21,MEAS003_21_0
MP003_21,MEAS003_21_1
MP003_21,MEAS003_21_2
MP003_21,MEAS003_21_3
MP003_21,MEAS003_21_4
MP003_24,MEAS003_24_0
MP003_24,MEAS003_24_1
MP003_24,MEAS003_24_2
MP003_24,MEAS003_24_3
MP003_24,MEAS003_24_4
MP004_03,MEAS004_03_0
MP004_03,MEAS004_03_1
