from_id,to_id
REASON_A001,OPP_A001
REASON_A002,OPP_A002
REASON_A003,OPP_A003
REASON_A004,OPP_A004
REASON_A005,OPP_A005
REASON_A006,OPP_A006
REASON_A007,OPP_A007
REASON_A008,OPP_A008
REASON_A009,OPP_A009
REASON_A010,OPP_A010
REASON_A011,OPP_A011
REASON_A012,OPP_A012
REASON_A013,OPP_A013
REASON_A014,OPP_A014
REASON_A015,OPP_A015
REASON_A016,OPP_A016
REASON_A017,OPP_A017
REASON_A018,OPP_A018
REASON_A019,OPP_A019
REASON_A020,OPP_A020
REASON_A021,OPP_A021
REASON_A022,OPP_A022
REASON_A023,OPP_A023
REASON_A024,OPP_A024
REASON_A025,OPP_A025
REASON_A026,OPP_A026
REASON_A027,OPP_A027
REASON_A028,OPP_A028
REASON_A029,OPP_A029
REASON_A030,OPP_A030
REASON_A031,OPP_A031
REASON_A032,OPP_A032
REASON_A033,OPP_A033
REASON_A034,OPP_A034
REASON_A035,OPP_A035
REASON_A036,OPP_A036
REASON_A037,OPP_A037
REASON_A038,OPP_A038
REASON_A039,OPP_A039
REASON_A040,OPP_A040
REASON_A041,OPP_A041
REASON_A042,OPP_A042
REASON_A043,OPP_A043
REASON_A044,OPP_A044
REASON_A045,OPP_A045
REASON_A046,OPP_A046
REASON_A047,OPP_A047
REASON_A048,OPP_A048
REASON_A049,OPP_A049
REASON_A050,OPP_A050
REASON_A051,OPP_A051
REASON_A052,OPP_A052
REASON_A053,OPP_A053
REASON_A054,OPP_A054
REASON_A055,OPP_A055
REASON_A056,OPP_A056
REASON_A057,OPP_A057
REASON_A058,OPP_A058
REASON_A059,OPP_A059
REASON_A060,OPP_A060
REASON_HH_H0001,OPP_HH_H0001
REASON_HH_H0002,OPP_HH_H0002
REASON_HH_H0003,OPP_HH_H0003
REASON_HH_H0004,OPP_HH_H0004
REASON_HH_H0005,OPP_HH_H0005
REASON_HH_H0006,OPP_HH_H0006
REASON_HH_H0007,OPP_HH_H0007
REASON_HH_H0008,OPP_HH_H0008
REASON_HH_H0009,OPP_HH_H0009
REASON_HH_H0010,OPP_HH_H0010
REASON_HH_H0011,OPP_HH_H0011
REASON_HH_H0012,OPP_HH_H0012
REASON_HH_H0013,OPP_HH_H0013
REASON_HH_H0014,OPP_HH_H0014
REASON_HH_H0015,OPP_HH_H0015
REASON_HH_H0016,OPP_HH_H0016
REASON_HH_H0017,OPP_HH_H0017
REASON_HH_H0018,OPP_HH_H0018
REASON_HH_H0019,OPP_HH_H0019
REASON_HH_H0020,OPP_HH_H0020
REASON_HH_H0021,OPP_HH_H0021
REASON_HH_H0022,OPP_HH_H0022
REASON_HH_H0023,OPP_HH_H0023
REASON_HH_H0024,OPP_HH_H0024
REASON_HH_H0025,OPP_HH_H0025
REASON_HH_H0026,OPP_HH_H0026
REASON_HH_H0027,OPP_HH_H0027
REASON_HH_H0028,OPP_HH_H0028
REASON_HH_H0029,OPP_HH_H0029
REASON_HH_H0030,OPP_HH_H0030
REASON_AC_AC00001,OPP_AC_AC00001
REASON_AC_AC00002,OPP_AC_AC00002
REASON_AC_AC00003,OPP_AC_AC00003
REASON_AC_AC00004,OPP_AC_AC00004
REASON_AC_AC00005,OPP_AC_AC00005
REASON_AC_AC00006,OPP_AC_AC00006
REASON_AC_AC00007,OPP_AC_AC00007
REASON_AC_AC00008,OPP_AC_AC00008
REASON_AC_AC00009,OPP_AC_AC00009
REASON_AC_AC00010,OPP_AC_AC00010
REASON_AC_AC00011,OPP_AC_AC00011
REASON_AC_AC00012,OPP_AC_AC00012
REASON_AC_AC00013,OPP_AC_AC00013
REASON_AC_AC00014,OPP_AC_AC00014
REASON_AC_AC00015,OPP_AC_AC00015
REASON_AC_AC00016,OPP_AC_AC00016
REASON_AC_AC00017,OPP_AC_AC00017
REASON_AC_AC00018,OPP_AC_AC00018
REASON_AC_AC00019,OPP_AC_AC00019
REASON_AC_AC00020,OPP_AC_AC00020
REASON_AC_AC00021,OPP_AC_AC00021
REASON_AC_AC00022,OPP_AC_AC00022
REASON_AC_AC00023,OPP_AC_AC00023
REASON_AC_AC00024,OPP_AC_AC00024
REASON_AC_AC00025,OPP_AC_AC00025
REASON_AC_AC00026,OPP_AC_AC00026
REASON_AC_AC00027,OPP_AC_AC00027
REASON_AC_AC00028,OPP_AC_AC00028
REASON_AC_AC00029,OPP_AC_AC00029
REASON_AC_AC00030,OPP_AC_AC00030
