from_id,to_id
REASON_A001,REC_A001
REASON_A002,REC_A002
REASON_A003,REC_A003
REASON_A004,REC_A004
REASON_A005,REC_A005
REASON_A006,REC_A006
REASON_A007,REC_A007
REASON_A008,REC_A008
REASON_A009,REC_A009
REASON_A010,REC_A010
REASON_A011,REC_A011
REASON_A012,REC_A012
REASON_A013,REC_A013
REASON_A014,REC_A014
REASON_A015,REC_A015
REASON_A016,REC_A016
REASON_A017,REC_A017
REASON_A018,REC_A018
REASON_A019,REC_A019
REASON_A020,REC_A020
REASON_A021,REC_A021
REASON_A022,REC_A022
REASON_A023,REC_A023
REASON_A024,REC_A024
REASON_A025,REC_A025
REASON_A026,REC_A026
REASON_A027,REC_A027
REASON_A028,REC_A028
REASON_A029,REC_A029
REASON_A030,REC_A030
REASON_A031,REC_A031
REASON_A032,REC_A032
REASON_A033,REC_A033
REASON_A034,REC_A034
REASON_A035,REC_A035
REASON_A036,REC_A036
REASON_A037,REC_A037
REASON_A038,REC_A038
REASON_A039,REC_A039
REASON_A040,REC_A040
REASON_A041,REC_A041
REASON_A042,REC_A042
REASON_A043,REC_A043
REASON_A044,REC_A044
REASON_A045,REC_A045
REASON_A046,REC_A046
REASON_A047,REC_A047
REASON_A048,REC_A048
REASON_A049,REC_A049
REASON_A050,REC_A050
REASON_A051,REC_A051
REASON_A052,REC_A052
REASON_A053,REC_A053
REASON_A054,REC_A054
REASON_A055,REC_A055
REASON_A056,REC_A056
REASON_A057,REC_A057
REASON_A058,REC_A058
REASON_A059,REC_A059
REASON_A060,REC_A060
REASON_HH_H0001,REC_HH_H0001
REASON_HH_H0002,REC_HH_H0002
REASON_HH_H0003,REC_HH_H0003
REASON_HH_H0004,REC_HH_H0004
REASON_HH_H0005,REC_HH_H0005
REASON_HH_H0006,REC_HH_H0006
REASON_HH_H0007,REC_HH_H0007
REASON_HH_H0008,REC_HH_H0008
REASON_HH_H0009,REC_HH_H0009
REASON_HH_H0010,REC_HH_H0010
REASON_HH_H0011,REC_HH_H0011
REASON_HH_H0012,REC_HH_H0012
REASON_HH_H0013,REC_HH_H0013
REASON_HH_H0014,REC_HH_H0014
REASON_HH_H0015,REC_HH_H0015
REASON_HH_H0016,REC_HH_H0016
REASON_HH_H0017,REC_HH_H0017
REASON_HH_H0018,REC_HH_H0018
REASON_HH_H0019,REC_HH_H0019
REASON_HH_H0020,REC_HH_H0020
REASON_HH_H0021,REC_HH_H0021
REASON_HH_H0022,REC_HH_H0022
REASON_HH_H0023,REC_HH_H0023
REASON_HH_H0024,REC_HH_H0024
REASON_HH_H0025,REC_HH_H0025
REASON_HH_H0026,REC_HH_H0026
REASON_HH_H0027,REC_HH_H0027
REASON_HH_H0028,REC_HH_H0028
REASON_HH_H0029,REC_HH_H0029
REASON_HH_H0030,REC_HH_H0030
REASON_AC_AC00001,REC_AC_AC00001
REASON_AC_AC00002,REC_AC_AC00002
REASON_AC_AC00003,REC_AC_AC00003
REASON_AC_AC00004,REC_AC_AC00004
REASON_AC_AC00005,REC_AC_AC00005
REASON_AC_AC00006,REC_AC_AC00006
REASON_AC_AC00007,REC_AC_AC00007
REASON_AC_AC00008,REC_AC_AC00008
REASON_AC_AC00009,REC_AC_AC00009
REASON_AC_AC00010,REC_AC_AC00010
REASON_AC_AC00011,REC_AC_AC00011
REASON_AC_AC00012,REC_AC_AC00012
REASON_AC_AC00013,REC_AC_AC00013
REASON_AC_AC00014,REC_AC_AC00014
REASON_AC_AC00015,REC_AC_AC00015
REASON_AC_AC00016,REC_AC_AC00016
REASON_AC_AC00017,REC_AC_AC00017
REASON_AC_AC00018,REC_AC_AC00018
REASON_AC_AC00019,REC_AC_AC00019
REASON_AC_AC00020,REC_AC_AC00020
REASON_AC_AC00021,REC_AC_AC00021
REASON_AC_AC00022,REC_AC_AC00022
REASON_AC_AC00023,REC_AC_AC00023
REASON_AC_AC00024,REC_AC_AC00024
REASON_AC_AC00025,REC_AC_AC00025
REASON_AC_AC00026,REC_AC_AC00026
REASON_AC_AC00027,REC_AC_AC00027
REASON_AC_AC00028,REC_AC_AC00028
REASON_AC_AC00029,REC_AC_AC00029
REASON_AC_AC00030,REC_AC_AC00030
