from_id,to_id
REASON_A001,CH001_01
REASON_A002,CH002_01
REASON_A003,CH003_01
REASON_A004,CH004_01
REASON_A005,CH005_01
REASON_A006,CH006_01
REASON_A007,CH007_01
REASON_A008,CH008_01
REASON_A009,CH001_01
REASON_A010,CH002_01
REASON_A011,CH003_01
REASON_A012,CH004_01
REASON_A013,CH005_01
REASON_A014,CH006_01
REASON_A015,CH007_01
REASON_A016,CH008_01
REASON_A017,CH001_01
REASON_A018,CH002_01
REASON_A019,CH003_01
REASON_A020,CH004_01
REASON_A021,CH005_01
REASON_A022,CH006_01
REASON_A023,CH007_01
REASON_A024,CH008_01
REASON_A025,CH001_01
REASON_A026,CH002_01
REASON_A027,CH003_01
REASON_A028,CH004_01
REASON_A029,CH005_01
REASON_A030,CH006_01
REASON_A031,CH007_01
REASON_A032,CH008_01
REASON_A033,CH001_01
REASON_A034,CH002_01
REASON_A035,CH003_01
REASON_A036,CH004_01
REASON_A037,CH005_01
REASON_A038,CH006_01
REASON_A039,CH007_01
REASON_A040,CH008_01
REASON_A041,CH001_01
REASON_A042,CH002_01
REASON_A043,CH003_01
REASON_A044,CH004_01
REASON_A045,CH005_01
REASON_A046,CH006_01
REASON_A047,CH007_01
REASON_A048,CH008_01
REASON_A049,CH001_01
REASON_A050,CH002_01
REASON_A051,CH003_01
REASON_A052,CH004_01
REASON_A053,CH005_01
REASON_A054,CH006_01
REASON_A055,CH007_01
REASON_A056,CH008_01
REASON_A057,CH001_01
REASON_A058,CH002_01
REASON_A059,CH003_01
REASON_A060,CH004_01
