from_id,to_id
REASON_A001,MEM_A001
REASON_A002,MEM_A002
REASON_A003,MEM_A003
REASON_A004,MEM_A004
REASON_A005,MEM_A005
REASON_A006,MEM_A006
REASON_A007,MEM_A007
REASON_A008,MEM_A008
REASON_A009,MEM_A009
REASON_A010,MEM_A010
REASON_A011,MEM_A011
REASON_A012,MEM_A012
REASON_A013,MEM_A013
REASON_A014,MEM_A014
REASON_A015,MEM_A015
REASON_A016,MEM_A016
REASON_A017,MEM_A017
REASON_A018,MEM_A018
REASON_A019,MEM_A019
REASON_A020,MEM_A020
REASON_A021,MEM_A021
REASON_A022,MEM_A022
REASON_A023,MEM_A023
REASON_A024,MEM_A024
REASON_A025,MEM_A025
REASON_A026,MEM_A026
REASON_A027,MEM_A027
REASON_A028,MEM_A028
REASON_A029,MEM_A029
REASON_A030,MEM_A030
REASON_A031,MEM_A031
REASON_A032,MEM_A032
REASON_A033,MEM_A033
REASON_A034,MEM_A034
REASON_A035,MEM_A035
REASON_A036,MEM_A036
REASON_A037,MEM_A037
REASON_A038,MEM_A038
REASON_A039,MEM_A039
REASON_A040,MEM_A040
REASON_A041,MEM_A041
REASON_A042,MEM_A042
REASON_A043,MEM_A043
REASON_A044,MEM_A044
REASON_A045,MEM_A045
REASON_A046,MEM_A046
REASON_A047,MEM_A047
REASON_A048,MEM_A048
REASON_A049,MEM_A049
REASON_A050,MEM_A050
REASON_A051,MEM_A051
REASON_A052,MEM_A052
REASON_A053,MEM_A053
REASON_A054,MEM_A054
REASON_A055,MEM_A055
REASON_A056,MEM_A056
REASON_A057,MEM_A057
REASON_A058,MEM_A058
REASON_A059,MEM_A059
REASON_A060,MEM_A060
