from_id,to_id
REASON_A001,TX0000001
REASON_A002,TX0000018
REASON_A003,TX0000035
REASON_A004,TX0000052
REASON_A005,TX0000069
REASON_A006,TX0000086
REASON_A007,TX0000103
REASON_A008,TX0000120
REASON_A009,TX0000137
REASON_A010,TX0000154
REASON_A011,TX0000171
REASON_A012,TX0000188
REASON_A013,TX0000205
REASON_A014,TX0000222
REASON_A015,TX0000239
REASON_A016,TX0000256
REASON_A017,TX0000273
REASON_A018,TX0000290
REASON_A019,TX0000307
REASON_A020,TX0000324
REASON_A021,TX0000341
REASON_A022,TX0000358
REASON_A023,TX0000375
REASON_A024,TX0000392
REASON_A025,TX0000409
REASON_A026,TX0000426
REASON_A027,TX0000443
REASON_A028,TX0000460
REASON_A029,TX0000477
REASON_A030,TX0000494
REASON_A031,TX0000511
REASON_A032,TX0000528
REASON_A033,TX0000545
REASON_A034,TX0000562
REASON_A035,TX0000579
REASON_A036,TX0000596
REASON_A037,TX0000613
REASON_A038,TX0000630
REASON_A039,TX0000647
REASON_A040,TX0000664
REASON_A041,TX0000681
REASON_A042,TX0000698
REASON_A043,TX0000715
REASON_A044,TX0000732
REASON_A045,TX0000749
REASON_A046,TX0000766
REASON_A047,TX0000783
REASON_A048,TX0000800
REASON_A049,TX0000817
REASON_A050,TX0000834
REASON_A051,TX0000851
REASON_A052,TX0000868
REASON_A053,TX0000885
REASON_A054,TX0000902
REASON_A055,TX0000919
REASON_A056,TX0000936
REASON_A057,TX0000953
REASON_A058,TX0000970
REASON_A059,TX0000987
REASON_A060,TX0001004
REASON_HH_H0001,TX0001021
REASON_HH_H0002,TX0001038
REASON_HH_H0003,TX0001055
REASON_HH_H0004,TX0001072
REASON_HH_H0005,TX0001089
REASON_HH_H0006,TX0001106
REASON_HH_H0007,TX0001123
REASON_HH_H0008,TX0001140
REASON_HH_H0009,TX0001157
REASON_HH_H0010,TX0001174
REASON_HH_H0011,TX0001191
REASON_HH_H0012,TX0001208
REASON_HH_H0013,TX0001225
REASON_HH_H0014,TX0001242
REASON_HH_H0015,TX0001259
REASON_HH_H0016,TX0001276
REASON_HH_H0017,TX0001293
REASON_HH_H0018,TX0001310
REASON_HH_H0019,TX0001327
REASON_HH_H0020,TX0001344
REASON_HH_H0021,TX0001361
REASON_HH_H0022,TX0001378
REASON_HH_H0023,TX0001395
REASON_HH_H0024,TX0001412
REASON_HH_H0025,TX0001429
REASON_HH_H0026,TX0001446
REASON_HH_H0027,TX0001463
REASON_HH_H0028,TX0001480
REASON_HH_H0029,TX0001497
REASON_HH_H0030,TX0001514
REASON_AC_AC00001,TX0001531
REASON_AC_AC00002,TX0001548
REASON_AC_AC00003,TX0001565
REASON_AC_AC00004,TX0001582
REASON_AC_AC00005,TX0001599
REASON_AC_AC00006,TX0001616
REASON_AC_AC00007,TX0001633
REASON_AC_AC00008,TX0001650
REASON_AC_AC00009,TX0001667
REASON_AC_AC00010,TX0001684
REASON_AC_AC00011,TX0001701
REASON_AC_AC00012,TX0001718
REASON_AC_AC00013,TX0001735
REASON_AC_AC00014,TX0001752
REASON_AC_AC00015,TX0001769
REASON_AC_AC00016,TX0001786
REASON_AC_AC00017,TX0001803
REASON_AC_AC00018,TX0001820
REASON_AC_AC00019,TX0001837
REASON_AC_AC00020,TX0001854
REASON_AC_AC00021,TX0001871
REASON_AC_AC00022,TX0001888
REASON_AC_AC00023,TX0001905
REASON_AC_AC00024,TX0001922
REASON_AC_AC00025,TX0001939
REASON_AC_AC00026,TX0001956
REASON_AC_AC00027,TX0001973
REASON_AC_AC00028,TX0001990
REASON_AC_AC00029,TX0002007
REASON_AC_AC00030,TX0002024
