from_id,to_id
REC_A001,OPP_A001
REC_A002,OPP_A002
REC_A003,OPP_A003
REC_A004,OPP_A004
REC_A005,OPP_A005
REC_A006,OPP_A006
REC_A007,OPP_A007
REC_A008,OPP_A008
REC_A009,OPP_A009
REC_A010,OPP_A010
REC_A011,OPP_A011
REC_A012,OPP_A012
REC_A013,OPP_A013
REC_A014,OPP_A014
REC_A015,OPP_A015
REC_A016,OPP_A016
REC_A017,OPP_A017
REC_A018,OPP_A018
REC_A019,OPP_A019
REC_A020,OPP_A020
REC_A021,OPP_A021
REC_A022,OPP_A022
REC_A023,OPP_A023
REC_A024,OPP_A024
REC_A025,OPP_A025
REC_A026,OPP_A026
REC_A027,OPP_A027
REC_A028,OPP_A028
REC_A029,OPP_A029
REC_A030,OPP_A030
REC_A031,OPP_A031
REC_A032,OPP_A032
REC_A033,OPP_A033
REC_A034,OPP_A034
REC_A035,OPP_A035
REC_A036,OPP_A036
REC_A037,OPP_A037
REC_A038,OPP_A038
REC_A039,OPP_A039
REC_A040,OPP_A040
REC_A041,OPP_A041
REC_A042,OPP_A042
REC_A043,OPP_A043
REC_A044,OPP_A044
REC_A045,OPP_A045
REC_A046,OPP_A046
REC_A047,OPP_A047
REC_A048,OPP_A048
REC_A049,OPP_A049
REC_A050,OPP_A050
REC_A051,OPP_A051
REC_A052,OPP_A052
REC_A053,OPP_A053
REC_A054,OPP_A054
REC_A055,OPP_A055
REC_A056,OPP_A056
REC_A057,OPP_A057
REC_A058,OPP_A058
REC_A059,OPP_A059
REC_A060,OPP_A060
REC_HH_H0001,OPP_HH_H0001
REC_HH_H0002,OPP_HH_H0002
REC_HH_H0003,OPP_HH_H0003
REC_HH_H0004,OPP_HH_H0004
REC_HH_H0005,OPP_HH_H0005
REC_HH_H0006,OPP_HH_H0006
REC_HH_H0007,OPP_HH_H0007
REC_HH_H0008,OPP_HH_H0008
REC_HH_H0009,OPP_HH_H0009
REC_HH_H0010,OPP_HH_H0010
REC_HH_H0011,OPP_HH_H0011
REC_HH_H0012,OPP_HH_H0012
REC_HH_H0013,OPP_HH_H0013
REC_HH_H0014,OPP_HH_H0014
REC_HH_H0015,OPP_HH_H0015
REC_HH_H0016,OPP_HH_H0016
REC_HH_H0017,OPP_HH_H0017
REC_HH_H0018,OPP_HH_H0018
REC_HH_H0019,OPP_HH_H0019
REC_HH_H0020,OPP_HH_H0020
REC_HH_H0021,OPP_HH_H0021
REC_HH_H0022,OPP_HH_H0022
REC_HH_H0023,OPP_HH_H0023
REC_HH_H0024,OPP_HH_H0024
REC_HH_H0025,OPP_HH_H0025
REC_HH_H0026,OPP_HH_H0026
REC_HH_H0027,OPP_HH_H0027
REC_HH_H0028,OPP_HH_H0028
REC_HH_H0029,OPP_HH_H0029
REC_HH_H0030,OPP_HH_H0030
REC_AC_AC00001,OPP_AC_AC00001
REC_AC_AC00002,OPP_AC_AC00002
REC_AC_AC00003,OPP_AC_AC00003
REC_AC_AC00004,OPP_AC_AC00004
REC_AC_AC00005,OPP_AC_AC00005
REC_AC_AC00006,OPP_AC_AC00006
REC_AC_AC00007,OPP_AC_AC00007
REC_AC_AC00008,OPP_AC_AC00008
REC_AC_AC00009,OPP_AC_AC00009
REC_AC_AC00010,OPP_AC_AC00010
REC_AC_AC00011,OPP_AC_AC00011
REC_AC_AC00012,OPP_AC_AC00012
REC_AC_AC00013,OPP_AC_AC00013
REC_AC_AC00014,OPP_AC_AC00014
REC_AC_AC00015,OPP_AC_AC00015
REC_AC_AC00016,OPP_AC_AC00016
REC_AC_AC00017,OPP_AC_AC00017
REC_AC_AC00018,OPP_AC_AC00018
REC_AC_AC00019,OPP_AC_AC00019
REC_AC_AC00020,OPP_AC_AC00020
REC_AC_AC00021,OPP_AC_AC00021
REC_AC_AC00022,OPP_AC_AC00022
REC_AC_AC00023,OPP_AC_AC00023
REC_AC_AC00024,OPP_AC_AC00024
REC_AC_AC00025,OPP_AC_AC00025
REC_AC_AC00026,OPP_AC_AC00026
REC_AC_AC00027,OPP_AC_AC00027
REC_AC_AC00028,OPP_AC_AC00028
REC_AC_AC00029,OPP_AC_AC00029
REC_AC_AC00030,OPP_AC_AC00030
