from_id,to_id
REC_AC_AC00001,AC00001
REC_AC_AC00002,AC00002
REC_AC_AC00003,AC00003
REC_AC_AC00004,AC00004
REC_AC_AC00005,AC00005
REC_AC_AC00006,AC00006
REC_AC_AC00007,AC00007
REC_AC_AC00008,AC00008
REC_AC_AC00009,AC00009
REC_AC_AC00010,AC00010
REC_AC_AC00011,AC00011
REC_AC_AC00012,AC00012
REC_AC_AC00013,AC00013
REC_AC_AC00014,AC00014
REC_AC_AC00015,AC00015
REC_AC_AC00016,AC00016
REC_AC_AC00017,AC00017
REC_AC_AC00018,AC00018
REC_AC_AC00019,AC00019
REC_AC_AC00020,AC00020
REC_AC_AC00021,AC00021
REC_AC_AC00022,AC00022
REC_AC_AC00023,AC00023
REC_AC_AC00024,AC00024
REC_AC_AC00025,AC00025
REC_AC_AC00026,AC00026
REC_AC_AC00027,AC00027
REC_AC_AC00028,AC00028
REC_AC_AC00029,AC00029
REC_AC_AC00030,AC00030
