from_id,to_id
REC_A001,A001
REC_A002,A002
REC_A003,A003
REC_A004,A004
REC_A005,A005
REC_A006,A006
REC_A007,A007
REC_A008,A008
REC_A009,A009
REC_A010,A010
REC_A011,A011
REC_A012,A012
REC_A013,A013
REC_A014,A014
REC_A015,A015
REC_A016,A016
REC_A017,A017
REC_A018,A018
REC_A019,A019
REC_A020,A020
REC_A021,A021
REC_A022,A022
REC_A023,A023
REC_A024,A024
REC_A025,A025
REC_A026,A026
REC_A027,A027
REC_A028,A028
REC_A029,A029
REC_A030,A030
REC_A031,A031
REC_A032,A032
REC_A033,A033
REC_A034,A034
REC_A035,A035
REC_A036,A036
REC_A037,A037
REC_A038,A038
REC_A039,A039
REC_A040,A040
REC_A041,A041
REC_A042,A042
REC_A043,A043
REC_A044,A044
REC_A045,A045
REC_A046,A046
REC_A047,A047
REC_A048,A048
REC_A049,A049
REC_A050,A050
REC_A051,A051
REC_A052,A052
REC_A053,A053
REC_A054,A054
REC_A055,A055
REC_A056,A056
REC_A057,A057
REC_A058,A058
REC_A059,A059
REC_A060,A060
