from_id,to_id
REC_HH_H0001,H0001
REC_HH_H0002,H0002
REC_HH_H0003,H0003
REC_HH_H0004,H0004
REC_HH_H0005,H0005
REC_HH_H0006,H0006
REC_HH_H0007,H0007
REC_HH_H0008,H0008
REC_HH_H0009,H0009
REC_HH_H0010,H0010
REC_HH_H0011,H0011
REC_HH_H0012,H0012
REC_HH_H0013,H0013
REC_HH_H0014,H0014
REC_HH_H0015,H0015
REC_HH_H0016,H0016
REC_HH_H0017,H0017
REC_HH_H0018,H0018
REC_HH_H0019,H0019
REC_HH_H0020,H0020
REC_HH_H0021,H0021
REC_HH_H0022,H0022
REC_HH_H0023,H0023
REC_HH_H0024,H0024
REC_HH_H0025,H0025
REC_HH_H0026,H0026
REC_HH_H0027,H0027
REC_HH_H0028,H0028
REC_HH_H0029,H0029
REC_HH_H0030,H0030
