from_id,to_id
REC_A001,PB001
REC_A002,PB002
REC_A003,PB003
REC_A004,PB004
REC_A005,PB005
REC_A006,PB006
REC_A007,PB001
REC_A008,PB002
REC_A009,PB003
REC_A010,PB004
REC_A011,PB005
REC_A012,PB006
REC_A013,PB001
REC_A014,PB002
REC_A015,PB003
REC_A016,PB004
REC_A017,PB005
REC_A018,PB006
REC_A019,PB001
REC_A020,PB002
REC_A021,PB003
REC_A022,PB004
REC_A023,PB005
REC_A024,PB006
REC_A025,PB001
REC_A026,PB002
REC_A027,PB003
REC_A028,PB004
REC_A029,PB005
REC_A030,PB006
REC_A031,PB001
REC_A032,PB002
REC_A033,PB003
REC_A034,PB004
REC_A035,PB005
REC_A036,PB006
REC_A037,PB001
REC_A038,PB002
REC_A039,PB003
REC_A040,PB004
REC_A041,PB005
REC_A042,PB006
REC_A043,PB001
REC_A044,PB002
REC_A045,PB003
REC_A046,PB004
REC_A047,PB005
REC_A048,PB006
REC_A049,PB001
REC_A050,PB002
REC_A051,PB003
REC_A052,PB004
REC_A053,PB005
REC_A054,PB006
REC_A055,PB001
REC_A056,PB002
REC_A057,PB003
REC_A058,PB004
REC_A059,PB005
REC_A060,PB006
