from_id,to_id
REF00100,H0003
REF00101,H0004
REF00102,H0005
REF00200,H0009
REF00201,H0010
REF00202,H0011
REF00300,H0015
REF00301,H0016
REF00302,H0017
REF00400,H0021
REF00401,H0022
REF00402,H0023
REF00500,H0027
REF00501,H0028
REF00502,H0029
REF00600,H0033
REF00601,H0034
REF00602,H0035
REF00700,H0039
REF00701,H0040
REF00702,H0041
REF00800,H0045
REF00801,H0046
REF00802,H0047
REF00900,H0051
REF00901,H0052
REF00902,H0053
REF01000,H0057
REF01001,H0058
REF01002,H0059
REF01100,H0063
REF01101,H0064
REF01102,H0065
REF01200,H0069
REF01201,H0070
REF01202,H0071
REF01300,H0075
REF01301,H0076
REF01302,H0077
REF01400,H0081
REF01401,H0082
REF01402,H0083
REF01500,H0087
REF01501,H0088
REF01502,H0089
REF01600,H0093
REF01601,H0094
REF01602,H0095
REF01700,H0099
REF01701,H0100
REF01702,H0101
REF01800,H0105
REF01801,H0106
REF01802,H0107
REF01900,H0111
REF01901,H0112
REF01902,H0113
REF02000,H0117
REF02001,H0118
REF02002,H0119
REF02100,H0123
REF02101,H0124
REF02102,H0125
REF02200,H0129
REF02201,H0130
REF02202,H0131
REF02300,H0135
REF02301,H0136
REF02302,H0137
REF02400,H0141
REF02401,H0142
REF02402,H0143
REF02500,H0147
REF02501,H0148
REF02502,H0149
REF02600,H0153
REF02601,H0154
REF02602,H0155
REF02700,H0159
REF02701,H0160
REF02702,H0161
REF02800,H0165
REF02801,H0166
REF02802,H0167
REF02900,H0171
REF02901,H0172
REF02902,H0173
REF03000,H0177
REF03001,H0178
REF03002,H0179
REF03100,H0183
REF03101,H0184
REF03102,H0185
REF03200,H0189
REF03201,H0190
REF03202,H0191
REF03300,H0195
REF03301,H0196
REF03302,H0197
REF03400,H0201
REF03401,H0202
REF03402,H0203
REF03500,H0207
REF03501,H0208
REF03502,H0209
REF03600,H0213
REF03601,H0214
REF03602,H0215
REF03700,H0219
REF03701,H0220
REF03702,H0221
REF03800,H0225
REF03801,H0226
REF03802,H0227
REF03900,H0231
REF03901,H0232
REF03902,H0233
REF04000,H0237
REF04001,H0238
REF04002,H0239
REF04100,H0243
REF04101,H0244
REF04102,H0245
REF04200,H0249
REF04201,H0250
REF04202,H0251
REF04300,H0255
REF04301,H0256
REF04302,H0257
REF04400,H0261
REF04401,H0262
REF04402,H0263
REF04500,H0267
REF04501,H0268
REF04502,H0269
REF04600,H0273
REF04601,H0274
REF04602,H0275
REF04700,H0279
REF04701,H0280
REF04702,H0281
REF04800,H0285
REF04801,H0286
REF04802,H0287
REF04900,H0291
REF04901,H0292
REF04902,H0293
REF05000,H0297
REF05001,H0298
REF05002,H0299
REF05100,H0303
REF05101,H0304
REF05102,H0305
REF05200,H0309
REF05201,H0310
REF05202,H0311
REF05300,H0315
REF05301,H0316
REF05302,H0317
REF05400,H0321
REF05401,H0322
REF05402,H0323
REF05500,H0327
REF05501,H0328
REF05502,H0329
REF05600,H0333
REF05601,H0334
REF05602,H0335
REF05700,H0339
REF05701,H0340
REF05702,H0341
REF05800,H0345
REF05801,H0346
REF05802,H0347
REF05900,H0351
REF05901,H0352
REF05902,H0353
REF06000,H0357
REF06001,H0358
REF06002,H0359
