from_id,to_id
REF00102,CRMOPP00101
REF00202,CRMOPP00201
REF00302,CRMOPP00301
REF00402,CRMOPP00401
REF00502,CRMOPP00501
REF00602,CRMOPP00601
REF00702,CRMOPP00701
REF00802,CRMOPP00801
REF00902,CRMOPP00901
REF01002,CRMOPP01001
REF01102,CRMOPP01101
REF01202,CRMOPP01201
REF01302,CRMOPP01301
REF01402,CRMOPP01401
REF01502,CRMOPP01501
REF01602,CRMOPP01601
REF01702,CRMOPP01701
REF01802,CRMOPP01801
REF01902,CRMOPP01901
REF02002,CRMOPP02001
REF02102,CRMOPP02101
REF02202,CRMOPP02201
REF02302,CRMOPP02301
REF02402,CRMOPP02401
REF02502,CRMOPP02501
REF02602,CRMOPP02601
REF02702,CRMOPP02701
REF02802,CRMOPP02801
REF02902,CRMOPP02901
REF03002,CRMOPP03001
REF03102,CRMOPP03101
REF03202,CRMOPP03201
REF03302,CRMOPP03301
REF03402,CRMOPP03401
REF03502,CRMOPP03501
REF03602,CRMOPP03601
REF03702,CRMOPP03701
REF03802,CRMOPP03801
REF03902,CRMOPP03901
REF04002,CRMOPP04001
REF04102,CRMOPP04101
REF04202,CRMOPP04201
REF04302,CRMOPP04301
REF04402,CRMOPP04401
REF04502,CRMOPP04501
REF04602,CRMOPP04601
REF04702,CRMOPP04701
REF04802,CRMOPP04801
REF04902,CRMOPP04901
REF05002,CRMOPP05001
REF05102,CRMOPP05101
REF05202,CRMOPP05201
REF05302,CRMOPP05301
REF05402,CRMOPP05401
REF05502,CRMOPP05501
REF05602,CRMOPP05601
REF05702,CRMOPP05701
REF05802,CRMOPP05801
REF05902,CRMOPP05901
REF06002,CRMOPP06001
