from_id,to_id
TX0000001,A001
TX0000002,A001
TX0000003,A001
TX0000004,A001
TX0000005,A001
TX0000006,A001
TX0000007,A001
TX0000008,A002
TX0000009,A002
TX0000010,A002
TX0000011,A002
TX0000012,A002
TX0000013,A002
TX0000014,A002
TX0000015,A003
TX0000016,A003
TX0000017,A003
TX0000018,A003
TX0000019,A003
TX0000020,A003
TX0000021,A003
TX0000022,A004
TX0000023,A004
TX0000024,A004
TX0000025,A004
TX0000026,A004
TX0000027,A004
TX0000028,A004
TX0000029,A005
TX0000030,A005
TX0000031,A005
TX0000032,A005
TX0000033,A005
TX0000034,A005
TX0000035,A005
TX0000036,A006
TX0000037,A006
TX0000038,A006
TX0000039,A006
TX0000040,A006
TX0000041,A006
TX0000042,A006
TX0000043,A007
TX0000044,A007
TX0000045,A007
TX0000046,A007
TX0000047,A007
TX0000048,A007
TX0000049,A007
TX0000050,A008
TX0000051,A008
TX0000052,A008
TX0000053,A008
TX0000054,A008
TX0000055,A008
TX0000056,A008
TX0000057,A009
TX0000058,A009
TX0000059,A009
TX0000060,A009
TX0000061,A009
TX0000062,A009
TX0000063,A009
TX0000064,A010
TX0000065,A010
TX0000066,A010
TX0000067,A010
TX0000068,A010
TX0000069,A010
TX0000070,A010
TX0000071,A011
TX0000072,A011
TX0000073,A011
TX0000074,A011
TX0000075,A011
TX0000076,A011
TX0000077,A011
TX0000078,A012
TX0000079,A012
TX0000080,A012
TX0000081,A012
TX0000082,A012
TX0000083,A012
TX0000084,A012
TX0000085,A013
TX0000086,A013
TX0000087,A013
TX0000088,A013
TX0000089,A013
TX0000090,A013
TX0000091,A013
TX0000092,A014
TX0000093,A014
TX0000094,A014
TX0000095,A014
TX0000096,A014
TX0000097,A014
TX0000098,A014
TX0000099,A015
TX0000100,A015
TX0000101,A015
TX0000102,A015
TX0000103,A015
TX0000104,A015
TX0000105,A015
TX0000106,A016
TX0000107,A016
TX0000108,A016
TX0000109,A016
TX0000110,A016
TX0000111,A016
TX0000112,A016
TX0000113,A017
TX0000114,A017
TX0000115,A017
TX0000116,A017
TX0000117,A017
TX0000118,A017
TX0000119,A017
TX0000120,A018
TX0000121,A018
TX0000122,A018
TX0000123,A018
TX0000124,A018
TX0000125,A018
TX0000126,A018
TX0000127,A019
TX0000128,A019
TX0000129,A019
TX0000130,A019
TX0000131,A019
TX0000132,A019
TX0000133,A019
TX0000134,A020
TX0000135,A020
TX0000136,A020
TX0000137,A020
TX0000138,A020
TX0000139,A020
TX0000140,A020
TX0000141,A021
TX0000142,A021
TX0000143,A021
TX0000144,A021
TX0000145,A021
TX0000146,A021
TX0000147,A021
TX0000148,A022
TX0000149,A022
TX0000150,A022
TX0000151,A022
TX0000152,A022
TX0000153,A022
TX0000154,A022
TX0000155,A023
TX0000156,A023
TX0000157,A023
TX0000158,A023
TX0000159,A023
TX0000160,A023
TX0000161,A023
TX0000162,A024
TX0000163,A024
TX0000164,A024
TX0000165,A024
TX0000166,A024
TX0000167,A024
TX0000168,A024
TX0000169,A025
TX0000170,A025
TX0000171,A025
TX0000172,A025
TX0000173,A025
TX0000174,A025
TX0000175,A025
TX0000176,A026
TX0000177,A026
TX0000178,A026
TX0000179,A026
TX0000180,A026
TX0000181,A026
TX0000182,A026
TX0000183,A027
TX0000184,A027
TX0000185,A027
TX0000186,A027
TX0000187,A027
TX0000188,A027
TX0000189,A027
TX0000190,A028
TX0000191,A028
TX0000192,A028
TX0000193,A028
TX0000194,A028
TX0000195,A028
TX0000196,A028
TX0000197,A029
TX0000198,A029
TX0000199,A029
TX0000200,A029
TX0000201,A029
TX0000202,A029
TX0000203,A029
TX0000204,A030
TX0000205,A030
TX0000206,A030
TX0000207,A030
TX0000208,A030
TX0000209,A030
TX0000210,A030
TX0000211,A031
TX0000212,A031
TX0000213,A031
TX0000214,A031
TX0000215,A031
TX0000216,A031
