from_id,to_id
TX0000001,H0001
TX0000002,H0002
TX0000003,H0003
TX0000004,H0004
TX0000005,H0005
TX0000006,H0006
TX0000007,H0001
TX0000008,H0007
TX0000009,H0008
TX0000010,H0009
TX0000011,H0010
TX0000012,H0011
TX0000013,H0012
TX0000014,H0007
TX0000015,H0013
TX0000016,H0014
TX0000017,H0015
TX0000018,H0016
TX0000019,H0017
TX0000020,H0018
TX0000021,H0013
TX0000022,H0019
TX0000023,H0020
TX0000024,H0021
TX0000025,H0022
TX0000026,H0023
TX0000027,H0024
TX0000028,H0019
TX0000029,H0025
TX0000030,H0026
TX0000031,H0027
TX0000032,H0028
TX0000033,H0029
TX0000034,H0030
TX0000035,H0025
TX0000036,H0031
TX0000037,H0032
TX0000038,H0033
TX0000039,H0034
TX0000040,H0035
TX0000041,H0036
TX0000042,H0031
TX0000043,H0037
TX0000044,H0038
TX0000045,H0039
TX0000046,H0040
TX0000047,H0041
TX0000048,H0042
TX0000049,H0037
TX0000050,H0043
TX0000051,H0044
TX0000052,H0045
TX0000053,H0046
TX0000054,H0047
TX0000055,H0048
TX0000056,H0043
TX0000057,H0049
TX0000058,H0050
TX0000059,H0051
TX0000060,H0052
TX0000061,H0053
TX0000062,H0054
TX0000063,H0049
TX0000064,H0055
TX0000065,H0056
TX0000066,H0057
TX0000067,H0058
TX0000068,H0059
TX0000069,H0060
TX0000070,H0055
TX0000071,H0061
TX0000072,H0062
TX0000073,H0063
TX0000074,H0064
TX0000075,H0065
TX0000076,H0066
TX0000077,H0061
TX0000078,H0067
TX0000079,H0068
TX0000080,H0069
TX0000081,H0070
TX0000082,H0071
TX0000083,H0072
TX0000084,H0067
TX0000085,H0073
TX0000086,H0074
TX0000087,H0075
TX0000088,H0076
TX0000089,H0077
TX0000090,H0078
TX0000091,H0073
TX0000092,H0079
TX0000093,H0080
TX0000094,H0081
TX0000095,H0082
TX0000096,H0083
TX0000097,H0084
TX0000098,H0079
TX0000099,H0085
TX0000100,H0086
TX0000101,H0087
TX0000102,H0088
TX0000103,H0089
TX0000104,H0090
TX0000105,H0085
TX0000106,H0091
TX0000107,H0092
TX0000108,H0093
TX0000109,H0094
TX0000110,H0095
TX0000111,H0096
TX0000112,H0091
TX0000113,H0097
TX0000114,H0098
TX0000115,H0099
TX0000116,H0100
TX0000117,H0101
TX0000118,H0102
TX0000119,H0097
TX0000120,H0103
TX0000121,H0104
TX0000122,H0105
TX0000123,H0106
TX0000124,H0107
TX0000125,H0108
TX0000126,H0103
TX0000127,H0109
TX0000128,H0110
TX0000129,H0111
TX0000130,H0112
TX0000131,H0113
TX0000132,H0114
TX0000133,H0109
TX0000134,H0115
TX0000135,H0116
TX0000136,H0117
TX0000137,H0118
TX0000138,H0119
TX0000139,H0120
TX0000140,H0115
TX0000141,H0121
TX0000142,H0122
TX0000143,H0123
TX0000144,H0124
TX0000145,H0125
TX0000146,H0126
TX0000147,H0121
TX0000148,H0127
TX0000149,H0128
TX0000150,H0129
TX0000151,H0130
TX0000152,H0131
TX0000153,H0132
TX0000154,H0127
TX0000155,H0133
TX0000156,H0134
TX0000157,H0135
TX0000158,H0136
TX0000159,H0137
TX0000160,H0138
TX0000161,H0133
TX0000162,H0139
TX0000163,H0140
TX0000164,H0141
TX0000165,H0142
TX0000166,H0143
TX0000167,H0144
TX0000168,H0139
TX0000169,H0145
TX0000170,H0146
TX0000171,H0147
TX0000172,H0148
TX0000173,H0149
TX0000174,H0150
TX0000175,H0145
TX0000176,H0151
TX0000177,H0152
TX0000178,H0153
TX0000179,H0154
TX0000180,H0155
TX0000181,H0156
TX0000182,H0151
TX0000183,H0157
TX0000184,H0158
TX0000185,H0159
TX0000186,H0160
TX0000187,H0161
TX0000188,H0162
TX0000189,H0157
TX0000190,H0163
TX0000191,H0164
TX0000192,H0165
TX0000193,H0166
TX0000194,H0167
TX0000195,H0168
TX0000196,H0163
TX0000197,H0169
TX0000198,H0170
TX0000199,H0171
TX0000200,H0172
TX0000201,H0173
TX0000202,H0174
TX0000203,H0169
TX0000204,H0175
TX0000205,H0176
TX0000206,H0177
TX0000207,H0178
TX0000208,H0179
TX0000209,H0180
TX0000210,H0175
TX0000211,H0181
TX0000212,H0182
TX0000213,H0183
TX0000214,H0184
TX0000215,H0185
TX0000216,H0186
TX0000217,H0181
TX0000218,H0187
TX0000219,H0188
TX0000220,H0189
TX0000221,H0190
TX0000222,H0191
TX0000223,H0192
TX0000224,H0187
TX0000225,H0193
TX0000226,H0194
TX0000227,H0195
TX0000228,H0196
TX0000229,H0197
TX0000230,H0198
TX0000231,H0193
TX0000232,H0199
TX0000233,H0200
TX0000234,H0201
TX0000235,H0202
TX0000236,H0203
TX0000237,H0204
TX0000238,H0199
TX0000239,H0205
TX0000240,H0206
TX0000241,H0207
TX0000242,H0208
TX0000243,H0209
TX0000244,H0210
TX0000245,H0205
TX0000246,H0211
TX0000247,H0212
TX0000248,H0213
TX0000249,H0214
TX0000250,H0215
TX0000251,H0216
TX0000252,H0211
TX0000253,H0217
TX0000254,H0218
TX0000255,H0219
TX0000256,H0220
TX0000257,H0221
TX0000258,H0222
TX0000259,H0217
TX0000260,H0223
TX0000261,H0224
TX0000262,H0225
TX0000263,H0226
TX0000264,H0227
TX0000265,H0228
TX0000266,H0223
TX0000267,H0229
TX0000268,H0230
TX0000269,H0231
TX0000270,H0232
TX0000271,H0233
TX0000272,H0234
TX0000273,H0229
TX0000274,H0235
TX0000275,H0236
TX0000276,H0237
TX0000277,H0238
TX0000278,H0239
TX0000279,H0240
TX0000280,H0235
TX0000281,H0241
TX0000282,H0242
TX0000283,H0243
TX0000284,H0244
TX0000285,H0245
TX0000286,H0246
TX0000287,H0241
TX0000288,H0247
TX0000289,H0248
TX0000290,H0249
TX0000291,H0250
TX0000292,H0251
TX0000293,H0252
TX0000294,H0247
TX0000295,H0253
TX0000296,H0254
TX0000297,H0255
TX0000298,H0256
TX0000299,H0257
TX0000300,H0258
TX0000301,H0253
TX0000302,H0259
TX0000303,H0260
TX0000304,H0261
TX0000305,H0262
TX0000306,H0263
TX0000307,H0264
TX0000308,H0259
TX0000309,H0265
TX0000310,H0266
TX0000311,H0267
TX0000312,H0268
TX0000313,H0269
TX0000314,H0270
TX0000315,H0265
TX0000316,H0271
TX0000317,H0272
TX0000318,H0273
TX0000319,H0274
TX0000320,H0275
TX0000321,H0276
TX0000322,H0271
TX0000323,H0277
TX0000324,H0278
TX0000325,H0279
TX0000326,H0280
TX0000327,H0281
TX0000328,H0282
TX0000329,H0277
TX0000330,H0283
TX0000331,H0284
TX0000332,H0285
TX0000333,H0286
TX0000334,H0287
TX0000335,H0288
TX0000336,H0283
TX0000337,H0289
TX0000338,H0290
TX0000339,H0291
TX0000340,H0292
TX0000341,H0293
TX0000342,H0294
TX0000343,H0289
TX0000344,H0295
TX0000345,H0296
TX0000346,H0297
TX0000347,H0298
TX0000348,H0299
TX0000349,H0300
TX0000350,H0295
TX0000351,H0301
TX0000352,H0302
TX0000353,H0303
TX0000354,H0304
TX0000355,H0305
TX0000356,H0306
TX0000357,H0301
TX0000358,H0307
TX0000359,H0308
TX0000360,H0309
TX0000361,H0310
TX0000362,H0311
TX0000363,H0312
TX0000364,H0307
TX0000365,H0313
TX0000366,H0314
TX0000367,H0315
TX0000368,H0316
TX0000369,H0317
TX0000370,H0318
TX0000371,H0313
TX0000372,H0319
TX0000373,H0320
TX0000374,H0321
TX0000375,H0322
TX0000376,H0323
TX0000377,H0324
TX0000378,H0319
TX0000379,H0325
TX0000380,H0326
TX0000381,H0327
TX0000382,H0328
TX0000383,H0329
TX0000384,H0330
TX0000385,H0325
TX0000386,H0331
TX0000387,H0332
TX0000388,H0333
TX0000389,H0334
TX0000390,H0335
TX0000391,H0336
TX0000392,H0331
TX0000393,H0337
TX0000394,H0338
TX0000395,H0339
TX0000396,H0340
TX0000397,H0341
TX0000398,H0342
TX0000399,H0337
TX0000400,H0343
TX0000401,H0344
TX0000402,H0345
TX0000403,H0346
TX0000404,H0347
TX0000405,H0348
TX0000406,H0343
TX0000407,H0349
TX0000408,H0350
TX0000409,H0351
TX0000410,H0352
TX0000411,H0353
TX0000412,H0354
TX0000413,H0349
TX0000414,H0355
TX0000415,H0356
TX0000416,H0357
TX0000417,H0358
TX0000418,H0359
TX0000419,H0360
TX0000420,H0355
TX0000421,H0001
TX0000422,H0002
TX0000423,H0003
TX0000424,H0004
TX0000425,H0005
TX0000426,H0006
TX0000427,H0001
TX0000428,H0007
TX0000429,H0008
TX0000430,H0009
TX0000431,H0010
TX0000432,H0011
TX0000433,H0012
TX0000434,H0007
TX0000435,H0013
TX0000436,H0014
TX0000437,H0015
TX0000438,H0016
TX0000439,H0017
TX0000440,H0018
TX0000441,H0013
TX0000442,H0019
TX0000443,H0020
TX0000444,H0021
TX0000445,H0022
TX0000446,H0023
TX0000447,H0024
TX0000448,H0019
TX0000449,H0025
TX0000450,H0026
TX0000451,H0027
TX0000452,H0028
TX0000453,H0029
TX0000454,H0030
TX0000455,H0025
TX0000456,H0031
TX0000457,H0032
TX0000458,H0033
TX0000459,H0034
TX0000460,H0035
TX0000461,H0036
TX0000462,H0031
TX0000463,H0037
TX0000464,H0038
TX0000465,H0039
TX0000466,H0040
TX0000467,H0041
TX0000468,H0042
TX0000469,H0037
TX0000470,H0043
TX0000471,H0044
TX0000472,H0045
TX0000473,H0046
TX0000474,H0047
TX0000475,H0048
TX0000476,H0043
TX0000477,H0049
TX0000478,H0050
TX0000479,H0051
TX0000480,H0052
TX0000481,H0053
TX0000482,H0054
TX0000483,H0049
TX0000484,H0055
TX0000485,H0056
TX0000486,H0057
TX0000487,H0058
TX0000488,H0059
TX0000489,H0060
TX0000490,H0055
TX0000491,H0061
TX0000492,H0062
TX0000493,H0063
TX0000494,H0064
TX0000495,H0065
TX0000496,H0066
TX0000497,H0061
TX0000498,H0067
TX0000499,H0068
TX0000500,H0069
TX0000501,H0070
TX0000502,H0071
TX0000503,H0072
TX0000504,H0067
TX0000505,H0073
TX0000506,H0074
TX0000507,H0075
TX0000508,H0076
TX0000509,H0077
TX0000510,H0078
TX0000511,H0073
TX0000512,H0079
TX0000513,H0080
TX0000514,H0081
TX0000515,H0082
TX0000516,H0083
TX0000517,H0084
TX0000518,H0079
TX0000519,H0085
TX0000520,H0086
TX0000521,H0087
TX0000522,H0088
TX0000523,H0089
TX0000524,H0090
TX0000525,H0085
TX0000526,H0091
TX0000527,H0092
TX0000528,H0093
TX0000529,H0094
TX0000530,H0095
TX0000531,H0096
TX0000532,H0091
TX0000533,H0097
TX0000534,H0098
TX0000535,H0099
TX0000536,H0100
TX0000537,H0101
TX0000538,H0102
TX0000539,H0097
TX0000540,H0103
TX0000541,H0104
TX0000542,H0105
TX0000543,H0106
TX0000544,H0107
TX0000545,H0108
TX0000546,H0103
TX0000547,H0109
TX0000548,H0110
TX0000549,H0111
TX0000550,H0112
TX0000551,H0113
TX0000552,H0114
TX0000553,H0109
TX0000554,H0115
TX0000555,H0116
TX0000556,H0117
TX0000557,H0118
TX0000558,H0119
TX0000559,H0120
TX0000560,H0115
TX0000561,H0121
TX0000562,H0122
TX0000563,H0123
TX0000564,H0124
TX0000565,H0125
TX0000566,H0126
TX0000567,H0121
TX0000568,H0127
TX0000569,H0128
TX0000570,H0129
TX0000571,H0130
TX0000572,H0131
TX0000573,H0132
TX0000574,H0127
TX0000575,H0133
TX0000576,H0134
TX0000577,H0135
TX0000578,H0136
TX0000579,H0137
TX0000580,H0138
TX0000581,H0133
TX0000582,H0139
TX0000583,H0140
TX0000584,H0141
TX0000585,H0142
TX0000586,H0143
TX0000587,H0144
TX0000588,H0139
TX0000589,H0145
TX0000590,H0146
TX0000591,H0147
TX0000592,H0148
TX0000593,H0149
TX0000594,H0150
TX0000595,H0145
TX0000596,H0151
TX0000597,H0152
TX0000598,H0153
