from_id,to_id
TX0000001,P008
TX0000002,P009
TX0000003,P010
TX0000004,P011
TX0000005,P012
TX0000006,P013
TX0000007,P014
TX0000008,P015
TX0000009,P016
TX0000010,P017
TX0000011,P018
TX0000012,P019
TX0000013,P020
TX0000014,P021
TX0000015,P022
TX0000016,P023
TX0000017,P024
TX0000018,P025
TX0000019,P026
TX0000020,P027
TX0000021,P028
TX0000022,P029
TX0000023,P030
TX0000024,P031
TX0000025,P032
TX0000026,P033
TX0000027,P034
TX0000028,P035
TX0000029,P036
TX0000030,P037
TX0000031,P038
TX0000032,P039
TX0000033,P040
TX0000034,P041
TX0000035,P042
TX0000036,P043
TX0000037,P044
TX0000038,P045
TX0000039,P046
TX0000040,P047
TX0000041,P048
TX0000042,P049
TX0000043,P050
TX0000044,P051
TX0000045,P052
TX0000046,P053
TX0000047,P054
TX0000048,P055
TX0000049,P056
TX0000050,P057
TX0000051,P058
TX0000052,P059
TX0000053,P060
TX0000054,P061
TX0000055,P062
TX0000056,P063
TX0000057,P064
TX0000058,P001
TX0000059,P002
TX0000060,P003
TX0000061,P004
TX0000062,P005
TX0000063,P006
TX0000064,P007
TX0000065,P008
TX0000066,P009
TX0000067,P010
TX0000068,P011
TX0000069,P012
TX0000070,P013
TX0000071,P014
TX0000072,P015
TX0000073,P016
TX0000074,P017
TX0000075,P018
TX0000076,P019
TX0000077,P020
TX0000078,P021
TX0000079,P022
TX0000080,P023
TX0000081,P024
TX0000082,P025
TX0000083,P026
TX0000084,P027
TX0000085,P028
TX0000086,P029
TX0000087,P030
TX0000088,P031
TX0000089,P032
TX0000090,P033
TX0000091,P034
TX0000092,P035
TX0000093,P036
TX0000094,P037
TX0000095,P038
TX0000096,P039
TX0000097,P040
TX0000098,P041
TX0000099,P042
TX0000100,P043
TX0000101,P044
TX0000102,P045
TX0000103,P046
TX0000104,P047
TX0000105,P048
TX0000106,P049
TX0000107,P050
TX0000108,P051
TX0000109,P052
TX0000110,P053
TX0000111,P054
TX0000112,P055
TX0000113,P056
TX0000114,P057
TX0000115,P058
TX0000116,P059
TX0000117,P060
TX0000118,P061
TX0000119,P062
TX0000120,P063
TX0000121,P064
TX0000122,P001
TX0000123,P002
TX0000124,P003
TX0000125,P004
TX0000126,P005
TX0000127,P006
TX0000128,P007
TX0000129,P008
