from_id,to_id
TRN_SEED_REC_A001_0,REC_A001
TRN_SEED_REC_A002_0,REC_A002
TRN_SEED_REC_A002_1,REC_A002
TRN_SEED_REC_A003_0,REC_A003
TRN_SEED_REC_A003_1,REC_A003
TRN_SEED_REC_A004_0,REC_A004
TRN_SEED_REC_A006_0,REC_A006
TRN_SEED_REC_A007_0,REC_A007
TRN_SEED_REC_A007_1,REC_A007
TRN_SEED_REC_A008_0,REC_A008
TRN_SEED_REC_A008_1,REC_A008
TRN_SEED_REC_A009_0,REC_A009
TRN_SEED_REC_A011_0,REC_A011
TRN_SEED_REC_A012_0,REC_A012
TRN_SEED_REC_A012_1,REC_A012
TRN_SEED_REC_A013_0,REC_A013
TRN_SEED_REC_A013_1,REC_A013
TRN_SEED_REC_A014_0,REC_A014
TRN_SEED_REC_A016_0,REC_A016
TRN_SEED_REC_A017_0,REC_A017
TRN_SEED_REC_A017_1,REC_A017
TRN_SEED_REC_A018_0,REC_A018
TRN_SEED_REC_A018_1,REC_A018
TRN_SEED_REC_A019_0,REC_A019
TRN_SEED_REC_A021_0,REC_A021
TRN_SEED_REC_A022_0,REC_A022
TRN_SEED_REC_A022_1,REC_A022
TRN_SEED_REC_A023_0,REC_A023
TRN_SEED_REC_A023_1,REC_A023
TRN_SEED_REC_A024_0,REC_A024
TRN_SEED_REC_A026_0,REC_A026
TRN_SEED_REC_A027_0,REC_A027
TRN_SEED_REC_A027_1,REC_A027
TRN_SEED_REC_A028_0,REC_A028
TRN_SEED_REC_A028_1,REC_A028
TRN_SEED_REC_A029_0,REC_A029
TRN_SEED_REC_A031_0,REC_A031
TRN_SEED_REC_A032_0,REC_A032
TRN_SEED_REC_A032_1,REC_A032
TRN_SEED_REC_A033_0,REC_A033
TRN_SEED_REC_A033_1,REC_A033
TRN_SEED_REC_A034_0,REC_A034
TRN_SEED_REC_A036_0,REC_A036
TRN_SEED_REC_A037_0,REC_A037
TRN_SEED_REC_A037_1,REC_A037
TRN_SEED_REC_A038_0,REC_A038
TRN_SEED_REC_A038_1,REC_A038
TRN_SEED_REC_A039_0,REC_A039
TRN_SEED_REC_A041_0,REC_A041
TRN_SEED_REC_A042_0,REC_A042
