from_id,to_id
U_ADV001,A001
U_ADV002,A002
U_ADV003,A003
U_ADV004,A004
U_ADV005,A005
U_ADV006,A006
U_ADV007,A007
U_ADV008,A008
U_ADV009,A009
U_ADV010,A010
U_ADV011,A011
U_ADV012,A012
U_ADV013,A013
U_ADV014,A014
U_ADV015,A015
U_ADV016,A016
U_ADV017,A017
U_ADV018,A018
U_ADV019,A019
U_ADV020,A020
U_ADV021,A021
U_ADV022,A022
U_ADV023,A023
U_ADV024,A024
U_ADV025,A025
U_ADV026,A026
U_ADV027,A027
U_ADV028,A028
U_ADV029,A029
U_ADV030,A030
U_ADV031,A031
U_ADV032,A032
U_ADV033,A033
U_ADV034,A034
U_ADV035,A035
U_ADV036,A036
U_ADV037,A037
U_ADV038,A038
U_ADV039,A039
U_ADV040,A040
U_ADV041,A041
U_ADV042,A042
U_ADV043,A043
U_ADV044,A044
U_ADV045,A045
U_ADV046,A046
U_ADV047,A047
U_ADV048,A048
U_ADV049,A049
U_ADV050,A050
U_ADV051,A051
U_ADV052,A052
U_ADV053,A053
U_ADV054,A054
U_ADV055,A055
U_ADV056,A056
U_ADV057,A057
U_ADV058,A058
U_ADV059,A059
U_ADV060,A060
