execution_id,agent_name,workflow_name,persona,scope_type,scope_id,status,started_at,completed_at,latency_ms,model_name,prompt_version
EXEC001,AdvisorCoachingAgent,COACHING_QA,AGP_ADVISOR,ADVISOR,A001,COMPLETED,2026-07-01T10:01:00,2026-07-01T10:01:03,3100,configured-llm,v1.0
EXEC002,AdvisorCoachingAgent,COACHING_QA,AGP_ADVISOR,ADVISOR,A002,COMPLETED,2026-07-01T10:02:00,2026-07-01T10:02:03,3100,configured-llm,v1.0
EXEC003,AdvisorCoachingAgent,COACHING_QA,AGP_ADVISOR,ADVISOR,A003,COMPLETED,2026-07-01T10:03:00,2026-07-01T10:03:03,3100,configured-llm,v1.0
EXEC004,AdvisorCoachingAgent,COACHING_QA,AGP_ADVISOR,ADVISOR,A004,COMPLETED,2026-07-01T10:04:00,2026-07-01T10:04:03,3100,configured-llm,v1.0
EXEC005,AdvisorCoachingAgent,COACHING_QA,AGP_ADVISOR,ADVISOR,A005,COMPLETED,2026-07-01T10:05:00,2026-07-01T10:05:03,3100,configured-llm,v1.0
EXEC006,AdvisorCoachingAgent,COACHING_QA,AGP_ADVISOR,ADVISOR,A006,COMPLETED,2026-07-01T10:06:00,2026-07-01T10:06:03,3100,configured-llm,v1.0
EXEC007,AdvisorCoachingAgent,COACHING_QA,AGP_ADVISOR,ADVISOR,A007,COMPLETED,2026-07-01T10:07:00,2026-07-01T10:07:03,3100,configured-llm,v1.0
EXEC008,AdvisorCoachingAgent,COACHING_QA,AGP_ADVISOR,ADVISOR,A008,COMPLETED,2026-07-01T10:08:00,2026-07-01T10:08:03,3100,configured-llm,v1.0
EXEC009,AdvisorCoachingAgent,COACHING_QA,AGP_ADVISOR,ADVISOR,A009,COMPLETED,2026-07-01T10:09:00,2026-07-01T10:09:03,3100,configured-llm,v1.0
EXEC010,AdvisorCoachingAgent,COACHING_QA,AGP_ADVISOR,ADVISOR,A010,COMPLETED,2026-07-01T10:10:00,2026-07-01T10:10:03,3100,configured-llm,v1.0
