enrollment_id,cohort,start_date,expected_end_date,actual_end_date,current_program_month,status
ENR001,2026Q1,2026-01-02,2028-01-02,,6,ACTIVE
ENR002,2025Q3,2025-08-05,2027-08-05,,11,ACTIVE
ENR003,2025Q1,2025-03-08,2027-03-08,,16,ACTIVE
ENR004,2024Q4,2024-10-09,2026-10-09,,21,ACTIVE
ENR005,2026Q2,2026-05-02,2028-05-01,,2,ACTIVE
ENR006,2025Q4,2025-12-03,2027-12-03,,7,ACTIVE
ENR007,2025Q3,2025-07-06,2027-07-06,,12,ACTIVE
ENR008,2025Q1,2025-02-06,2027-02-06,,17,ACTIVE
ENR009,2024Q3,2024-09-09,2026-09-09,,22,ACTIVE
ENR010,2026Q2,2026-04-02,2028-04-01,,3,ACTIVE
ENR011,2025Q4,2025-11-03,2027-11-03,,8,ACTIVE
ENR012,2025Q2,2025-06-06,2027-06-06,,13,ACTIVE
ENR013,2025Q1,2025-01-07,2027-01-07,,18,ACTIVE
ENR014,2024Q3,2024-08-10,2026-08-10,,23,ACTIVE
ENR015,2026Q1,2026-03-03,2028-03-02,,4,ACTIVE
ENR016,2025Q4,2025-10-04,2027-10-04,,9,ACTIVE
ENR017,2025Q2,2025-05-07,2027-05-07,,14,ACTIVE
ENR018,2024Q4,2024-12-08,2026-12-08,,19,ACTIVE
ENR019,2024Q3,2024-07-11,2026-07-11,,24,ACTIVE
ENR020,2026Q1,2026-02-01,2028-02-01,,5,ACTIVE
ENR021,2025Q3,2025-09-04,2027-09-04,,10,ACTIVE
ENR022,2025Q2,2025-04-07,2027-04-07,,15,ACTIVE
ENR023,2024Q4,2024-11-08,2026-11-08,,20,ACTIVE
ENR024,2026Q2,2026-06-01,2028-05-31,,1,ACTIVE
