measurement_id,target_value,actual_value,attainment_pct,status,measured_at
MEAS001_03_0,15,9.05,60.35,OFF_TRACK,2026-07-01
MEAS001_03_1,15,9.48,63.19,OFF_TRACK,2026-07-01
MEAS001_03_2,15,9.9,66.03,OFF_TRACK,2026-07-01
MEAS001_03_3,15,10.33,68.87,OFF_TRACK,2026-07-01
MEAS001_03_4,1000000,717100.0,71.71,OFF_TRACK,2026-07-01
MEAS001_06_0,15,10.2,68.0,OFF_TRACK,2026-07-01
MEAS001_06_1,15,10.68,71.2,OFF_TRACK,2026-07-01
MEAS001_06_2,15,11.16,74.4,OFF_TRACK,2026-07-01
MEAS001_06_3,15,11.64,77.6,OFF_TRACK,2026-07-01
MEAS001_06_4,1000000,808000.0,80.8,ON_TRACK,2026-07-01
MEAS001_09_0,15,11.35,75.65,OFF_TRACK,2026-07-01
MEAS001_09_1,15,11.88,79.21,OFF_TRACK,2026-07-01
MEAS001_09_2,15,12.42,82.77,ON_TRACK,2026-07-01
MEAS001_09_3,15,12.95,86.33,ON_TRACK,2026-07-01
MEAS001_09_4,1000000,898900.0,89.89,ON_TRACK,2026-07-01
MEAS001_12_0,15,12.49,83.3,ON_TRACK,2026-07-01
MEAS001_12_1,15,13.08,87.22,ON_TRACK,2026-07-01
MEAS001_12_2,15,13.67,91.14,ON_TRACK,2026-07-01
MEAS001_12_3,15,14.26,95.06,ON_TRACK,2026-07-01
MEAS001_12_4,1000000,989800.0,98.98,ON_TRACK,2026-07-01
MEAS001_15_0,15,7.27,48.45,OFF_TRACK,2026-07-01
MEAS001_15_1,15,7.61,50.73,OFF_TRACK,2026-07-01
MEAS001_15_2,15,7.95,53.01,OFF_TRACK,2026-07-01
MEAS001_15_3,15,8.29,55.29,OFF_TRACK,2026-07-01
MEAS001_15_4,1000000,575700.0,57.57,OFF_TRACK,2026-07-01
MEAS001_18_0,15,8.42,56.1,OFF_TRACK,2026-07-01
MEAS001_18_1,15,8.81,58.74,OFF_TRACK,2026-07-01
