lead_id,source,created_date,due_date,status,completed_date,converted_flag,priority,estimated_value
L00100,WEB,2026-06-01,2026-07-15,COMPLETED,2026-06-26,False,LOW,25000
L00101,EVENT,2026-05-28,2026-07-07,OVERDUE,,False,MEDIUM,40000
L00102,CAMPAIGN,2026-05-24,2026-06-29,CONVERTED,2026-06-26,True,HIGH,55000
L00103,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L00104,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L00200,WEB,2026-06-01,2026-07-15,OVERDUE,,False,LOW,25000
L00201,EVENT,2026-05-28,2026-07-07,CONVERTED,2026-06-26,True,MEDIUM,40000
L00202,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L00203,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L00204,CLIENT,2026-05-16,2026-06-13,COMPLETED,2026-06-26,False,MEDIUM,85000
L00300,WEB,2026-06-01,2026-07-15,CONVERTED,2026-06-26,True,LOW,25000
L00301,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L00302,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L00303,BRANCH,2026-05-20,2026-06-21,COMPLETED,2026-06-26,False,URGENT,70000
L00304,CLIENT,2026-05-16,2026-06-13,OVERDUE,,False,MEDIUM,85000
L00400,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L00401,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L00402,CAMPAIGN,2026-05-24,2026-06-29,COMPLETED,2026-06-26,False,HIGH,55000
L00403,BRANCH,2026-05-20,2026-06-21,OVERDUE,,False,URGENT,70000
L00404,CLIENT,2026-05-16,2026-06-13,CONVERTED,2026-06-26,True,MEDIUM,85000
L00500,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L00501,EVENT,2026-05-28,2026-07-07,COMPLETED,2026-06-26,False,MEDIUM,40000
L00502,CAMPAIGN,2026-05-24,2026-06-29,OVERDUE,,False,HIGH,55000
L00503,BRANCH,2026-05-20,2026-06-21,CONVERTED,2026-06-26,True,URGENT,70000
L00504,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L00600,WEB,2026-06-01,2026-07-15,COMPLETED,2026-06-26,False,LOW,25000
L00601,EVENT,2026-05-28,2026-07-07,OVERDUE,,False,MEDIUM,40000
L00602,CAMPAIGN,2026-05-24,2026-06-29,CONVERTED,2026-06-26,True,HIGH,55000
L00603,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L00604,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L00700,WEB,2026-06-01,2026-07-15,OVERDUE,,False,LOW,25000
L00701,EVENT,2026-05-28,2026-07-07,CONVERTED,2026-06-26,True,MEDIUM,40000
L00702,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L00703,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L00704,CLIENT,2026-05-16,2026-06-13,COMPLETED,2026-06-26,False,MEDIUM,85000
L00800,WEB,2026-06-01,2026-07-15,CONVERTED,2026-06-26,True,LOW,25000
L00801,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L00802,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L00803,BRANCH,2026-05-20,2026-06-21,COMPLETED,2026-06-26,False,URGENT,70000
L00804,CLIENT,2026-05-16,2026-06-13,OVERDUE,,False,MEDIUM,85000
L00900,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
