referral_id,source,received_date,due_date,status,completed_date,converted_flag,priority,estimated_value
REF00100,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
REF00101,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF00102,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF00200,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF00201,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF00202,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF00300,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF00301,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF00302,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
REF00400,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
REF00401,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF00402,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF00500,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF00501,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF00502,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF00600,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF00601,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF00602,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
REF00700,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
REF00701,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF00702,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF00800,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF00801,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF00802,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF00900,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF00901,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF00902,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
REF01000,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
REF01001,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF01002,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF01100,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF01101,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF01102,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF01200,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF01201,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF01202,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
REF01300,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
REF01301,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF01302,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF01400,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF01401,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF01402,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF01500,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF01501,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF01502,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
REF01600,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
REF01601,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF01602,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF01700,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF01701,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF01702,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF01800,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF01801,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF01802,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
REF01900,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
