embedding_id,entity_type,entity_id,model_name,model_version,dimensions,vector_preview,generated_at
EMB_A001,ADVISOR,A001,deterministic-feature-projection,v1.0,8,"[0.9207, 0.9546, 0.5706, 0.1216, 0.0205, 0.3603, 0.8285, 0.9947]",2026-07-01
EMB_A002,ADVISOR,A002,deterministic-feature-projection,v1.0,8,"[0.9546, 0.1216, 0.3603, 0.9947, 0.228, 0.2317, 0.9953, 0.356]",2026-07-01
EMB_A003,ADVISOR,A003,deterministic-feature-projection,v1.0,8,"[0.5706, 0.3603, 0.7061, 0.2317, 0.8251, 0.1245, 0.9183, 0.0472]",2026-07-01
EMB_A004,ADVISOR,A004,deterministic-feature-projection,v1.0,8,"[0.1216, 0.9947, 0.2317, 0.356, 0.9565, 0.0472, 0.6355, 0.7757]",2026-07-01
EMB_A005,ADVISOR,A005,deterministic-feature-projection,v1.0,8,"[0.0205, 0.228, 0.8251, 0.9565, 0.4338, 0.006, 0.2859, 0.8726]",2026-07-01
EMB_A006,ADVISOR,A006,deterministic-feature-projection,v1.0,8,"[0.3603, 0.2317, 0.1245, 0.0472, 0.006, 0.0041, 0.0417, 0.1159]",2026-07-01
EMB_A007,ADVISOR,A007,deterministic-feature-projection,v1.0,8,"[0.8285, 0.9953, 0.9183, 0.6355, 0.2859, 0.0417, 0.0231, 0.2392]",2026-07-01
EMB_A008,ADVISOR,A008,deterministic-feature-projection,v1.0,8,"[0.9947, 0.356, 0.0472, 0.7757, 0.8726, 0.1159, 0.2392, 0.96]",2026-07-01
EMB_A009,ADVISOR,A009,deterministic-feature-projection,v1.0,8,"[0.7061, 0.1245, 0.9782, 0.0041, 0.9255, 0.2206, 0.5837, 0.6269]",2026-07-01
EMB_A010,ADVISOR,A010,deterministic-feature-projection,v1.0,8,"[0.228, 0.9565, 0.006, 0.8726, 0.3688, 0.3476, 0.8869, 0.0031]",2026-07-01
EMB_A011,ADVISOR,A011,deterministic-feature-projection,v1.0,8,"[0.0, 0.4956, 1.0, 0.5089, 0.0001, 0.4867, 0.9998, 0.5177]",2026-07-01
EMB_A012,ADVISOR,A012,deterministic-feature-projection,v1.0,8,"[0.2317, 0.0472, 0.0041, 0.1159, 0.3476, 0.6269, 0.8666, 0.9918]",2026-07-01
EMB_A013,ADVISOR,A013,deterministic-feature-projection,v1.0,8,"[0.7101, 0.8813, 0.9819, 0.9933, 0.9134, 0.757, 0.553, 0.3392]",2026-07-01
EMB_A014,ADVISOR,A014,deterministic-feature-projection,v1.0,8,"[0.9953, 0.6355, 0.0417, 0.2392, 0.8869, 0.8666, 0.2133, 0.055]",2026-07-01
EMB_A015,ADVISOR,A015,deterministic-feature-projection,v1.0,8,"[0.8251, 0.006, 0.9255, 0.3476, 0.3061, 0.947, 0.0147, 0.7903]",2026-07-01
EMB_A016,ADVISOR,A016,deterministic-feature-projection,v1.0,8,"[0.356, 0.7757, 0.1159, 0.96, 0.0031, 0.9918, 0.055, 0.8605]",2026-07-01
EMB_A017,ADVISOR,A017,deterministic-feature-projection,v1.0,8,"[0.0193, 0.7645, 0.8351, 0.051, 0.412, 0.9974, 0.3143, 0.1048]",2026-07-01
EMB_A018,ADVISOR,A018,deterministic-feature-projection,v1.0,8,"[0.1245, 0.0041, 0.2206, 0.6269, 0.947, 0.9634, 0.665, 0.2545]",2026-07-01
EMB_A019,ADVISOR,A019,deterministic-feature-projection,v1.0,8,"[0.5749, 0.6482, 0.7181, 0.7831, 0.8416, 0.8925, 0.9345, 0.9667]",2026-07-01
EMB_A020,ADVISOR,A020,deterministic-feature-projection,v1.0,8,"[0.9565, 0.8726, 0.3476, 0.0031, 0.2468, 0.7903, 0.9901, 0.6097]",2026-07-01
EMB_A021,ADVISOR,A021,deterministic-feature-projection,v1.0,8,"[0.9183, 0.0417, 0.5837, 0.8666, 0.0147, 0.665, 0.8045, 0.0014]",2026-07-01
EMB_A022,ADVISOR,A022,deterministic-feature-projection,v1.0,8,"[0.4956, 0.5089, 0.4867, 0.5177, 0.4779, 0.5265, 0.469, 0.5354]",2026-07-01
EMB_A023,ADVISOR,A023,deterministic-feature-projection,v1.0,8,"[0.0769, 0.9509, 0.4426, 0.1103, 0.9727, 0.386, 0.1488, 0.9883]",2026-07-01
EMB_A024,ADVISOR,A024,deterministic-feature-projection,v1.0,8,"[0.0472, 0.1159, 0.6269, 0.9918, 0.7903, 0.2545, 0.0014, 0.3225]",2026-07-01
EMB_A025,ADVISOR,A025,deterministic-feature-projection,v1.0,8,"[0.4338, 0.3688, 0.3061, 0.2468, 0.192, 0.1426, 0.0994, 0.0634]",2026-07-01
EMB_A026,ADVISOR,A026,deterministic-feature-projection,v1.0,8,"[0.8813, 0.9933, 0.757, 0.3392, 0.0349, 0.0591, 0.3946, 0.8045]",2026-07-01
EMB_A027,ADVISOR,A027,deterministic-feature-projection,v1.0,8,"[0.9782, 0.2206, 0.1851, 0.9634, 0.5442, 0.0108, 0.7417, 0.848]",2026-07-01
EMB_A028,ADVISOR,A028,deterministic-feature-projection,v1.0,8,"[0.6355, 0.2392, 0.8666, 0.055, 0.9901, 0.0014, 0.9698, 0.0942]",2026-07-01
EMB_A029,ADVISOR,A029,deterministic-feature-projection,v1.0,8,"[0.1682, 0.9964, 0.0891, 0.6183, 0.7339, 0.0318, 0.9667, 0.2701]",2026-07-01
EMB_A030,ADVISOR,A030,deterministic-feature-projection,v1.0,8,"[0.006, 0.3476, 0.947, 0.7903, 0.1426, 0.0994, 0.7339, 0.9727]",2026-07-01
EMB_A031,ADVISOR,A031,deterministic-feature-projection,v1.0,8,"[0.298, 0.1304, 0.0259, 0.0022, 0.0633, 0.199, 0.386, 0.5924]",2026-07-01
EMB_A032,ADVISOR,A032,deterministic-feature-projection,v1.0,8,"[0.7757, 0.96, 0.9918, 0.8605, 0.6097, 0.3225, 0.0942, 0.0004]",2026-07-01
EMB_A033,ADVISOR,A033,deterministic-feature-projection,v1.0,8,"[1.0, 0.4867, 0.0004, 0.5265, 0.9989, 0.4602, 0.0022, 0.553]",2026-07-01
EMB_A034,ADVISOR,A034,deterministic-feature-projection,v1.0,8,"[0.7645, 0.051, 0.9974, 0.1048, 0.6733, 0.6011, 0.1552, 0.9842]",2026-07-01
EMB_A035,ADVISOR,A035,deterministic-feature-projection,v1.0,8,"[0.2859, 0.8869, 0.0147, 0.9901, 0.0994, 0.7339, 0.4779, 0.3061]",2026-07-01
EMB_A036,ADVISOR,A036,deterministic-feature-projection,v1.0,8,"[0.0041, 0.6269, 0.9634, 0.2545, 0.0994, 0.848, 0.8115, 0.0722]",2026-07-01
EMB_A037,ADVISOR,A037,deterministic-feature-projection,v1.0,8,"[0.1782, 0.0074, 0.0677, 0.3308, 0.6733, 0.9345, 0.9918, 0.8184]",2026-07-01
EMB_A038,ADVISOR,A038,deterministic-feature-projection,v1.0,8,"[0.6482, 0.7831, 0.8925, 0.9667, 0.9989, 0.9863, 0.93, 0.8351]",2026-07-01
EMB_A039,ADVISOR,A039,deterministic-feature-projection,v1.0,8,"[0.9819, 0.757, 0.1552, 0.0591, 0.6097, 0.9994, 0.6566, 0.0841]",2026-07-01
EMB_A040,ADVISOR,A040,deterministic-feature-projection,v1.0,8,"[0.8726, 0.0031, 0.7903, 0.6097, 0.0634, 0.9727, 0.3061, 0.2859]",2026-07-01
EMB_A041,ADVISOR,A041,deterministic-feature-projection,v1.0,8,"[0.4207, 0.6566, 0.27, 0.7975, 0.1426, 0.9084, 0.051, 0.9782]",2026-07-01
EMB_A042,ADVISOR,A042,deterministic-feature-projection,v1.0,8,"[0.0417, 0.8666, 0.665, 0.0014, 0.7339, 0.8115, 0.0169, 0.5749]",2026-07-01
EMB_A043,ADVISOR,A043,deterministic-feature-projection,v1.0,8,"[0.0841, 0.0383, 0.4033, 0.8543, 0.9901, 0.6898, 0.2206, 0.0]",2026-07-01
EMB_A044,ADVISOR,A044,deterministic-feature-projection,v1.0,8,"[0.5089, 0.5177, 0.5265, 0.5354, 0.5442, 0.553, 0.5618, 0.5706]",2026-07-01
