feature_snapshot_id,entity_type,entity_id,feature_group,feature_version,snapshot_time,features_json,source_lineage_json
FS_A001_202607,ADVISOR,A001,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":1.1,""managed_revenue_ratio"":0.185,""pending_lead_count"":3,""referral_conversion_rate"":0.18,""crm_pipeline_value"":335000,""days_since_last_followup"":9,""agp_milestone_attainment_pct"":62,""peer_gap_pct"":-13.2,""recommendation_acceptance_rate"":0.43}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A002_202607,ADVISOR,A002,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":1.0,""managed_revenue_ratio"":0.22,""pending_lead_count"":6,""referral_conversion_rate"":0.24,""crm_pipeline_value"":370000,""days_since_last_followup"":18,""agp_milestone_attainment_pct"":69,""peer_gap_pct"":-11.0,""recommendation_acceptance_rate"":0.51}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A003_202607,ADVISOR,A003,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.9,""managed_revenue_ratio"":0.255,""pending_lead_count"":1,""referral_conversion_rate"":0.3,""crm_pipeline_value"":405000,""days_since_last_followup"":27,""agp_milestone_attainment_pct"":76,""peer_gap_pct"":-8.8,""recommendation_acceptance_rate"":0.59}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A004_202607,ADVISOR,A004,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.8,""managed_revenue_ratio"":0.29,""pending_lead_count"":4,""referral_conversion_rate"":0.36,""crm_pipeline_value"":440000,""days_since_last_followup"":36,""agp_milestone_attainment_pct"":83,""peer_gap_pct"":-6.6,""recommendation_acceptance_rate"":0.67}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A005_202607,ADVISOR,A005,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.7,""managed_revenue_ratio"":0.325,""pending_lead_count"":7,""referral_conversion_rate"":0.42,""crm_pipeline_value"":475000,""days_since_last_followup"":45,""agp_milestone_attainment_pct"":90,""peer_gap_pct"":-4.4,""recommendation_acceptance_rate"":0.75}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A006_202607,ADVISOR,A006,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.6,""managed_revenue_ratio"":0.36,""pending_lead_count"":2,""referral_conversion_rate"":0.48,""crm_pipeline_value"":510000,""days_since_last_followup"":54,""agp_milestone_attainment_pct"":97,""peer_gap_pct"":-2.2,""recommendation_acceptance_rate"":0.35}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A007_202607,ADVISOR,A007,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.5,""managed_revenue_ratio"":0.395,""pending_lead_count"":5,""referral_conversion_rate"":0.54,""crm_pipeline_value"":545000,""days_since_last_followup"":63,""agp_milestone_attainment_pct"":104,""peer_gap_pct"":0.0,""recommendation_acceptance_rate"":0.43}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A008_202607,ADVISOR,A008,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.4,""managed_revenue_ratio"":0.43,""pending_lead_count"":0,""referral_conversion_rate"":0.12,""crm_pipeline_value"":580000,""days_since_last_followup"":2,""agp_milestone_attainment_pct"":61,""peer_gap_pct"":2.2,""recommendation_acceptance_rate"":0.51}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A009_202607,ADVISOR,A009,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.3,""managed_revenue_ratio"":0.465,""pending_lead_count"":3,""referral_conversion_rate"":0.18,""crm_pipeline_value"":615000,""days_since_last_followup"":11,""agp_milestone_attainment_pct"":68,""peer_gap_pct"":4.4,""recommendation_acceptance_rate"":0.59}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A010_202607,ADVISOR,A010,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.2,""managed_revenue_ratio"":0.5,""pending_lead_count"":6,""referral_conversion_rate"":0.24,""crm_pipeline_value"":650000,""days_since_last_followup"":20,""agp_milestone_attainment_pct"":75,""peer_gap_pct"":6.6,""recommendation_acceptance_rate"":0.67}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A011_202607,ADVISOR,A011,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.1,""managed_revenue_ratio"":0.535,""pending_lead_count"":1,""referral_conversion_rate"":0.3,""crm_pipeline_value"":685000,""days_since_last_followup"":29,""agp_milestone_attainment_pct"":82,""peer_gap_pct"":8.8,""recommendation_acceptance_rate"":0.75}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
